Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Aaron Judge,30.0,9,38,36,5,5,0,0,2,3,1,0,2,15,0.139,0.184,0.306,0.49,11,0,0,0,0,0,*/9,
2.0,Gleyber Torres,25.0,9,37,34,4,6,0,0,0,2,2,0,3,10,0.176,0.243,0.176,0.42,6,1,0,0,0,0,/*4,
3.0,Anthony Rizzo*,32.0,9,37,29,4,8,2,0,2,8,0,1,5,8,0.276,0.432,0.552,0.984,16,0,3,0,0,0,/*3,
4.0,Josh Donaldson,36.0,9,36,29,1,5,1,0,0,0,0,0,7,16,0.172,0.333,0.207,0.54,6,0,0,0,0,0,/*5,
5.0,Giancarlo Stanton,32.0,9,35,32,3,6,2,0,2,7,0,0,2,9,0.188,0.229,0.438,0.666,14,0,0,0,1,0,/*D7,
6.0,Harrison Bader,28.0,9,35,30,8,10,0,0,5,6,0,1,4,6,0.333,0.429,0.833,1.262,25,0,1,0,0,0,*/8,
7.0,Oswaldo Cabrera#,23.0,8,29,28,2,2,1,0,1,2,0,0,1,12,0.071,0.103,0.214,0.318,6,0,0,0,0,0,/76,
8.0,Jose Trevino,29.0,7,23,22,0,1,0,0,0,1,0,0,0,6,0.045,0.043,0.045,0.089,1,0,0,0,1,0,/*2,
9.0,Isiah Kiner-Falefa,27.0,6,20,18,2,5,1,0,0,0,1,0,1,4,0.278,0.35,0.333,0.683,6,2,1,0,0,0,/65,
10.0,Matt Carpenter*,36.0,6,12,12,0,1,0,0,0,0,0,0,0,9,0.083,0.083,0.083,0.167,1,0,0,0,0,0,/HD,
11.0,Kyle Higashioka,32.0,3,7,6,0,0,0,0,0,0,0,0,1,5,0.0,0.143,0.0,0.143,0,0,0,0,0,0,/2,
12.0,Aaron Hicks#,32.0,2,4,3,0,0,0,0,0,0,0,0,1,0,0.0,0.25,0.0,0.25,0,0,0,0,0,0,/7,
13.0,Oswald Peraza,22.0,3,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/*6H,
14.0,Tim Locastro,29.0,2,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/HD,
15.0,Marwin González#,33.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/7,
16.0,Domingo Germán,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
17.0,Jonathan Loáisiga,27.0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
18.0,Frankie Montas,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
19.0,Wandy Peralta*,30.0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/*1,
20.0,Nestor Cortes,27.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
21.0,Clarke Schmidt,26.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
22.0,Luis Severino,28.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
23.0,Gerrit Cole,31.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
24.0,Jameson Taillon,30.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
25.0,Miguel Castro,27.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
26.0,Clay Holmes,29.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
27.0,Lou Trivino,30.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
