Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Kyle Schwarber*,29.0,17,74,55,13,12,0,0,6,10,3,0,15,18,0.218,0.392,0.545,0.937,30,0.0,2,0,2.0,3.0,*7,
2.0,Rhys Hoskins,29.0,17,73,69,9,11,1,0,6,12,0,0,4,24,0.159,0.205,0.435,0.64,30,2.0,0,0,0.0,0.0,*3,
3.0,J.T. Realmuto,31.0,17,72,65,11,14,1,0,3,6,0,0,6,24,0.215,0.292,0.369,0.661,24,0.0,1,0,0.0,0.0,*2,
4.0,Bryce Harper*,29.0,17,71,63,12,22,7,0,6,13,1,0,6,14,0.349,0.414,0.746,1.16,47,3.0,1,1,0.0,1.0,*D,NLCS MVP
5.0,Nick Castellanos,30.0,17,69,65,8,12,4,0,0,7,0,0,3,18,0.185,0.232,0.246,0.478,16,2.0,1,0,0.0,0.0,*9,
6.0,Alec Bohm,25.0,17,65,58,6,13,5,0,1,8,0,1,4,16,0.224,0.292,0.362,0.654,21,1.0,2,0,1.0,1.0,*5,
7.0,Jean Segura,32.0,17,61,56,4,12,2,0,0,7,1,0,2,14,0.214,0.25,0.25,0.5,14,0.0,1,1,1.0,0.0,*4,
8.0,Bryson Stott*,24.0,16,51,44,3,6,4,0,0,3,0,0,7,12,0.136,0.255,0.227,0.482,10,1.0,0,0,0.0,0.0,*6/H,
9.0,Brandon Marsh*,24.0,16,45,39,5,7,3,0,2,5,1,0,4,17,0.179,0.273,0.41,0.683,16,1.0,1,1,0.0,0.0,*8/H,
10.0,Matt Vierling,25.0,12,15,13,2,2,1,0,0,1,0,0,1,4,0.154,0.214,0.231,0.445,3,1.0,0,1,0.0,0.0,*/78H9,
11.0,Edmundo Sosa,26.0,12,10,8,2,2,1,0,0,2,0,0,1,4,0.25,0.3,0.375,0.675,3,0.0,0,0,1.0,0.0,/56H,
12.0,Nick Maton*,25.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,/H,
13.0,Zack Wheeler*,32.0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
14.0,Ranger Suárez*,26.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
15.0,Noah Syndergaard*,29.0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
16.0,David Robertson,37.0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
17.0,José Alvarado*,27.0,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,*1,
18.0,Aaron Nola,29.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
19.0,Nick Nelson,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
20.0,Brad Hand*,32.0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
21.0,Dalton Guthrie,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/9H,
22.0,Kyle Gibson,34.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
23.0,Bailey Falter,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
24.0,Zach Eflin,28.0,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,1,
25.0,Seranthony Domínguez,27.0,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
26.0,Connor Brogdon,27.0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
27.0,Andrew Bellatti,30.0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
