Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Wilmer Flores,30,IF,0.9,151,602,525,72,120,28,1,19,71,0,0,59,103,0.229,0.316,0.394,0.71,101,0.316,101,207,7,11,0,7,1,435DH,0,Right,No,No,No,No,No,No,No,
Joc Pederson*,30,LF,1.4,134,433,380,57,104,19,3,23,70,3,2,42,100,0.274,0.353,0.521,0.874,146,0.374,143,198,5,7,0,4,3,*7H9D,AS,Left,No,No,No,No,No,No,No,
Thairo Estrada,26,2B,1.8,140,541,488,71,127,22,2,14,62,21,6,33,89,0.26,0.322,0.4,0.722,105,0.334,111,195,10,14,1,5,0,467H/58,0,Right,No,No,No,No,No,No,No,
Mike Yastrzemski*,31,CF,2.0,148,558,485,73,104,31,2,17,57,5,1,61,141,0.214,0.305,0.392,0.697,97,0.31,96,190,3,5,1,6,0,*98H/D,0,Left,No,No,No,No,No,No,No,
Brandon Crawford*,35,SS,0.7,118,458,407,50,94,15,2,9,52,1,1,39,98,0.231,0.308,0.344,0.652,86,0.294,86,140,12,8,0,4,3,*6/H,0,Left,No,No,No,No,No,No,No,
Evan Longoria,36,3B,0.7,89,298,266,31,65,13,0,14,42,0,0,27,83,0.244,0.315,0.451,0.767,116,0.329,110,120,6,2,0,3,2,5HD,0,Right,No,No,No,No,No,No,No,
Darin Ruf,35,UT,-0.5,90,314,268,46,58,9,0,11,38,2,0,40,85,0.216,0.328,0.373,0.701,100,0.323,105,100,8,5,0,1,0,37DH/9,0,Right,No,No,No,No,No,No,No,
Luis González*,26,RF,0.3,98,350,311,31,79,17,2,4,36,10,2,30,75,0.254,0.323,0.36,0.683,95,0.305,91,112,5,4,0,5,1,97/H81D,0,Left,No,No,No,No,No,No,No,
Austin Slater,29,CF,1.3,125,325,277,49,73,15,2,7,34,12,1,40,89,0.264,0.366,0.408,0.774,121,0.356,125,113,9,6,0,2,0,*8H79/D,0,Right,No,No,No,No,No,No,No,
LaMonte Wade Jr.*,28,UT,0.1,77,251,217,29,45,7,1,8,26,1,0,26,51,0.207,0.305,0.359,0.665,89,0.299,88,78,0,5,2,1,0,937HD/8,0,Left,No,No,No,No,No,No,No,
Joey Bart,25,C,0.8,97,291,261,34,56,6,0,11,25,2,1,26,112,0.215,0.296,0.364,0.66,87,0.296,87,95,5,4,0,0,0,2/HD,0,Right,No,No,No,No,No,No,No,
David Villar,25,3B,1.4,52,181,156,21,36,6,1,9,24,0,1,18,58,0.231,0.331,0.455,0.787,122,0.35,127,71,4,6,0,1,0,53D/4H,0,Right,No,No,No,No,No,No,No,
Brandon Belt*,34,1B,0.4,78,298,254,25,54,9,1,8,23,1,0,37,81,0.213,0.326,0.35,0.676,93,0.306,94,89,9,6,0,1,2,3DH,0,Left,No,No,No,No,No,No,No,
Austin Wynns,31,C,0.5,65,177,162,14,42,7,0,3,21,0,0,10,38,0.259,0.313,0.358,0.671,91,0.308,95,58,9,3,1,1,0,2/DH1,0,Right,No,No,No,No,No,No,No,
Tommy La Stella*,33,DH,-0.7,60,195,180,17,43,14,0,2,14,0,0,11,30,0.239,0.282,0.35,0.632,79,0.278,74,63,4,1,0,3,0,DH/534,0,Left,No,No,No,No,No,No,No,
J.D. Davis,29,CI,1.0,49,158,137,20,36,8,0,8,14,0,0,19,56,0.263,0.361,0.496,0.857,142,0.375,144,68,4,2,0,0,1,53DH/7,0,Right,No,No,No,No,No,No,No,
Curt Casali,33,C,1.2,41,126,108,13,25,3,0,4,14,0,0,15,36,0.231,0.325,0.37,0.696,98,0.318,103,40,1,1,0,2,0,2/3D,0,Right,No,No,No,No,No,No,No,
Jason Vosler*,28,3B,0.1,36,111,98,14,26,6,1,4,12,1,1,10,29,0.265,0.342,0.469,0.812,129,0.355,131,46,3,2,0,1,1,5/H73469,0,Left,No,No,No,No,No,No,No,
Yermín Mercedes,29,DH,-0.1,31,83,73,9,17,5,0,1,8,0,0,9,17,0.233,0.325,0.342,0.668,91,0.313,99,25,1,1,0,0,0,D/H732,0,Right,No,No,No,No,No,No,No,
Donovan Walton*,28,MI,-0.1,24,78,76,8,12,8,0,1,8,0,0,1,16,0.158,0.179,0.303,0.482,34,0.208,23,23,1,1,0,0,0,46/H1,0,Left,No,No,No,No,No,No,No,
Mauricio Dubón,27,UT,0.2,21,49,46,10,11,1,0,2,8,0,0,1,4,0.239,0.245,0.391,0.636,78,0.283,77,18,0,0,0,2,0,8/H654D,0,Right,No,No,No,No,No,No,No,
Ford Proctor*,25,2B,-0.2,7,22,18,3,2,0,0,1,6,0,0,2,3,0.111,0.182,0.278,0.46,29,0.197,16,5,0,0,0,2,0,/42H,0,Left,No,No,No,No,No,No,No,
Lewis Brinson,28,CF,-0.2,16,39,36,5,6,2,0,3,4,1,0,2,14,0.167,0.211,0.472,0.683,87,0.294,81,17,0,0,1,0,0,8/H7,0,Right,No,No,No,No,No,No,No,
Steven Duggar*,28,CF,-0.1,12,39,36,2,7,3,0,0,4,4,0,2,16,0.194,0.231,0.278,0.509,45,0.247,34,10,0,0,0,1,0,8/7,0,Left,No,No,No,No,No,No,No,
Luke Williams,25,UT,0.0,8,12,12,1,3,1,0,0,3,0,0,0,4,0.25,0.25,0.333,0.583,65,0.246,51,4,0,0,0,0,0,/5H7,0,Right,No,No,No,No,No,No,No,
Bryce Johnson#,26,OF,-0.3,11,19,18,1,2,0,0,0,2,0,0,1,7,0.111,0.158,0.111,0.269,-21,0.131,-32,2,0,0,0,0,0,/897H,0,Both,No,No,No,No,No,No,No,
Andrew Knapp#,30,C,0.0,3,7,4,2,1,0,0,0,2,0,0,2,0,0.25,0.429,0.25,0.679,101,0.327,109,1,0,0,0,1,0,/2,0,Both,No,No,No,No,No,No,No,
Mike Ford*,29,1B,0.0,1,4,4,0,1,0,0,0,2,0,0,0,0,0.25,0.25,0.25,0.5,44,0.225,36,1,0,0,0,0,0,/3,0,Left,No,No,No,No,No,No,No,
Willie Calhoun*,27,DH,-0.1,4,9,8,0,1,0,0,0,1,0,0,1,2,0.125,0.222,0.125,0.347,3,0.177,2,1,1,0,0,0,0,/D,0,Left,No,No,No,No,No,No,No,
