Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Julio Rodríguez,21.0,5,28,23,5,5,3,1,0,2,1,0,3,7,0.217,0.357,0.435,0.792,10,0.0,2,0,0.0,1.0,*/8,
2.0,Ty France,27.0,5,27,26,1,6,1,0,0,2,0,0,1,6,0.231,0.259,0.269,0.528,7,0.0,0,0,0.0,0.0,/*3,
3.0,J.P. Crawford*,27.0,5,24,21,1,4,2,0,1,4,0,0,3,4,0.19,0.292,0.429,0.72,9,0.0,0,0,0.0,0.0,/*6,
4.0,Adam Frazier*,30.0,5,24,23,3,5,1,0,0,1,0,0,1,5,0.217,0.25,0.261,0.511,6,1.0,0,0,0.0,0.0,/*4,
5.0,Carlos Santana#,36.0,5,24,22,1,5,2,0,1,4,0,0,2,8,0.227,0.292,0.455,0.746,10,0.0,0,0,0.0,1.0,/*D,
6.0,Mitch Haniger,31.0,5,24,21,2,5,2,0,0,0,0,0,2,5,0.238,0.333,0.333,0.667,7,0.0,1,0,0.0,0.0,*/9,
7.0,Cal Raleigh#,25.0,5,24,22,4,5,1,0,1,4,0,0,2,8,0.227,0.292,0.409,0.701,9,0.0,0,0,0.0,0.0,/*2,
8.0,Eugenio Suárez,30.0,5,21,20,5,7,2,0,1,3,0,0,1,5,0.35,0.381,0.6,0.981,12,1.0,0,0,0.0,0.0,/*5,
9.0,Jarred Kelenic*,22.0,5,18,17,1,2,0,0,0,1,0,1,0,7,0.118,0.111,0.118,0.229,2,0.0,0,0,1.0,0.0,*/7H,
10.0,Dylan Moore,29.0,3,9,7,0,1,0,0,0,1,0,0,2,4,0.143,0.333,0.143,0.476,1,0.0,0,0,0.0,0.0,/7H5,
11.0,George Kirby,24.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
12.0,Taylor Trammell*,24.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,/DH,
13.0,Erik Swanson,28.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
14.0,Paul Sewald,32.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
15.0,Robbie Ray*,30.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
16.0,Penn Murfee,28.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
17.0,Andrés Muñoz,23.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/*1,
18.0,Matthew Boyd*,31.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
19.0,Logan Gilbert,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
20.0,Matt Festa,29.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
21.0,Luis Castillo,29.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
22.0,Diego Castillo,28.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
23.0,Matt Brash,24.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0.0,0,0,0.0,0.0,/1,
