Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Vladimir Guerrero Jr.,23,1B,4.0,160,706,638,90,175,35,0,32,97,8,3,58,116,0.274,0.339,0.48,0.818,133,0.357,133,306,26,6,0,4,6,*3D/H5,"AS,MVP-16,GG",Right,No,No,No,No,No,No,No,No,No
Bo Bichette,24,SS,3.7,159,697,652,91,189,43,1,24,93,13,8,41,155,0.29,0.333,0.469,0.802,128,0.355,133,306,21,2,0,2,0,*6/DH,MVP-11,Right,No,No,No,No,No,No,No,No,No
Teoscar Hernández,29,RF,2.8,131,535,499,71,133,35,1,25,77,6,3,34,152,0.267,0.316,0.491,0.807,128,0.359,134,245,18,2,0,0,0,*9D/7H,0,Right,No,No,No,No,No,No,No,No,No
Matt Chapman,29,3B,3.6,155,621,538,83,123,27,1,27,76,2,2,68,170,0.229,0.324,0.433,0.757,116,0.329,113,233,7,10,0,5,1,*5/HD,0,Right,No,No,No,No,No,No,No,No,No
George Springer,32,CF,4.1,133,583,513,89,137,22,4,25,76,14,2,54,100,0.267,0.342,0.472,0.814,132,0.361,133,242,7,7,0,5,1,8D9/H,AS,Right,No,No,No,No,No,No,No,No,No
Alejandro Kirk,23,C,4.0,139,541,470,59,134,19,0,14,63,0,0,63,58,0.285,0.372,0.415,0.786,127,0.359,135,195,11,4,0,4,2,2DH,"AS,SS",Right,No,No,No,No,No,No,No,No,No
Raimel Tapia*,28,OF,0.4,128,433,411,47,109,20,3,7,52,8,2,16,81,0.265,0.292,0.38,0.672,92,0.297,88,156,12,0,3,1,0,*789H/D,0,Left,No,No,No,No,No,No,No,No,No
Lourdes Gurriel Jr.,28,LF,2.2,121,493,453,52,132,32,1,5,52,3,4,31,83,0.291,0.343,0.4,0.743,114,0.329,115,181,11,6,0,2,1,7D/3H,0,Right,No,No,No,No,No,No,No,No,No
Santiago Espinal,27,2B,2.2,135,491,449,51,120,25,0,7,51,6,6,36,68,0.267,0.322,0.37,0.692,99,0.303,96,166,12,2,1,3,1,*4H56,AS,Right,No,No,No,No,No,No,No,No,No
Danny Jansen,27,C,2.9,72,248,215,34,56,10,0,15,44,1,0,25,44,0.26,0.339,0.516,0.855,142,0.367,140,111,1,3,0,5,1,2/HD,0,Right,No,No,No,No,No,No,No,No,No
Cavan Biggio*,27,IF,1.0,97,303,257,43,52,18,1,6,24,2,0,38,85,0.202,0.318,0.35,0.668,93,0.306,95,90,2,6,1,1,0,43H/9D75,0,Left,No,No,No,No,No,No,No,No,No
Whit Merrifield,33,2B,0.2,44,130,121,19,34,5,0,5,16,1,2,8,24,0.281,0.323,0.446,0.769,119,0.324,114,54,3,0,0,1,0,48/H9731,0,Right,No,No,No,No,No,No,No,No,No
Zack Collins*,27,DH,0.2,26,79,72,7,14,4,0,4,10,0,0,6,31,0.194,0.266,0.417,0.682,93,0.298,90,30,0,1,0,0,0,D2/H3,0,Left,No,No,No,No,No,No,No,No,No
Jackie Bradley Jr.*,32,OF,-0.1,40,80,73,9,13,4,0,1,9,0,0,7,19,0.178,0.25,0.274,0.524,51,0.239,47,20,2,0,0,0,0,89,0,Left,No,No,No,No,No,No,No,No,No
Gabriel Moreno,22,C,0.7,25,73,69,10,22,1,0,1,7,0,0,4,8,0.319,0.356,0.377,0.733,112,0.324,109,26,2,0,0,0,0,2/HD457,0,Right,No,No,No,No,No,No,No,No,No
Bradley Zimmer*,29,CF,-0.3,100,101,89,14,9,4,0,2,5,3,2,5,41,0.101,0.2,0.213,0.413,20,0.2,20,19,0,6,1,0,0,8H/9D,0,Left,No,No,No,No,No,No,No,No,No
Otto López,23,MI,0.3,8,10,9,0,6,0,0,0,3,0,1,1,1,0.667,0.7,0.667,1.367,298,0.538,301,6,0,0,0,0,0,/6H48D,0,Right,No,No,No,No,No,No,No,No,No
Tyler Heineman#,31,C,0.1,10,16,15,2,4,2,0,0,1,0,0,0,4,0.267,0.267,0.4,0.667,89,0.288,82,6,1,0,1,0,0,/2DH,0,Both,No,No,No,No,No,No,No,No,No
Gosuke Katoh*,27,IF,0.1,8,11,7,2,1,1,0,0,0,0,0,3,1,0.143,0.4,0.286,0.686,103,0.332,116,2,0,0,1,0,0,/3H4D,0,Left,No,No,No,No,No,No,No,No,No
Vinny Capra,25,UT,0.1,8,7,5,2,1,0,0,0,0,0,0,2,1,0.2,0.429,0.2,0.629,90,0.325,110,1,0,0,0,0,0,/HD479,0,Right,No,No,No,No,No,No,No,No,No
