Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Christian Walker,32,1B,3.8,157,661,582,86,150,36,2,33,103,11,0,62,127,0.258,0.333,0.497,0.83,122,0.356,120,289,13,8,0,8,3,*3/DH,"MVP-23,GG",Right,No,No,No,No,No,No,No,No,No
Ketel Marte#,29,2B,4.9,150,650,569,94,157,26,9,25,82,8,2,71,109,0.276,0.358,0.485,0.844,127,0.366,129,276,16,5,0,5,2,*4/DH86,0,Both,No,No,No,No,No,No,No,No,No
Lourdes Gurriel Jr.,29,LF,3.0,145,592,551,65,144,35,2,24,82,5,0,33,103,0.261,0.309,0.463,0.772,107,0.333,105,255,20,6,0,2,1,7D/H3,AS,Right,No,No,No,No,No,No,No,No,No
Corbin Carroll*,22,OF,5.4,155,645,565,116,161,30,10,25,76,54,5,57,125,0.285,0.362,0.506,0.868,133,0.387,134,286,7,13,6,4,1,*798/HD,"AS,MVP-5,ROY-1",Left,No,Yes,No,No,No,No,No,No,No
Gabriel Moreno,23,C,4.3,111,380,341,33,97,19,1,7,50,6,2,29,75,0.284,0.339,0.408,0.747,103,0.332,105,139,17,3,0,7,0,2H/D,GG,Right,No,No,No,No,No,No,No,No,No
Geraldo Perdomo#,23,SS,2.3,144,495,407,71,100,20,4,6,47,16,4,64,86,0.246,0.353,0.359,0.712,95,0.323,97,146,2,6,14,4,1,*645H,AS,Both,No,No,No,No,No,No,No,No,No
Alek Thomas*,23,CF,1.1,125,402,374,51,86,17,5,9,39,9,1,19,86,0.23,0.273,0.374,0.647,74,0.291,74,140,5,4,2,3,1,*8H/D,0,Left,No,No,No,No,No,No,No,No,No
Tommy Pham,35,DH,0.3,50,217,195,26,47,12,2,6,32,11,2,18,50,0.241,0.304,0.415,0.72,94,0.32,92,81,9,1,0,3,0,D79,0,Right,No,No,No,No,No,No,No,No,No
Pavin Smith*,27,DH,-0.8,69,228,191,26,36,5,0,7,30,1,1,35,45,0.188,0.317,0.325,0.642,76,0.296,81,62,3,1,0,0,0,D9H3,0,Left,No,No,No,No,No,No,No,No,No
Emmanuel Rivera,27,3B,0.3,86,283,257,32,67,13,0,4,29,1,0,22,56,0.261,0.314,0.358,0.672,83,0.3,82,92,9,0,0,4,0,5H3/D,0,Right,No,No,No,No,No,No,No,No,No
Evan Longoria,37,3B,0.5,74,237,211,25,47,9,0,11,28,0,0,23,73,0.223,0.295,0.422,0.717,93,0.315,93,89,8,0,0,3,0,5DH,0,Right,No,No,No,No,No,No,No,No,No
Josh Rojas*,29,3B,-0.3,59,216,189,23,43,13,0,0,26,6,0,18,51,0.228,0.292,0.296,0.589,62,0.275,60,56,2,1,2,4,0,5/H4D17,0,Left,No,No,No,No,No,No,No,No,No
Nick Ahmed,33,SS,-0.1,72,210,198,14,42,10,1,2,17,5,1,12,52,0.212,0.257,0.303,0.56,52,0.25,45,60,0,0,0,0,0,6H/D,0,Right,No,No,No,No,No,No,No,No,No
Jake McCarthy*,25,RF,0.5,99,312,276,37,67,7,5,2,16,26,4,26,62,0.243,0.318,0.326,0.644,77,0.305,77,90,4,5,4,1,0,9H8/D,0,Left,No,No,No,No,No,No,No,No,No
Dominic Fletcher*,25,OF,0.7,28,102,93,10,28,5,1,2,14,0,2,7,22,0.301,0.35,0.441,0.791,114,0.328,110,41,0,0,2,0,1,89/7H,0,Left,No,No,No,No,No,No,No,No,No
Jace Peterson*,33,3B,-0.8,41,106,93,5,17,3,2,0,9,4,1,11,24,0.183,0.276,0.258,0.534,47,0.253,46,24,1,1,1,0,1,5H/D34,0,Left,No,No,No,No,No,No,No,No,No
Dominic Canzone*,25,DH,-0.2,15,41,38,4,9,2,0,1,8,0,0,2,8,0.237,0.293,0.368,0.661,79,0.292,77,14,1,1,0,0,0,/DH9,0,Left,No,No,No,No,No,No,No,No,No
José Herrera#,26,C,-0.1,41,120,101,15,21,5,0,0,7,1,0,13,30,0.208,0.296,0.257,0.553,53,0.26,51,26,2,0,5,1,0,2/1H,0,Both,No,No,No,No,No,No,No,No,No
Carson Kelly,28,C,-0.1,32,92,84,6,19,3,0,1,6,1,0,7,23,0.226,0.283,0.298,0.58,59,0.261,53,25,2,0,0,1,0,2/1,0,Right,No,No,No,No,No,No,No,No,No
Kyle Lewis,27,DH,-0.5,16,54,51,2,8,2,0,1,2,0,0,3,21,0.157,0.204,0.255,0.459,24,0.201,12,13,0,0,0,0,0,D/H7,0,Right,No,No,No,No,No,No,No,No,No
Seby Zavala,29,C,0.1,7,17,14,2,5,1,0,0,2,0,0,2,2,0.357,0.471,0.429,0.899,148,0.409,160,6,0,1,0,0,0,/21H,0,Right,No,No,No,No,No,No,No,No,No
Buddy Kennedy,24,3B,0.0,10,29,24,1,4,1,0,0,1,0,0,4,6,0.167,0.31,0.208,0.519,46,0.254,50,5,0,1,0,0,0,/5HD4,0,Right,No,No,No,No,No,No,No,No,No
Jordan Lawlar,20,SS,-0.2,14,34,31,2,4,0,0,0,0,1,1,2,11,0.129,0.206,0.129,0.335,-5,0.178,2,4,0,1,0,0,0,6/H,0,Right,No,No,No,No,No,No,No,No,No
Diego Castillo,25,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,/H,0,Right,No,No,No,No,No,No,No,No,No
Scott McGough,33,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Kyle Nelson*,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Bryce Jarvis*,25,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Drey Jameson,25,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Kevin Ginkel*,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Luis Frías,25,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
