Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Andrew Vaughn,25,1B,0.9,152,615,566,67,146,30,2,21,80,0,0,36,129,0.258,0.314,0.429,0.743,102,0.325,101,243,15,11,0,2,0,*3/DH,0,Right,No
Luis Robert Jr.,25,CF,5.0,145,595,546,90,144,36,1,38,80,20,4,30,172,0.264,0.315,0.542,0.857,130,0.363,126,296,10,12,0,2,5,*8/H,"AS,MVP-12,SS",Right,No
Eloy Jiménez,26,DH,0.3,120,489,456,50,124,23,0,18,64,0,0,30,93,0.272,0.317,0.441,0.758,106,0.327,103,201,13,1,0,2,2,D9/H,0,Right,No
Jake Burger,27,3B,1.4,88,323,294,44,63,15,1,25,52,1,1,22,102,0.214,0.279,0.527,0.806,115,0.344,115,155,3,5,0,2,0,5D/H34,0,Right,No
Andrew Benintendi*,28,LF,0.2,151,621,562,72,147,34,2,5,45,13,2,52,89,0.262,0.326,0.356,0.682,88,0.306,85,200,12,3,1,3,5,*7/HD,0,Left,No
Elvis Andrus,34,2B,0.6,112,406,374,39,94,20,1,6,44,12,4,25,71,0.251,0.304,0.358,0.662,82,0.294,78,134,11,4,1,2,1,46/H5D,0,Right,No
Gavin Sheets*,27,UT,-1.5,118,344,311,24,63,10,0,10,43,1,0,28,66,0.203,0.267,0.331,0.599,64,0.267,59,103,6,1,0,4,2,9H3D/7,0,Left,No
Yoán Moncada#,28,3B,0.7,92,357,334,39,87,20,1,11,40,1,0,20,107,0.26,0.305,0.425,0.73,99,0.32,97,142,6,2,0,1,0,5/H,0,Both,No
Yasmani Grandal#,34,C,-0.7,118,405,363,33,85,14,0,8,33,0,0,36,86,0.234,0.309,0.339,0.647,79,0.294,79,123,11,4,0,2,1,2HD/3,0,Both,No
Tim Anderson,30,SS,-2.0,123,524,493,52,121,18,2,1,25,13,2,26,122,0.245,0.286,0.296,0.582,62,0.263,54,146,15,3,0,2,0,*6/H4,0,Right,No
Oscar Colás*,24,RF,-1.5,75,263,245,32,53,9,0,5,19,4,3,12,71,0.216,0.257,0.314,0.571,57,0.247,47,77,5,2,2,2,1,9/8HD,0,Left,No
Zach Remillard,29,2B,0.1,54,160,147,16,37,7,0,1,18,4,3,8,48,0.252,0.295,0.32,0.615,70,0.275,67,47,3,1,4,0,1,4/H5976D,0,Right,No
Seby Zavala,29,C,-0.4,66,176,161,15,25,3,0,7,16,1,0,10,68,0.155,0.207,0.304,0.511,39,0.228,30,49,4,1,2,2,0,2/H,0,Right,No
Hanser Alberto,30,IF,0.3,30,90,82,11,18,5,0,3,16,0,0,4,13,0.22,0.261,0.39,0.652,76,0.289,75,32,1,1,2,1,0,54/13H,0,Right,No
Lenyn Sosa,23,2B,-0.8,52,173,164,12,33,6,0,6,14,0,1,5,40,0.201,0.224,0.348,0.571,54,0.247,47,57,3,0,3,1,1,45/H,0,Right,No
Romy González,26,2B,-0.4,44,97,93,11,18,4,2,3,14,7,0,2,36,0.194,0.208,0.376,0.585,56,0.261,43,35,0,0,1,1,0,4H/9D7658,0,Right,No
Trayce Thompson,32,OF,-0.4,36,92,82,5,14,2,0,1,3,2,0,9,40,0.171,0.261,0.232,0.493,38,0.241,38,19,1,1,0,0,0,89/H7,0,Right,No
Clint Frazier,28,OF,-0.3,33,76,66,10,13,1,1,0,3,4,2,10,23,0.197,0.303,0.242,0.545,54,0.255,52,16,0,0,0,0,0,9H/78,0,Right,No
Korey Lee,24,C,-0.7,24,70,65,4,5,1,0,1,3,0,0,5,20,0.077,0.143,0.138,0.281,-22,0.147,-26,9,0,0,0,0,0,2/DH,0,Right,No
Carlos Pérez,26,C,0.0,27,53,49,5,10,4,0,1,3,0,0,4,11,0.204,0.264,0.347,0.611,67,0.284,72,17,2,0,0,0,0,2H/D,0,Right,No
Adam Haseley*,27,OF,-0.1,28,39,36,6,8,2,0,0,2,1,0,3,8,0.222,0.282,0.278,0.56,56,0.257,49,10,1,0,0,0,0,9/H87D,0,Left,No
Tyler Naquin*,32,OF,-0.3,5,8,8,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,-100,0.0,-131,0,0,0,0,0,0,/7H9,0,Left,No
Jake Marisnick,32,OF,0.0,9,2,2,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.448,188,0,0,0,0,0,0,/98DH,0,Right,No
Billy Hamilton,32,RF,0.0,3,2,2,2,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0.0,-100,0.24,-121,0,0,0,0,0,0,/H9,0,Right,No
José Rodríguez,22,2B,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/4H,0,Right,No
Aaron Bummer*,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No
