Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Josh Naylor*,26,1B,2.5,121,495,452,52,139,31,0,17,97,10,3,33,68,0.308,0.354,0.489,0.842,130,0.357,130,221,11,3,0,7,9,3D/H9,MVP-22,Left,No,No,No,No,No,No,No,
José Ramírez#,30,3B,5.1,156,691,611,87,172,36,5,24,80,28,6,73,73,0.282,0.356,0.475,0.831,128,0.357,128,290,8,1,0,6,22,*5D,"AS,MVP-10",Both,No,Yes,No,No,No,No,No,
Andrés Giménez*,24,2B,5.3,153,616,557,76,140,27,5,15,62,30,6,32,112,0.251,0.314,0.399,0.712,96,0.318,98,222,10,20,4,3,3,*4/H,GG,Left,No,No,No,No,No,No,No,
Steven Kwan*,25,LF,3.6,158,718,638,93,171,36,7,5,54,21,3,70,75,0.268,0.34,0.37,0.71,97,0.319,100,236,9,3,1,6,2,*7/DH,GG,Left,No,No,No,No,No,No,No,
Josh Bell#,30,DH,0.0,97,393,347,26,81,19,0,11,48,0,1,43,81,0.233,0.318,0.383,0.701,93,0.304,94,133,7,1,0,2,1,D3/H,0,Both,No,No,No,No,No,No,No,
Will Brennan*,25,RF,0.5,138,455,432,41,115,24,0,5,41,13,5,16,57,0.266,0.299,0.356,0.655,81,0.292,83,154,4,5,0,2,2,*9H8/7D,0,Left,No,No,No,No,No,No,No,
Amed Rosario,27,SS,-0.3,94,412,385,51,102,19,6,3,40,9,0,22,77,0.265,0.306,0.369,0.675,86,0.299,85,142,11,2,0,3,0,6/HD,0,Right,No,No,No,No,No,No,No,
Bo Naylor*,23,C,1.5,67,230,198,33,47,13,0,11,32,5,0,30,53,0.237,0.339,0.47,0.809,121,0.35,122,93,2,1,0,1,1,2/H,0,Left,No,No,No,No,No,No,No,
Myles Straw,28,CF,1.1,147,518,462,52,110,18,3,1,29,20,6,42,97,0.238,0.301,0.297,0.597,67,0.275,69,137,10,2,6,6,0,*8/H,0,Right,No,No,No,No,No,No,No,
Gabriel Arias,23,IF,-0.1,122,345,315,36,66,15,0,10,26,3,4,28,113,0.21,0.275,0.352,0.628,72,0.274,74,111,9,1,0,1,0,63H95/D4,0,Right,No,No,No,No,No,No,No,
Kole Calhoun*,35,1B,0.1,43,174,157,18,34,7,0,6,25,0,1,13,37,0.217,0.282,0.376,0.657,80,0.288,83,59,3,2,0,2,0,3D/9H,0,Left,No,No,No,No,No,No,No,
Tyler Freeman,24,IF,-0.3,64,168,153,20,37,7,0,4,18,5,0,10,30,0.242,0.295,0.366,0.661,82,0.294,80,56,3,2,2,1,0,5H46D/37,0,Right,No,No,No,No,No,No,No,
David Fry,27,UT,0.3,57,113,101,12,24,6,0,4,15,2,0,8,30,0.238,0.319,0.416,0.734,101,0.332,109,42,3,4,0,0,0,23H/917D5,0,Right,No,No,No,No,No,No,No,
Ramón Laureano,28,OF,0.7,41,158,136,22,33,8,1,3,14,4,1,16,41,0.243,0.342,0.382,0.724,101,0.328,107,52,4,5,0,1,0,98/HD,0,Right,No,No,No,No,No,No,No,
Oscar González,25,RF,-1.4,54,180,173,15,37,7,2,2,12,0,0,5,46,0.214,0.239,0.312,0.551,51,0.25,54,54,2,1,0,1,0,9D/H7,0,Right,No,No,No,No,No,No,No,
Mike Zunino,32,C,-0.5,42,140,124,11,22,7,0,3,11,0,0,15,61,0.177,0.271,0.306,0.578,60,0.258,60,38,3,1,0,0,0,2,0,Right,No,No,No,No,No,No,No,
Brayan Rocchio#,22,SS,0.1,23,86,81,9,20,6,0,0,8,0,0,4,27,0.247,0.279,0.321,0.6,66,0.277,73,26,4,0,0,1,0,6/5H,0,Both,No,No,No,No,No,No,No,
Cam Gallagher,30,C,-1.1,56,149,143,6,18,6,0,0,7,0,0,4,46,0.126,0.154,0.168,0.322,-11,0.143,-23,24,3,1,0,1,0,2,0,Right,No,No,No,No,No,No,No,
José Tena*,22,IF,-0.2,18,34,31,2,7,2,0,0,3,0,0,3,13,0.226,0.294,0.29,0.584,63,0.265,65,9,0,0,0,0,0,6/H45D,0,Left,No,No,No,No,No,No,No,
Eric Haase,30,C,0.0,3,11,10,0,2,0,0,0,0,1,0,1,3,0.2,0.273,0.2,0.473,35,0.247,36,2,1,0,0,0,0,/2,0,Right,No,No,No,No,No,No,No,
Zack Collins*,28,C,0.1,2,6,4,0,2,0,0,0,0,0,0,2,2,0.5,0.667,0.5,1.167,232,0.528,251,2,0,0,0,0,0,/2,0,Left,No,No,No,No,No,No,No,
Meibrys Viloria*,26,C,-0.2,10,4,3,0,0,0,0,0,0,0,0,1,0,0.0,0.25,0.0,0.25,-21,0.173,-2,0,1,0,0,0,0,2,0,Left,No,No,No,No,No,No,No,
