Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Kyle Freeland*,30,SP,1.6,6,14,.300,5.03,29,29,0,0,0,0,155.2,187,96,87,29,42,0,94,1,0,2,677,99,5.30,1.471,10.8,1.7,2.4,5.4,2.24,
2,Austin Gomber*,29,SP,1.0,9,9,.500,5.50,27,27,0,0,0,0,139.0,164,88,85,26,43,1,87,3,0,5,603,90,5.43,1.489,10.6,1.7,2.8,5.6,2.02,
3,Chase Anderson,35,SP,0.5,1,6,.143,5.75,17,17,0,0,0,0,81.1,88,53,52,17,32,0,62,7,0,1,354,86,5.89,1.475,9.7,1.9,3.5,6.9,1.94,
4,Ty Blach*,32,SP,0.2,3,3,.500,5.54,20,13,2,0,0,0,78.0,104,51,48,15,24,0,50,6,0,1,352,90,5.63,1.641,12.0,1.7,2.8,5.8,2.08,
5,Chris Flexen,28,SP,-0.2,2,4,.333,6.27,12,12,0,0,0,0,60.1,74,45,42,14,19,0,45,4,0,4,270,79,5.92,1.541,11.0,2.1,2.8,6.7,2.37,
6,Pierce Johnson,32,CL,-0.3,1,5,.167,6.00,43,0,26,0,0,13,39.0,47,28,26,7,25,1,58,0,0,3,188,83,4.54,1.846,10.8,1.6,5.8,13.4,2.32,
7,Jake Bird,27,RP,1.0,3,3,.500,4.33,70,3,8,0,0,0,89.1,94,47,43,6,27,0,77,7,0,2,381,115,3.55,1.354,9.5,0.6,2.7,7.8,2.85,
8,Justin Lawrence,28,RP,1.4,4,7,.364,3.72,69,0,29,0,0,11,75.0,65,37,31,5,36,4,78,7,0,3,326,134,3.76,1.347,7.8,0.6,4.3,9.4,2.17,
9,Brent Suter*,33,RP,0.8,4,3,.571,3.38,57,2,12,0,0,0,69.1,65,36,26,3,25,0,55,3,0,1,292,147,3.44,1.298,8.4,0.4,3.2,7.1,2.20,
10,Daniel Bard,38,RP,0.1,4,2,.667,4.56,50,0,11,0,0,1,49.1,35,30,25,5,49,3,47,8,1,2,232,109,6.13,1.703,6.4,0.9,8.9,8.6,0.96,
11,Connor Seabold,27,,-1.2,1,7,.125,7.52,27,13,7,0,0,0,87.1,116,76,73,19,28,1,67,7,0,5,408,66,5.75,1.649,12.0,2.0,2.9,6.9,2.39,
12,Peter Lambert,26,,0.5,3,7,.300,5.36,25,11,1,0,0,0,87.1,93,54,52,18,28,0,71,5,0,1,375,93,5.44,1.385,9.6,1.9,2.9,7.3,2.54,
13,Ryan Feltner,26,,0.1,2,4,.333,5.82,10,10,0,0,0,0,43.1,45,29,28,2,28,0,38,2,2,0,201,86,4.18,1.685,9.3,0.4,5.8,7.9,1.36,
14,Matt Koch,32,,0.6,3,2,.600,5.12,39,1,9,0,0,0,38.2,41,22,22,7,9,0,27,2,0,0,163,98,5.07,1.293,9.5,1.6,2.1,6.3,3.00,
