Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
Bryan De La Cruz,26,LF,-0.3,153,626,579,60,149,32,0,19,78,4,1,40,142,0.257,0.304,0.411,0.715,88,0.315,91,238,18,1,0,5,0,*79/8HD,0
Jorge Soler,31,DH,1.8,137,580,504,77,126,24,0,36,75,1,0,66,141,0.25,0.341,0.512,0.853,123,0.364,126,258,20,6,0,4,4,D9/H,AS
Luis Arráez*,26,2B,4.9,147,617,574,71,203,30,3,10,69,3,2,35,34,0.354,0.393,0.469,0.861,128,0.373,134,269,18,4,1,3,10,*43/HD,"AS,MVP-8,SS"
Jesús Sánchez*,25,RF,1.7,125,402,360,43,91,23,3,14,52,3,1,38,107,0.253,0.327,0.45,0.777,104,0.343,111,162,12,2,1,1,1,*9H/87D,0
Jazz Chisholm Jr.*,25,CF,1.2,97,383,352,50,88,12,2,19,51,22,3,26,118,0.25,0.304,0.457,0.761,99,0.342,104,161,4,2,1,2,0,8/HD,0
Garrett Cooper,32,1B,0.1,82,324,305,28,78,11,1,13,46,0,0,17,97,0.256,0.296,0.426,0.723,89,0.315,92,130,9,1,0,1,0,3D/H,0
Jon Berti,33,IF,2.4,133,424,388,53,114,16,3,7,33,16,6,29,77,0.294,0.344,0.405,0.748,98,0.331,102,157,10,2,2,3,2,65H74/9D,0
Jake Burger,27,3B,1.1,53,217,198,27,60,13,0,9,28,0,0,10,47,0.303,0.355,0.505,0.86,125,0.37,130,100,1,7,0,2,0,5/D,0
Yuli Gurriel,39,1B,-0.5,108,329,298,32,73,16,3,4,27,4,0,26,44,0.245,0.304,0.359,0.663,76,0.293,74,107,13,1,0,4,3,3H/D,0
Nick Fortes,26,C,-0.1,108,323,294,33,60,10,0,6,26,4,2,17,59,0.204,0.263,0.299,0.562,49,0.259,51,88,12,7,3,2,0,2H/D,0
Josh Bell#,30,1B,0.4,53,224,200,26,54,9,0,11,26,0,0,20,53,0.27,0.338,0.48,0.818,114,0.355,120,96,6,1,0,1,1,3D,0
Garrett Hampson,28,UT,1.3,98,252,221,30,61,12,1,3,23,5,0,23,67,0.276,0.349,0.38,0.729,95,0.342,108,84,3,3,3,2,0,689H47/5D,0
Jean Segura,33,3B,-1.9,85,326,301,25,66,5,2,3,21,6,2,22,47,0.219,0.277,0.279,0.556,49,0.251,45,84,12,2,1,0,1,5/H,0
Joey Wendle*,33,SS,-0.2,112,318,297,33,63,16,3,2,20,7,1,13,67,0.212,0.248,0.306,0.554,47,0.248,41,91,8,2,3,3,0,6/H,0
Jacob Stallings,33,C,-0.6,88,276,241,22,46,14,0,3,20,0,0,27,67,0.191,0.278,0.286,0.565,51,0.259,51,69,9,3,3,2,0,2/1DH,0
Avisaíl García,32,RF,-0.5,37,118,108,8,20,3,1,3,12,2,0,6,39,0.185,0.241,0.315,0.556,47,0.244,37,34,1,2,0,0,1,97/HD8,0
Jonathan Davis,31,CF,0.0,34,104,90,22,22,4,1,2,10,1,2,7,29,0.244,0.307,0.378,0.685,81,0.305,90,34,1,2,2,2,0,8/H97,0
Dane Myers,27,CF,-0.3,22,70,67,9,18,3,0,1,9,1,1,2,19,0.269,0.286,0.358,0.644,70,0.271,64,24,1,0,0,1,0,8/7DH,0
Xavier Edwards#,23,2B,0.1,30,84,78,12,23,3,0,0,3,5,0,3,14,0.295,0.329,0.333,0.663,77,0.317,83,26,1,1,2,0,0,4/H8D,0
Peyton Burdick,26,OF,0.0,14,37,33,4,6,2,0,1,2,1,0,3,18,0.182,0.27,0.333,0.604,60,0.276,59,11,0,1,0,0,0,9/8H7,0
Jacob Amaya,24,MI,0.0,4,9,9,1,2,0,0,0,2,1,0,0,1,0.222,0.222,0.222,0.444,19,0.226,10,2,0,0,0,0,0,/64,0
Bryan Hoeing,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Andrew Nardi*,24,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
