Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,JP Sears*,27,SP,2.6,5,14,.263,4.54,32,32,0,0,0,0,172.1,165,90,87,34,53,2,161,16,0,2,735,93,5.15,1.265,8.6,1.8,2.8,8.4,3.04,
2,Ken Waldichuk*,25,SP,0.0,4,9,.308,5.36,35,22,2,0,0,1,141.0,149,93,84,24,71,1,132,9,1,7,639,78,5.30,1.560,9.5,1.5,4.5,8.4,1.86,
3,Luis Medina,24,SP,0.0,3,10,.231,5.42,23,17,0,0,0,0,109.2,109,73,66,14,57,2,106,8,2,11,495,78,4.76,1.514,8.9,1.1,4.7,8.7,1.86,
4,Paul Blackburn,29,SP,1.3,4,7,.364,4.43,21,20,0,0,0,0,103.2,117,54,51,11,43,1,104,3,0,1,464,95,3.96,1.543,10.2,1.0,3.7,9.0,2.42,
5,Kyle Muller*,25,SP,-1.4,1,5,.167,7.60,21,13,1,0,0,0,77.0,112,65,65,16,39,1,56,3,1,3,372,55,6.14,1.961,13.1,1.9,4.6,6.5,1.44,
6,James Kaprielian,29,SP,-0.3,2,6,.250,6.34,14,11,0,0,0,0,61.0,66,45,43,9,31,1,57,5,0,3,280,67,5.07,1.590,9.7,1.3,4.6,8.4,1.84,
7,Trevor May,33,CL,1.0,4,4,.500,3.28,49,0,35,0,0,21,46.2,35,21,17,4,29,5,40,3,0,2,205,129,4.71,1.371,6.8,0.8,5.6,7.7,1.38,
8,Lucas Erceg,28,RP,-0.1,4,4,.500,4.75,50,0,4,0,0,0,55.0,51,33,29,1,36,1,68,6,0,5,251,89,3.31,1.582,8.3,0.2,5.9,11.1,1.89,
9,Austin Pruitt,33,RP,1.4,2,6,.250,2.98,38,6,8,0,0,0,48.1,44,18,16,5,12,1,30,1,0,1,196,142,4.17,1.159,8.2,0.9,2.2,5.6,2.50,
10,Sam Long*,27,RP,-0.2,0,1,.000,5.60,40,1,15,0,0,2,45.0,49,29,28,5,21,3,32,1,0,2,199,76,4.74,1.556,9.8,1.0,4.2,6.4,1.52,
11,Sam Moll*,31,RP,0.3,0,3,.000,4.54,45,1,10,0,0,1,37.2,34,20,19,1,19,4,46,7,0,4,170,93,3.23,1.407,8.1,0.2,4.5,11.0,2.42,
12,Hogan Harris*,26,,-0.9,3,6,.333,7.14,14,6,0,0,0,0,63.0,67,51,50,10,28,0,56,3,0,1,284,59,5.02,1.508,9.6,1.4,4.0,8.0,2.00,
13,Adrián Martínez,26,,0.3,0,2,.000,4.75,22,1,7,0,0,0,55.0,59,31,29,8,19,0,47,5,0,4,241,89,4.75,1.418,9.7,1.3,3.1,7.7,2.47,
14,Shintaro Fujinami,29,,-1.9,5,8,.385,8.57,34,7,9,0,0,0,49.1,52,48,47,6,30,1,51,5,0,4,231,49,4.90,1.662,9.5,1.1,5.5,9.3,1.70,
15,Mason Miller,24,,0.6,0,3,.000,3.78,10,6,0,0,0,0,33.1,24,15,14,2,16,0,38,3,0,3,139,112,3.47,1.200,6.5,0.5,4.3,10.3,2.38,
16,Zach Neal,34,,-0.4,1,1,.500,6.67,14,2,10,0,0,0,27.0,30,22,20,8,14,1,25,2,0,0,124,64,7.03,1.630,10.0,2.7,4.7,8.3,1.79,
17,Richard Lovelady*,27,,0.1,0,3,.000,4.63,27,0,3,0,0,0,23.1,15,13,12,3,10,0,24,3,0,0,96,92,4.54,1.071,5.8,1.2,3.9,9.3,2.40,
18,Dany Jiménez,29,,0.5,0,2,.000,3.47,25,1,6,0,0,1,23.1,11,9,9,3,14,1,21,0,0,2,94,123,4.93,1.071,4.2,1.2,5.4,8.1,1.50,
19,Adam Oller,28,,-1.0,1,1,.500,10.07,9,1,2,0,0,0,19.2,29,24,22,5,12,0,13,1,0,1,101,42,7.22,2.085,13.3,2.3,5.5,5.9,1.08,
20,Zach Jackson,28,,0.6,2,1,.667,2.50,19,0,6,0,0,1,18.0,18,7,5,1,10,0,23,0,0,5,80,171,3.09,1.556,9.0,0.5,5.0,11.5,2.30,
21,Drew Rucinski,34,,-0.8,0,4,.000,9.00,4,4,0,0,0,0,18.0,27,22,18,5,14,0,6,1,0,0,95,48,8.70,2.278,13.5,2.5,7.0,3.0,0.43,
22,Francisco Pérez*,25,,-0.2,1,2,.333,5.94,17,1,8,0,0,0,16.2,17,12,11,0,8,1,14,1,0,1,74,72,3.20,1.500,9.2,0.0,4.3,7.6,1.75,
23,Joe Boyle,23,,0.6,2,0,1.000,1.69,3,3,0,0,0,0,16.0,8,4,3,1,5,0,15,0,0,0,60,254,3.13,0.813,4.5,0.6,2.8,8.4,3.00,
24,Ángel Felipe,25,,0.2,1,1,.500,4.20,14,0,5,0,0,0,15.0,6,7,7,0,13,0,19,1,0,1,64,102,3.52,1.267,3.6,0.0,7.8,11.4,1.46,
25,Sean Newcomb*,30,,0.4,1,1,.500,3.00,7,2,1,0,0,0,15.0,8,5,5,1,9,0,17,2,0,1,61,143,4.06,1.133,4.8,0.6,5.4,10.2,1.89,
