Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Blake Snell*,30,SP,6.2,14,9,.609,2.25,32,32,0,0,0,0,180.0,115,47,45,15,99,0,234,3,2,13,742,187,3.44,1.189,5.8,0.8,5.0,11.7,2.36,"CYA-1,MVP-13"
2,Seth Lugo,33,SP,1.9,8,7,.533,3.57,26,26,0,0,0,0,146.1,140,62,58,19,36,0,140,3,0,3,604,118,3.83,1.203,8.6,1.2,2.2,8.6,3.89,
3,Yu Darvish,36,SP,0.7,8,10,.444,4.56,24,24,0,0,0,0,136.1,134,71,69,18,43,0,141,8,1,1,574,93,4.03,1.298,8.8,1.2,2.8,9.3,3.28,
4,Michael Wacha,31,SP,2.5,14,4,.778,3.22,24,24,0,0,0,0,134.1,113,49,48,15,43,0,124,3,1,3,553,131,3.89,1.161,7.6,1.0,2.9,8.3,2.88,
5,Joe Musgrove,30,SP,1.9,10,3,.769,3.05,17,17,0,0,0,0,97.1,90,35,33,10,21,1,97,9,1,2,399,138,3.52,1.140,8.3,0.9,1.9,9.0,4.62,
6,Josh Hader*,29,CL,2.4,2,3,.400,1.28,61,0,52,0,0,33,56.1,32,11,8,3,30,2,85,3,0,3,231,331,2.69,1.101,5.1,0.5,4.8,13.6,2.83,AS
7,Nick Martinez,32,RP,1.5,6,4,.600,3.43,63,9,6,0,0,1,110.1,99,45,42,12,40,1,106,3,0,3,461,123,3.92,1.260,8.1,1.0,3.3,8.6,2.65,
8,Luis García,36,RP,0.1,2,3,.400,4.07,61,0,26,0,0,0,59.2,59,30,27,6,24,1,53,6,0,4,267,104,4.29,1.391,8.9,0.9,3.6,8.0,2.21,
9,Steven Wilson,28,RP,0.3,1,2,.333,3.91,52,0,4,0,0,0,53.0,35,23,23,7,27,1,57,3,0,0,219,108,4.52,1.170,5.9,1.2,4.6,9.7,2.11,
10,Tom Cosgrove*,27,RP,1.4,1,2,.333,1.75,54,0,16,0,0,1,51.1,31,12,10,3,19,1,44,5,0,1,205,242,3.70,0.974,5.4,0.5,3.3,7.7,2.32,
11,Pedro Avila,26,,0.4,2,2,.500,3.22,14,6,2,0,0,0,50.1,43,23,18,3,25,0,54,5,1,5,220,132,3.67,1.351,7.7,0.5,4.5,9.7,2.16,
12,Brent Honeywell Jr.,28,,0.2,2,4,.333,4.05,36,0,10,0,0,0,46.2,44,22,21,8,20,0,42,4,1,3,204,105,5.23,1.371,8.5,1.5,3.9,8.1,2.10,
13,Ryan Weathers*,23,,-0.6,1,6,.143,6.25,12,10,0,0,0,0,44.2,55,33,31,9,17,0,29,1,0,1,196,68,5.78,1.612,11.1,1.8,3.4,5.8,1.71,
14,Tim Hill*,33,,-1.2,1,4,.200,5.48,48,0,7,0,0,0,44.1,59,36,27,7,14,0,26,6,0,0,202,77,5.49,1.647,12.0,1.4,2.8,5.3,1.86,
15,Matt Waldron,26,,0.2,1,3,.250,4.35,8,6,0,0,0,0,41.1,39,20,20,9,12,0,31,0,0,0,173,97,5.46,1.234,8.5,2.0,2.6,6.8,2.58,
16,Scott Barlow,30,,0.2,0,2,.000,3.07,25,0,1,0,0,0,29.1,23,13,10,1,12,2,32,4,0,0,123,139,3.15,1.193,7.1,0.3,3.7,9.8,2.67,
17,Robert Suarez,32,,0.0,4,3,.571,4.23,26,0,5,0,0,0,27.2,15,13,13,4,10,3,24,0,0,0,108,101,4.48,0.904,4.9,1.3,3.3,7.8,2.40,
18,Rich Hill*,43,,-1.1,1,4,.200,8.23,10,5,3,0,0,0,27.1,36,28,25,8,11,0,25,3,0,1,130,52,6.77,1.720,11.9,2.6,3.6,8.2,2.27,
19,Ray Kerr*,28,,0.0,1,1,.500,4.33,22,0,12,0,0,0,27.0,25,15,13,5,9,1,35,1,0,1,114,98,4.18,1.259,8.3,1.7,3.0,11.7,3.89,
20,Drew Carlton,27,,-0.2,2,1,.667,4.35,11,0,1,0,0,0,20.2,18,12,10,2,6,0,18,1,0,1,85,98,3.79,1.161,7.8,0.9,2.6,7.8,3.00,
21,Domingo Tapia,31,,0.2,0,1,.000,3.57,15,0,6,0,0,1,17.2,13,8,7,2,12,1,14,1,0,0,75,120,5.35,1.415,6.6,1.0,6.1,7.1,1.17,
22,Nabil Crismatt,28,,-0.6,0,1,.000,9.82,7,0,3,0,0,0,11.0,17,12,12,3,7,0,9,1,0,2,57,44,7.35,2.182,13.9,2.5,5.7,7.4,1.29,
23,Adrián Morejón*,24,,-0.2,0,0,,7.00,8,1,1,0,0,0,9.0,14,7,7,1,5,0,8,0,0,1,44,63,4.59,2.111,14.0,1.0,5.0,8.0,1.60,
24,Reiss Knehr,26,,-0.4,0,1,.000,15.88,4,1,3,0,0,0,5.2,10,10,10,3,5,0,4,0,0,0,32,28,11.37,2.647,15.9,4.8,7.9,6.4,0.80,
25,Jackson Wolf*,24,,0.0,1,0,1.000,5.40,1,1,0,0,0,0,5.0,6,3,3,0,1,0,1,0,0,0,22,84,3.46,1.400,10.8,0.0,1.8,1.8,1.00,
26,Alek Jacob,25,,0.1,0,0,,0.00,3,0,2,0,0,0,3.0,0,0,0,0,1,0,5,0,0,0,10,,0.92,0.333,0.0,0.0,3.0,15.0,5.00,
27,Nick Hernandez,28,,-0.1,0,0,,12.00,2,0,0,0,0,0,3.0,3,4,4,1,4,0,5,2,0,0,18,39,10.26,2.333,9.0,3.0,12.0,15.0,1.25,
28,José Espada,26,,0.0,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,2,0,2,0,0,0,5,,5.26,2.000,0.0,0.0,18.0,18.0,1.00,
29,Brandon Dixon,31,,0.0,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.26,0.000,0.0,0.0,0.0,0.0,,
30,José Castillo*,27,,-0.1,0,0,,108.00,1,0,0,0,0,0,0.1,2,4,4,0,2,0,0,1,0,0,6,8,30.26,12.000,54.0,0.0,54.0,0.0,0.00,
