Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Vladimir Guerrero Jr.,24,1B,2.0,156,682,602,78,159,30,0,26,94,5,3,67,100,0.264,0.345,0.444,0.788,116,0.346,121,267,23,9,0,4,5,*3D/H,AS,Right,No
Bo Bichette,25,SS,4.9,135,601,571,69,175,30,3,20,73,5,3,27,115,0.306,0.339,0.475,0.814,122,0.355,127,271,14,2,0,1,0,*6/DH,"AS,MVP-16",Right,No
George Springer,33,RF,2.1,154,683,613,87,158,25,1,21,72,20,5,60,125,0.258,0.327,0.405,0.732,102,0.327,105,248,20,5,0,3,1,*9D/H8,0,Right,No
Whit Merrifield,34,2B,0.7,145,592,547,66,149,27,0,11,67,26,10,36,101,0.272,0.318,0.382,0.7,93,0.311,94,209,15,3,0,6,2,47/H9,AS,Right,No
Daulton Varsho*,26,LF,3.9,158,581,527,65,116,23,3,20,61,16,7,45,135,0.22,0.285,0.389,0.674,84,0.299,87,205,5,4,1,3,0,*78/HD,0,Left,No
Matt Chapman,30,3B,4.4,140,581,509,66,122,39,2,17,54,4,2,62,165,0.24,0.33,0.424,0.755,107,0.333,111,216,4,8,0,2,1,*5/DH,GG,Right,No
Danny Jansen,28,C,1.6,86,301,268,38,61,15,0,17,53,0,0,23,62,0.228,0.312,0.474,0.786,114,0.337,114,127,3,10,0,0,1,2H/D,0,Right,No
Alejandro Kirk,24,C,1.9,123,422,372,34,93,16,0,8,43,0,0,42,45,0.25,0.334,0.358,0.692,92,0.308,93,133,21,6,0,2,1,2HD,0,Right,No
Brandon Belt*,35,DH,2.0,103,404,339,53,86,23,0,19,43,0,0,61,141,0.254,0.369,0.49,0.858,135,0.373,139,166,5,2,0,2,1,D3/H,0,Left,No
Cavan Biggio*,28,UT,0.8,111,338,289,54,68,12,0,9,40,5,2,40,88,0.235,0.34,0.37,0.71,97,0.317,99,107,0,7,0,2,0,4H935/D6,0,Left,No
Kevin Kiermaier*,33,CF,3.9,129,408,370,58,98,21,6,8,36,14,1,29,86,0.265,0.322,0.419,0.741,103,0.33,104,155,9,4,1,4,0,*8/HD,GG,Left,No
Santiago Espinal,28,IF,0.5,93,254,230,30,57,14,0,2,25,2,1,18,36,0.248,0.31,0.335,0.644,79,0.291,81,77,5,3,2,1,1,45H6/D,0,Right,No
Davis Schneider,24,2B,1.8,35,141,116,23,32,12,1,8,20,1,0,21,43,0.276,0.404,0.603,1.008,174,0.429,179,70,2,4,0,0,0,4/D57H,0,Right,No
Ernie Clement,27,MI,1.0,29,52,50,7,19,1,1,1,10,1,0,1,4,0.38,0.385,0.5,0.885,143,0.381,142,25,0,0,0,1,0,6H/45D1,0,Right,No
Spencer Horwitz*,25,DH,0.3,15,44,39,5,10,2,0,1,7,0,0,4,12,0.256,0.341,0.385,0.726,101,0.323,103,15,1,1,0,0,0,/D3H,0,Left,No
Tyler Heineman#,32,C,0.3,19,37,29,4,8,1,1,0,3,0,0,7,7,0.276,0.432,0.379,0.812,129,0.363,132,11,0,1,0,0,0,2/H,0,Both,No
Nathan Lukes*,28,OF,-0.1,29,31,26,4,5,1,1,0,2,0,0,4,9,0.192,0.29,0.308,0.598,66,0.266,63,8,1,0,0,1,0,9H/D78,0,Left,No
Paul DeJong,29,SS,-0.8,13,44,44,1,3,0,0,0,1,0,0,0,18,0.068,0.068,0.068,0.136,-62,0.061,-83,3,1,0,0,0,0,6,0,Right,No
Jordan Luplow,29,RF,-0.1,7,17,14,1,3,0,0,0,1,0,0,3,8,0.214,0.353,0.214,0.567,63,0.254,52,3,0,0,0,0,1,/9HD,0,Right,No
Cam Eden,25,DH,-0.1,5,6,6,1,1,0,0,0,0,0,0,0,2,0.167,0.167,0.167,0.333,-7,0.149,-20,1,0,0,0,0,0,/H7D,0,Right,No
Mason McCoy,28,SS,0.0,6,1,1,2,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-125,0,0,0,0,0,0,/6H,0,Right,No
Tim Mayza*,31,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No
Jordan Romano,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,AS,Right,No
José Berríos,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,GG,Right,No
