Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,40/70 Club
Eugenio Suárez,32,3B,3.1,158,640,571,90,146,28,2,30,101,2,1,49,176,0.256,0.319,0.469,0.788,116,0.34,115,268,10,9,0,11,0,*5/D,0,Right,No,No,No,No,No,No,No
Ketel Marte#,30,2B,6.8,136,583,504,93,147,23,2,36,95,7,1,65,106,0.292,0.372,0.56,0.932,155,0.396,155,282,9,5,0,9,7,*4D/H6,"AS,MVP-3,SS",Both,No,No,No,No,No,No,No
Christian Walker,33,1B,2.6,130,552,479,72,120,26,0,26,84,2,2,55,133,0.251,0.335,0.468,0.803,121,0.34,116,224,12,10,0,8,4,*3/H,GG,Right,No,No,No,No,No,No,No
Lourdes Gurriel Jr.,30,LF,2.0,133,553,513,72,143,22,2,18,75,7,1,29,101,0.279,0.322,0.435,0.757,109,0.329,106,223,16,6,0,5,1,*7H/D3,0,Right,No,No,No,No,No,No,No
Corbin Carroll*,23,CF,3.4,158,684,589,121,136,22,14,22,74,35,8,73,130,0.231,0.322,0.428,0.749,107,0.333,106,252,3,10,3,9,0,*89/H,0,Left,No,Yes,No,No,No,No,No
Joc Pederson*,32,DH,2.9,132,449,367,62,101,17,1,23,64,7,4,55,105,0.275,0.393,0.515,0.908,151,0.388,151,189,5,18,1,3,2,*DH,0,Left,No,No,No,No,No,No,No
Jake McCarthy*,26,RF,1.7,142,495,442,66,126,13,7,8,56,25,6,31,78,0.285,0.349,0.4,0.749,109,0.335,107,177,4,14,5,3,1,*987H/D,0,Left,No,No,No,No,No,No,No
Randal Grichuk,32,DH,2.2,106,279,254,40,74,20,2,12,46,0,0,20,46,0.291,0.348,0.528,0.875,140,0.377,142,134,5,3,0,2,0,9DH7,0,Right,No,No,No,No,No,No,No
Gabriel Moreno,24,C,2.6,97,351,305,39,81,18,1,5,45,3,1,41,52,0.266,0.353,0.38,0.734,105,0.327,105,116,10,2,0,3,1,2H/5,0,Right,No,No,No,No,No,No,No
Geraldo Perdomo#,24,SS,3.5,98,388,337,61,92,21,2,3,37,9,1,36,58,0.273,0.344,0.374,0.718,101,0.328,104,126,5,3,7,5,0,6/H,0,Both,No,No,No,No,No,No,No
Pavin Smith*,28,UT,0.6,60,158,137,26,37,11,0,9,36,1,0,18,31,0.27,0.348,0.547,0.896,145,0.382,145,75,4,0,0,3,0,397H/D1,0,Left,No,No,No,No,No,No,No
Kevin Newman,30,MI,2.2,111,311,288,41,80,17,1,3,28,8,1,15,48,0.278,0.311,0.375,0.686,91,0.313,92,108,7,0,6,2,1,643/H57D,0,Right,No,No,No,No,No,No,No
Josh Bell#,31,1B,0.3,41,162,140,24,39,5,1,5,22,0,1,17,32,0.279,0.361,0.436,0.796,121,0.349,125,61,9,1,0,0,0,3/DH,0,Both,No,No,No,No,No,No,No
Blaze Alexander,25,MI,0.0,61,185,166,19,41,7,0,3,21,3,1,15,49,0.247,0.321,0.343,0.664,86,0.301,87,57,1,3,1,0,0,64D/H5,0,Right,No,No,No,No,No,No,No
Adrian Del Castillo*,24,C,0.5,25,87,80,12,25,5,0,4,19,1,1,7,28,0.313,0.368,0.525,0.893,146,0.379,146,42,1,0,0,0,0,2/H,0,Left,No,No,No,No,No,No,No
Alek Thomas*,24,CF,0.0,39,103,95,13,18,5,1,3,17,4,1,7,17,0.189,0.245,0.358,0.603,66,0.283,71,34,7,0,1,0,0,8/HD,0,Left,No,No,No,No,No,No,No
José Herrera#,27,C,-0.2,42,114,97,11,22,4,1,1,13,0,0,9,27,0.227,0.29,0.32,0.609,70,0.272,64,31,1,0,7,1,0,2/H5D,0,Both,No,No,No,No,No,No,No
Tucker Barnhart*,33,C,0.3,31,96,81,13,14,3,0,0,6,1,0,13,31,0.173,0.287,0.21,0.497,42,0.252,49,17,0,0,2,0,0,2/1H,0,Left,No,No,No,No,No,No,No
