Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Ian Happ#,29,LF,3.9,153,657,569,89,138,34,2,25,86,13,2,80,168,0.243,0.341,0.441,0.782,120,0.345,121,251,7,6,0,2,1,*7/DH,GG,Both,No,No,No,No,No,No,No,No,No
Cody Bellinger*,28,DH,2.2,130,569,516,72,137,23,3,18,78,9,2,45,89,0.266,0.325,0.426,0.751,111,0.326,108,220,10,3,0,5,7,98D3/7,0,Left,No,No,No,No,No,No,No,No,No
Seiya Suzuki,29,RF,3.5,132,585,512,74,145,27,6,21,73,16,6,63,160,0.283,0.366,0.482,0.848,138,0.364,136,247,6,6,0,4,3,9D/7H,0,Right,No,No,No,No,No,No,No,No,No
Dansby Swanson,30,SS,3.9,149,593,534,82,129,27,2,16,66,19,3,54,144,0.242,0.312,0.39,0.701,98,0.313,96,208,7,2,0,3,2,*6/H,0,Right,No,No,No,No,No,No,No,No,No
Michael Busch*,26,1B,2.8,152,567,496,73,123,28,2,21,65,2,1,63,162,0.248,0.335,0.44,0.775,118,0.338,118,218,9,4,0,4,1,*3H/4D5,0,Left,No,No,No,No,No,No,No,No,No
Christopher Morel,25,3B,0.2,103,421,362,43,72,7,1,18,51,7,5,47,103,0.199,0.302,0.373,0.675,90,0.3,92,135,11,8,0,4,2,5D/H,0,Right,No,No,No,No,No,No,No,No,No
Nico Hoerner,27,2B,3.7,151,641,582,86,159,35,1,7,48,31,6,44,66,0.273,0.335,0.373,0.708,101,0.327,105,217,8,12,0,3,1,*46/H,0,Right,No,No,No,No,No,No,No,No,No
Miguel Amaya,25,C,1.9,117,363,328,32,76,13,2,8,47,0,0,23,62,0.232,0.288,0.357,0.644,82,0.292,84,117,5,4,5,3,0,*2/H,0,Right,No,No,No,No,No,No,No,No,No
Pete Crow-Armstrong*,22,CF,2.3,123,410,372,46,88,13,6,10,47,27,3,21,98,0.237,0.286,0.384,0.67,88,0.3,82,143,4,6,8,3,2,*8H,0,Left,No,No,No,No,No,No,No,No,No
Mike Tauchman*,33,RF,0.6,109,350,298,50,74,12,1,7,29,6,2,47,70,0.248,0.357,0.366,0.723,106,0.326,108,109,7,4,0,1,0,9HD78,0,Left,No,No,No,No,No,No,No,No,No
Isaac Paredes,25,3B,0.4,52,212,179,23,40,6,0,3,25,1,0,24,37,0.223,0.325,0.307,0.633,82,0.294,86,55,4,5,0,4,0,5/H,AS,Right,No,No,No,No,No,No,No,No,No
Patrick Wisdom,32,CI,-0.4,75,174,158,16,27,7,2,8,23,5,0,10,59,0.171,0.237,0.392,0.629,75,0.276,68,62,1,4,1,1,0,H35D/9471,0,Right,No,No,No,No,No,No,No,No,No
Christian Bethancourt,32,C,0.8,24,59,57,9,16,4,0,3,15,3,0,2,14,0.281,0.305,0.509,0.814,126,0.385,143,29,1,0,0,0,0,2,0,Right,No,No,No,No,No,No,No,No,No
Nick Madrigal,27,IF,-0.4,51,94,86,5,19,3,0,0,10,1,0,4,10,0.221,0.28,0.256,0.535,54,0.246,50,22,2,3,1,0,0,54/HD,0,Right,No,No,No,No,No,No,No,No,No
Yan Gomes,36,C,-0.7,34,96,91,7,14,2,0,2,7,0,0,2,36,0.154,0.179,0.242,0.421,18,0.192,12,22,2,1,1,1,0,2,0,Right,No,No,No,No,No,No,No,No,No
David Bote,31,IF,0.2,37,48,46,4,14,4,0,0,6,0,0,2,13,0.304,0.333,0.391,0.725,105,0.317,103,18,1,0,0,0,0,5H/431,0,Right,No,No,No,No,No,No,No,No,No
Garrett Cooper,33,UT,0.1,12,41,37,3,10,1,1,1,6,0,0,4,13,0.27,0.341,0.432,0.774,118,0.336,116,16,1,0,0,0,0,/D3H7,0,Right,No,No,No,No,No,No,No,No,No
Miles Mastrobuoni*,28,IF,-0.2,50,106,98,9,19,3,0,0,4,2,0,7,17,0.194,0.245,0.224,0.47,35,0.22,29,22,1,0,0,1,0,H546/97D,0,Left,No,No,No,No,No,No,No,No,No
Tomás Nido,30,C,-0.5,17,50,47,5,6,2,0,1,4,0,0,1,15,0.128,0.143,0.234,0.377,5,0.159,-14,11,1,0,1,1,0,2/H,0,Right,No,No,No,No,No,No,No,No,No
Matt Mervis*,26,DH,-0.4,9,28,26,1,3,1,0,0,3,0,0,1,8,0.115,0.148,0.154,0.302,-14,0.138,-31,4,0,0,0,0,0,/D13H,0,Left,No,No,No,No,No,No,No,No,No
