Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards
José Ramírez#,31,3B,6.8,158,682,620,114,173,39,2,39,118,41,7,54,82,0.279,0.335,0.537,0.872,143,0.376,140,333,9,1,0,6,12,*5D,"AS,MVP-5,SS"
Josh Naylor*,27,1B,1.5,152,633,563,84,137,27,0,31,108,6,2,58,105,0.243,0.32,0.456,0.776,118,0.336,117,257,17,7,0,4,7,*3D/H,AS
Andrés Giménez*,25,2B,4.0,152,633,583,64,147,22,1,9,63,30,5,26,97,0.252,0.298,0.34,0.638,82,0.294,81,198,11,15,3,6,1,*4,GG
David Fry,28,DH,1.4,122,392,335,44,88,18,1,14,51,4,1,42,84,0.263,0.356,0.448,0.804,128,0.352,128,150,13,9,0,4,4,DH237/59,AS
Steven Kwan*,26,LF,4.0,122,540,480,83,140,16,3,14,44,12,5,53,51,0.292,0.368,0.425,0.793,126,0.352,128,204,5,5,2,0,0,*7/DH,"AS,GG"
Bo Naylor*,24,C,0.7,123,389,354,39,71,10,2,13,39,6,3,29,122,0.201,0.264,0.35,0.614,73,0.272,71,124,3,2,2,2,1,*2H/D,0
Brayan Rocchio#,23,SS,1.9,143,442,383,50,79,18,0,8,36,10,6,44,90,0.206,0.298,0.316,0.614,76,0.281,78,121,11,8,2,5,1,*6/H,0
Tyler Freeman,25,CF,0.9,118,383,330,48,69,14,1,7,32,11,6,28,53,0.209,0.305,0.321,0.626,79,0.288,83,106,15,19,3,3,1,8H6/54D,0
Will Brennan*,26,RF,-0.2,114,353,330,37,87,13,2,8,30,4,2,19,48,0.264,0.309,0.388,0.697,97,0.307,96,128,9,3,0,1,2,97HD/8,0
Jhonkensy Noel,22,RF,1.0,67,198,179,25,39,7,1,13,28,0,0,13,63,0.218,0.288,0.486,0.774,115,0.333,114,87,1,5,0,1,0,9H/3D7,0
Lane Thomas,28,CF,-0.2,53,187,172,23,36,10,0,7,23,4,2,12,65,0.209,0.267,0.39,0.657,85,0.28,76,67,1,2,0,1,1,89/HD,0
Daniel Schneemann*,27,UT,0.7,73,221,193,17,42,10,2,5,22,3,2,25,70,0.218,0.303,0.368,0.671,91,0.297,90,71,1,0,0,3,0,6589H/47D,0
Gabriel Arias,24,IF,-0.4,53,161,153,15,34,9,1,3,15,5,2,6,53,0.222,0.255,0.353,0.608,71,0.273,71,54,4,1,0,1,0,56/4H38D79,0
Kyle Manzardo*,23,DH,0.0,53,156,145,11,34,12,0,5,15,0,0,9,41,0.234,0.282,0.421,0.703,97,0.307,96,61,3,1,0,1,0,DH/3,0
Austin Hedges,31,C,-0.6,66,146,132,12,20,3,0,2,15,2,0,6,50,0.152,0.203,0.22,0.422,21,0.199,14,29,2,3,3,2,0,2/1,0
Ángel Martínez#,22,OF,0.1,43,169,151,16,35,7,0,3,11,3,1,15,33,0.232,0.298,0.338,0.635,81,0.286,80,51,2,0,1,2,0,87/9H5D4,0
Estevan Florial*,26,OF,0.1,36,111,98,11,17,6,2,3,11,2,1,11,41,0.173,0.264,0.367,0.631,78,0.275,73,36,2,1,1,0,0,79D/H8,0
Johnathan Rodríguez,24,RF,-0.4,13,40,31,6,4,1,0,0,5,0,0,9,14,0.129,0.325,0.161,0.486,46,0.25,55,5,1,0,0,0,0,9/H7D,0
Ramón Laureano,29,OF,0.0,31,83,70,7,10,3,0,1,4,3,1,7,32,0.143,0.265,0.229,0.494,43,0.248,52,16,1,5,0,1,0,98/H,0
Myles Straw,29,DH,-0.1,7,4,4,2,1,0,0,0,0,2,0,0,0,0.25,0.25,0.25,0.5,44,0.348,38,1,0,0,0,0,0,/8HD,0
José Tena*,23,3B,-0.1,3,4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-124,0,0,0,0,0,0,/5DH,0
Spencer Howard,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0
Hunter Gaddis,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
Pedro Avila,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0
