Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Willy Adames,28.0,3,12,11,1,2,0,0,0,0,1,0,1,3,0.182,0.25,0.182,0.432,2,0,0,0,0,0,/*6,
2.0,Jackson Chourio,20.0,3,12,11,3,5,0,0,2,3,1,0,1,1,0.455,0.5,1.0,1.5,11,0,0,0,0,0,*/7,
3.0,Brice Turang*,24.0,3,12,11,3,5,3,0,0,0,2,0,1,1,0.455,0.5,0.727,1.227,8,1,0,0,0,0,/*4,
4.0,William Contreras,26.0,3,12,12,0,2,0,0,0,2,0,0,0,3,0.167,0.167,0.167,0.333,2,1,0,0,0,0,/2D,
5.0,Sal Frelick*,24.0,3,11,11,2,4,1,0,1,1,0,0,0,1,0.364,0.364,0.727,1.091,8,0,0,0,0,0,*/9,
6.0,Joey Ortiz,25.0,3,11,11,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,/*5,
7.0,Rhys Hoskins,31.0,3,10,9,0,0,0,0,0,1,0,0,0,3,0.0,0.1,0.0,0.1,0,1,1,0,0,0,/*3,
8.0,Blake Perkins#,27.0,2,8,6,0,3,0,0,0,1,1,0,1,1,0.5,0.5,0.5,1.0,3,0,0,0,1,0,/8,
9.0,Gary Sánchez,31.0,2,7,7,0,2,1,0,0,0,0,0,0,2,0.286,0.286,0.429,0.714,3,0,0,0,0,0,/2D,
10.0,Jake Bauers*,28.0,2,6,6,1,2,0,0,1,1,0,0,0,3,0.333,0.333,0.833,1.167,5,0,0,0,0,0,/3DH,
11.0,Garrett Mitchell*,25.0,2,5,4,1,1,0,0,1,2,0,1,1,1,0.25,0.4,1.0,1.4,4,0,0,0,0,0,/8DH,
12.0,Devin Williams,29.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
13.0,Joe Ross,31.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
14.0,Freddy Peralta,28.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
15.0,Joel Payamps,30.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
16.0,Tobias Myers,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
17.0,Frankie Montas,31.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
18.0,Trevor Megill*,30.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
19.0,Nick Mears,27.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
20.0,Jared Koenig,30.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
21.0,Aaron Civale,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
22.0,Aaron Ashby,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,/1,
