Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Carlos Santana#,38,1B,2.5,150,594,521,63,124,26,0,23,71,4,0,65,99,0.238,0.328,0.42,0.749,109,0.329,108,219,11,6,0,2,3,*3/HD,GG,Both,No,No,No,No,No,No,No,No,No
Ryan Jeffers,27,C,2.1,122,465,412,56,93,22,0,21,64,3,0,32,94,0.226,0.3,0.432,0.732,103,0.322,103,178,9,14,1,6,0,2DH,0,Right,No,No,No,No,No,No,No,No,No
Willi Castro#,27,UT,1.6,158,635,558,89,138,31,5,12,60,14,9,51,150,0.247,0.331,0.385,0.717,102,0.326,108,215,8,21,1,4,0,64785/H1,AS,Both,No,No,No,No,No,No,No,No,No
Byron Buxton,30,CF,3.6,102,388,355,62,99,27,3,18,56,7,2,20,99,0.279,0.335,0.524,0.859,137,0.369,136,186,3,11,0,2,1,8/HD,0,Right,No,No,No,No,No,No,No,No,No
Carlos Correa,29,SS,3.7,86,367,319,55,99,20,2,14,54,0,0,40,61,0.31,0.388,0.517,0.905,152,0.393,155,165,5,3,0,4,4,6/DH,AS,Right,No,No,No,No,No,No,No,No,No
Trevor Larnach*,27,DH,1.3,112,400,355,59,92,17,0,15,52,4,1,40,89,0.259,0.338,0.434,0.771,116,0.341,117,154,12,3,0,2,1,7D9H,0,Left,No,No,No,No,No,No,No,No,No
José Miranda,26,3B,1.7,121,429,401,44,114,28,4,9,49,2,2,18,66,0.284,0.322,0.441,0.763,112,0.333,112,177,13,6,0,4,1,5DH3/6,0,Right,No,No,No,No,No,No,No,No,No
Royce Lewis,25,3B,0.7,82,325,292,40,68,16,0,16,47,0,0,28,74,0.233,0.295,0.452,0.747,107,0.315,99,132,5,0,0,5,2,5D/H4,0,Right,No,No,No,No,No,No,No,No,No
Max Kepler*,31,RF,1.0,105,399,368,43,93,21,1,8,42,1,0,22,80,0.253,0.302,0.38,0.682,91,0.315,98,140,3,5,0,3,0,9H/D,0,Left,No,No,No,No,No,No,No,No,No
Matt Wallner*,26,OF,2.2,75,261,220,26,57,17,1,13,37,3,0,24,95,0.259,0.372,0.523,0.894,149,0.387,149,115,2,16,0,1,0,97DH/1,0,Left,No,No,No,No,No,No,No,No,No
Manuel Margot,29,LF,-0.9,129,343,315,37,75,17,1,4,31,5,0,21,54,0.238,0.289,0.337,0.626,76,0.281,72,106,10,3,1,3,0,*79H8/D,0,Right,No,No,No,No,No,No,No,No,No
Brooks Lee#,23,SS,-0.2,50,185,172,9,38,6,1,3,27,3,0,11,27,0.221,0.265,0.32,0.585,64,0.256,53,55,6,0,0,2,2,654/HD,0,Both,No,No,No,No,No,No,No,No,No
Christian Vázquez,33,C,-0.2,93,315,294,29,65,10,0,7,27,3,1,11,65,0.221,0.248,0.327,0.575,60,0.262,60,96,11,1,5,4,0,2/5DH3,0,Right,No,No,No,No,No,No,No,No,No
Kyle Farmer,33,IF,-0.3,107,242,215,26,46,13,1,5,25,3,5,19,49,0.214,0.293,0.353,0.647,82,0.281,80,76,6,6,0,2,1,45H6/13D,0,Right,No,No,No,No,No,No,No,No,No
Edouard Julien*,25,2B,-0.2,94,301,266,36,53,9,0,8,21,6,0,33,102,0.199,0.292,0.323,0.616,74,0.288,76,86,2,2,0,0,0,4H/D3,0,Left,No,No,No,No,No,No,No,No,No
Alex Kirilloff*,26,UT,-0.6,57,178,159,20,32,8,3,5,20,0,0,15,47,0.201,0.27,0.384,0.653,81,0.287,79,61,5,1,0,3,0,7D3/H9,0,Left,No,No,No,No,No,No,No,No,No
Austin Martin,25,OF,-1.0,93,257,233,41,59,18,1,1,16,7,3,20,47,0.253,0.318,0.352,0.67,89,0.299,87,82,4,2,2,0,0,78H4/D,0,Right,No,No,No,No,No,No,No,No,No
Diego Castillo,26,3B,0.2,4,8,6,3,2,1,0,0,2,0,0,2,1,0.333,0.5,0.5,1.0,184,0.439,189,3,0,0,0,0,0,/5DH,0,Right,No,No,No,No,No,No,No,No,No
DaShawn Keirsey*,27,CF,0.0,6,14,13,1,2,0,0,1,1,0,0,0,1,0.154,0.214,0.385,0.599,64,0.254,55,5,0,1,0,0,0,/87,0,Left,No,No,No,No,No,No,No,No,No
Michael Helman,28,UT,0.1,9,10,10,2,3,2,0,0,0,0,0,0,3,0.3,0.3,0.5,0.8,120,0.329,109,5,0,0,0,0,0,/8H759,0,Right,No,No,No,No,No,No,No,No,No
Jair Camargo,24,DH,-0.1,5,7,6,1,0,0,0,0,0,0,0,1,3,0.0,0.143,0.0,0.143,-54,0.098,-57,0,0,0,0,0,0,/2DH,0,Right,No,No,No,No,No,No,No,No,No
