Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Francisco Lindor#,30,SS,6.9,152,689,618,107,169,39,1,33,91,29,4,56,127,0.273,0.344,0.5,0.844,138,0.373,141,309,7,12,0,3,0,*6/DH,"MVP-2,SS",Both,No,Yes,No,No,No,No,No,No,No
Brandon Nimmo*,31,LF,2.2,151,663,571,88,128,25,3,23,90,15,0,77,158,0.224,0.327,0.399,0.727,107,0.331,111,228,7,12,0,3,1,*78/DH,0,Left,No,No,No,No,No,No,No,No,No
Pete Alonso,29,1B,2.6,162,695,608,91,146,31,0,34,88,3,0,70,172,0.24,0.329,0.459,0.788,123,0.341,122,279,14,13,0,4,4,*3/DH,AS,Right,No,No,No,No,No,No,No,No,No
Mark Vientos,24,3B,3.1,111,454,413,58,110,22,0,27,71,0,0,33,135,0.266,0.322,0.516,0.837,135,0.361,137,213,6,3,0,5,0,5/H3D,0,Right,No,No,No,No,No,No,No,No,No
J.D. Martinez,36,DH,0.5,120,495,434,46,102,24,1,16,69,0,0,49,141,0.235,0.32,0.406,0.725,106,0.321,108,176,17,6,0,2,0,*D/H,0,Right,No,No,No,No,No,No,No,No,No
Harrison Bader,30,CF,0.9,143,437,402,57,95,19,0,12,51,17,8,21,95,0.236,0.284,0.373,0.657,86,0.287,84,150,6,8,0,6,1,*8H/D,0,Right,No,No,No,No,No,No,No,No,No
Francisco Alvarez,22,C,0.8,100,342,308,39,73,14,2,11,47,1,1,30,86,0.237,0.307,0.403,0.71,101,0.319,107,124,7,2,0,2,0,2/HD,0,Right,No,No,No,No,No,No,No,No,No
Jeff McNeil*,32,2B,1.6,129,472,424,57,101,26,0,12,44,5,1,35,68,0.238,0.308,0.384,0.692,97,0.308,98,163,6,9,1,3,1,*497/H,0,Left,No,No,No,No,No,No,No,No,No
Starling Marte,35,RF,0.7,94,370,335,46,90,13,3,7,40,16,1,27,81,0.269,0.327,0.388,0.715,104,0.328,107,130,8,3,3,2,1,9/DH,0,Right,No,No,No,No,No,No,No,No,No
Tyrone Taylor,30,OF,2.0,130,345,319,47,79,22,3,7,35,11,2,19,80,0.248,0.299,0.401,0.701,99,0.317,102,128,4,5,1,1,1,*98H7/D,0,Right,No,No,No,No,No,No,No,No,No
Jose Iglesias,34,IF,3.1,85,291,270,39,91,16,1,4,26,6,2,12,39,0.337,0.381,0.448,0.83,137,0.361,136,121,4,8,0,1,1,45/H6,0,Right,No,No,No,No,No,No,No,No,No
DJ Stewart*,30,DH,-0.8,74,194,158,16,28,4,0,5,19,1,0,31,48,0.177,0.325,0.297,0.622,81,0.296,89,47,5,4,0,1,0,9HD7/3,0,Left,No,No,No,No,No,No,No,No,No
Brett Baty*,24,3B,0.3,50,171,153,15,35,3,0,4,16,0,0,16,42,0.229,0.306,0.327,0.633,82,0.287,83,50,3,1,1,0,1,5/H,0,Left,No,No,No,No,No,No,No,No,No
Luis Torrens,28,C,0.7,47,130,118,14,27,8,0,3,15,0,1,9,28,0.229,0.292,0.373,0.665,89,0.287,86,44,5,2,0,1,0,2/HD1,0,Right,No,No,No,No,No,No,No,No,No
Jesse Winker*,30,OF,0.1,44,129,115,12,28,5,0,3,13,0,0,10,22,0.243,0.318,0.365,0.683,95,0.303,95,42,3,3,0,1,0,97HD,0,Left,No,No,No,No,No,No,No,No,No
Tomás Nido,30,C,0.1,32,90,83,9,19,2,0,3,8,0,0,4,20,0.229,0.261,0.361,0.623,76,0.278,76,30,0,0,2,1,0,2/H,0,Right,No,No,No,No,No,No,No,No,No
Luisangel Acuña,22,MI,0.5,14,40,39,6,12,2,1,3,6,0,1,1,6,0.308,0.325,0.641,0.966,168,0.387,165,25,1,0,0,0,0,6/DH4,0,Right,No,No,No,No,No,No,No,No,No
Omar Narváez*,32,C,-0.9,28,69,65,4,10,2,0,0,5,0,0,3,12,0.154,0.191,0.185,0.376,9,0.172,-1,12,2,0,1,0,0,2,0,Left,No,No,No,No,No,No,No,No,No
Joey Wendle*,34,IF,-0.1,18,37,36,3,8,1,0,0,1,1,0,1,9,0.222,0.243,0.25,0.493,42,0.225,34,9,0,0,0,0,0,/456,0,Left,No,No,No,No,No,No,No,No,No
Ben Gamel*,32,OF,0.0,18,30,23,9,5,1,0,0,0,1,0,7,7,0.217,0.4,0.261,0.661,96,0.36,130,6,0,0,0,0,0,9/7HD,0,Left,No,No,No,No,No,No,No,No,No
Zack Short,29,3B,-0.1,10,12,9,2,1,0,0,0,0,0,1,2,4,0.111,0.273,0.111,0.384,16,0.162,20,1,0,0,1,0,0,/H546D,0,Right,No,No,No,No,No,No,No,No,No
Eddy Alvarez*,34,MI,0.1,12,11,9,2,0,0,0,0,0,0,0,1,2,0.0,0.182,0.0,0.182,-41,0.128,-31,0,0,1,0,0,0,4/H16,0,Left,No,No,No,No,No,No,No,No,No
Pablo Reyes,30,DH,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/DH,0,Right,No,No,No,No,No,No,No,No,No
Joe Hudson,33,C,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/2,0,Right,No,No,No,No,No,No,No,No,No
Edwin Díaz,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Jorge López,31,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Jake Diekman,37,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
