Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?
Bryan Reynolds#,29,LF,3.6,156,692,622,73,171,29,3,24,88,10,2,57,156,0.275,0.344,0.447,0.791,119,0.355,125,278,7,10,0,3,3,*7D9,AS,Both,No
Oneil Cruz*,25,SS,2.5,146,599,541,72,140,34,3,21,76,22,1,51,181,0.259,0.324,0.449,0.773,113,0.34,110,243,8,3,0,4,5,*68H/D,0,Left,No
Rowdy Tellez*,29,1B,-0.4,131,421,383,38,93,18,0,13,56,1,0,31,89,0.243,0.299,0.392,0.691,91,0.305,90,150,12,2,0,5,0,*3H/1,0,Left,No
Andrew McCutchen,37,DH,0.8,120,515,448,66,104,18,1,20,50,3,2,58,133,0.232,0.328,0.411,0.739,105,0.332,110,184,9,7,0,2,1,*D/9H,0,Right,No
Nick Gonzales,25,2B,0.9,94,387,359,42,97,19,3,7,49,5,3,18,74,0.27,0.311,0.398,0.709,96,0.316,98,143,8,5,1,4,1,4/6H5,0,Right,No
Jared Triolo,26,IF,1.3,125,446,394,41,85,10,1,9,46,8,1,42,118,0.216,0.296,0.315,0.611,71,0.286,74,124,5,5,0,5,0,54/36H9,GG,Right,No
Joey Bart,27,C,2.2,80,282,253,38,67,11,0,13,45,0,0,22,73,0.265,0.337,0.462,0.799,120,0.349,121,117,8,6,0,1,0,2D/H,0,Right,No
Connor Joe,31,UT,0.6,123,416,364,49,83,22,1,9,36,2,2,44,91,0.228,0.32,0.368,0.688,92,0.306,92,134,7,6,0,2,1,39H/7D,0,Right,No
Yasmani Grandal#,35,C,0.6,72,243,215,26,49,10,0,9,27,1,0,24,46,0.228,0.304,0.4,0.704,95,0.327,105,86,7,0,3,1,0,2/H3,0,Both,No
Jack Suwinski*,25,OF,-1.7,88,277,247,29,45,8,0,9,26,9,1,27,79,0.182,0.264,0.324,0.588,63,0.277,66,80,3,1,1,1,2,879H,0,Left,No
Ke'Bryan Hayes,27,3B,0.8,96,396,365,38,85,9,0,4,25,11,2,23,75,0.233,0.283,0.29,0.573,61,0.267,60,106,12,4,0,4,1,5/H,0,Right,No
Edward Olivares,28,RF,-0.7,55,196,174,22,39,4,0,5,23,1,0,16,37,0.224,0.291,0.333,0.624,74,0.285,75,58,3,2,0,4,0,9/DH7,0,Right,No
Michael A. Taylor,33,CF,0.9,113,300,269,35,52,9,1,5,21,12,1,23,105,0.193,0.253,0.29,0.543,52,0.255,47,78,3,0,4,4,0,8H/7D,0,Right,No
Bryan De La Cruz,27,RF,-1.2,44,168,160,17,32,6,0,3,17,2,1,4,52,0.2,0.22,0.294,0.514,42,0.238,42,47,2,1,0,3,0,9/7H,0,Right,No
Isiah Kiner-Falefa,29,SS,0.4,50,215,208,21,50,10,2,1,10,8,1,3,41,0.24,0.265,0.322,0.587,63,0.27,60,67,3,4,0,0,0,64/5H,0,Right,No
Joshua Palacios*,28,OF,-0.1,23,78,67,10,15,2,0,2,9,1,0,10,12,0.224,0.333,0.343,0.677,90,0.308,90,23,1,1,0,0,0,9/78H,0,Left,No
Billy Cook,25,UT,0.6,16,49,49,5,11,2,0,3,8,1,0,0,19,0.224,0.224,0.449,0.673,82,0.287,73,22,0,0,0,0,0,/3897,0,Right,No
Ji Hwan Bae*,24,OF,-0.4,29,81,74,11,14,2,0,0,6,6,2,6,24,0.189,0.247,0.216,0.463,31,0.228,31,16,0,0,0,1,0,89/HD4,0,Left,No
Jason Delay,29,C,0.1,7,19,15,1,3,3,0,0,6,0,0,3,0,0.2,0.333,0.4,0.733,104,0.322,102,6,0,0,1,0,0,/2DH,0,Right,No
Alika Williams,25,MI,-0.2,37,96,87,13,18,4,2,0,5,1,0,3,22,0.207,0.242,0.299,0.541,50,0.249,45,26,0,1,5,0,0,46/H,0,Right,No
Henry Davis,24,C,-0.6,37,122,104,9,15,4,0,1,5,0,0,13,45,0.144,0.242,0.212,0.453,28,0.226,32,22,1,1,1,2,0,2/HD,0,Right,No
Nick Yorke,22,UT,-0.2,11,42,37,4,8,0,0,2,5,2,0,4,12,0.216,0.286,0.378,0.664,84,0.299,78,14,0,0,0,1,0,/4957,0,Right,No
Billy McKinney*,29,OF,0.0,10,28,25,4,5,1,0,0,2,0,0,2,13,0.2,0.286,0.24,0.526,49,0.247,48,6,1,1,0,0,0,/79H8,0,Left,No
Liover Peguero,23,SS,-0.1,3,10,10,0,2,1,0,0,2,0,0,0,3,0.2,0.2,0.3,0.5,37,0.204,17,3,0,0,0,0,0,/6,0,Right,No
Grant Koch,27,C,-0.1,3,8,7,1,0,0,0,0,0,0,0,1,6,0.0,0.125,0.0,0.125,-61,0.086,-69,0,0,0,0,0,0,/2H,0,Right,No
