Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,40/70 Club
Cal Raleigh#,27,C,4.7,153,628,546,73,120,16,0,34,100,6,1,70,176,0.22,0.312,0.436,0.748,119,0.324,117,238,7,6,0,6,4,*2D/H,"MVP-12,GG",Both,No,No,No,No,No,No,No
Julio Rodríguez,23,CF,4.3,143,613,567,76,155,17,0,20,68,24,5,38,156,0.273,0.325,0.409,0.734,116,0.334,121,232,10,6,0,2,1,*8D/H,0,Right,No,Yes,No,No,No,No,No
Luke Raley*,29,UT,3.2,137,455,404,58,98,19,2,22,58,11,2,27,135,0.243,0.32,0.463,0.783,129,0.346,131,187,2,20,2,2,0,739H/8D,0,Left,No,No,No,No,No,No,No
Mitch Garver,33,DH,-0.1,114,430,367,37,63,17,0,15,51,0,0,53,133,0.172,0.286,0.341,0.627,85,0.282,88,125,9,7,0,3,0,D2/H,0,Right,No,No,No,No,No,No,No
Jorge Polanco#,30,2B,1.3,118,469,417,43,89,11,0,16,45,4,2,46,137,0.213,0.296,0.355,0.651,93,0.294,96,148,16,4,0,2,3,*4/DH,0,Both,No,No,No,No,No,No,No
Mitch Haniger,33,RF,-0.2,121,423,380,42,79,12,0,12,44,0,0,40,126,0.208,0.286,0.334,0.62,84,0.281,87,127,10,2,0,1,0,9DH,0,Right,No,No,No,No,No,No,No
Dylan Moore,31,UT,2.2,135,441,368,53,74,23,4,10,42,32,6,53,123,0.201,0.32,0.367,0.687,104,0.322,109,135,8,14,1,5,1,6547H3/8,GG,Right,No,No,No,No,No,No,No
J.P. Crawford*,29,SS,2.7,105,451,392,55,79,16,2,9,37,5,0,52,102,0.202,0.304,0.321,0.625,86,0.286,89,126,4,6,0,1,0,6/HD,0,Left,No,No,No,No,No,No,No
Ty France,29,1B,-0.2,88,340,300,28,67,14,0,8,31,0,1,28,83,0.223,0.312,0.35,0.662,97,0.3,102,105,11,11,0,1,0,3/H4D,0,Right,No,No,No,No,No,No,No
Josh Rojas*,30,3B,2.2,142,476,422,48,95,19,2,8,31,10,4,46,108,0.225,0.304,0.336,0.641,91,0.289,92,142,6,3,1,2,1,*5H4/713D,0,Left,No,No,No,No,No,No,No
Víctor Robles,27,OF,3.1,77,262,229,41,75,20,0,4,26,30,1,16,44,0.328,0.393,0.467,0.86,155,0.4,155,107,2,10,5,2,0,897/HD,0,Right,No,No,No,No,No,No,No
Justin Turner,39,1B,1.2,48,190,159,22,42,7,0,5,24,0,0,20,35,0.264,0.363,0.403,0.766,128,0.341,130,64,1,7,0,4,2,3D/H5,0,Right,No,No,No,No,No,No,No
Randy Arozarena,29,LF,1.0,54,239,199,32,46,14,0,5,23,4,3,28,68,0.231,0.356,0.377,0.733,118,0.334,127,75,4,11,0,1,0,7/8D,0,Right,No,No,No,No,No,No,No
Dominic Canzone*,26,RF,0.2,67,188,168,20,33,7,0,8,17,1,0,18,53,0.196,0.271,0.381,0.652,91,0.29,92,64,5,0,0,2,2,97H/D,0,Left,No,No,No,No,No,No,No
Luis Urías,27,3B,0.4,41,109,94,11,18,7,0,4,16,0,0,9,34,0.191,0.303,0.394,0.696,105,0.307,106,37,2,6,0,0,0,5/HD,0,Right,No,No,No,No,No,No,No
Ryan Bliss,24,2B,0.4,33,71,63,10,14,3,1,2,9,5,3,5,22,0.222,0.29,0.397,0.687,102,0.292,98,25,1,1,2,0,0,4H/D,0,Right,No,No,No,No,No,No,No
Leo Rivas#,26,SS,0.3,43,86,73,10,17,1,1,0,8,3,0,10,24,0.233,0.333,0.274,0.607,84,0.29,87,20,1,1,2,0,0,6H4/D15,0,Both,No,No,No,No,No,No,No
Tyler Locklear,23,1B,-0.3,16,49,45,3,7,1,0,2,3,1,0,3,20,0.156,0.224,0.311,0.536,57,0.241,55,14,3,1,0,0,0,3/H,0,Right,No,No,No,No,No,No,No
Jonatan Clase#,22,LF,-0.2,19,43,41,4,8,1,0,0,3,3,0,2,14,0.195,0.233,0.22,0.452,36,0.221,32,9,1,0,0,0,0,7/H8D,0,Both,No,No,No,No,No,No,No
Jason Vosler*,30,UT,-0.1,10,30,28,2,5,1,1,0,3,0,0,2,9,0.179,0.233,0.286,0.519,53,0.229,50,8,0,0,0,0,0,/3DH79,0,Left,No,No,No,No,No,No,No
