Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Alec Burleson*,25,DH,1.2,152,595,547,71,147,20,0,21,78,9,4,35,76,0.269,0.314,0.42,0.735,104,0.325,105,230,8,4,1,6,0,D97H3,0,Left,No,No,No,No,No,No,No,No,No
Brendan Donovan*,27,LF,2.6,153,652,587,65,163,34,3,14,73,5,5,47,81,0.278,0.342,0.417,0.759,112,0.332,112,245,4,13,0,5,0,74/5DH9,0,Left,No,No,No,No,No,No,No,No,No
Nolan Arenado,33,3B,2.5,152,635,578,70,157,23,0,16,71,2,2,44,92,0.272,0.325,0.394,0.719,101,0.315,99,228,15,5,0,7,2,*5/DH,0,Right,No,No,No,No,No,No,No,No,No
Paul Goldschmidt,36,1B,1.3,154,654,599,70,147,33,1,22,65,11,0,47,173,0.245,0.302,0.414,0.716,98,0.326,104,248,20,2,0,2,2,*3/DH,0,Right,No,No,No,No,No,No,No,No,No
Masyn Winn,22,SS,4.9,150,637,587,85,157,32,5,15,57,11,5,41,109,0.267,0.314,0.416,0.73,102,0.317,100,244,1,1,3,5,1,*6/HD,0,Right,No,No,No,No,No,No,No,No,No
Nolan Gorman*,24,2B,0.3,107,402,365,42,74,15,0,19,50,6,1,34,151,0.203,0.271,0.4,0.671,85,0.291,79,146,2,1,0,2,1,4/H5,0,Left,No,No,No,No,No,No,No,No,No
Lars Nootbaar*,26,RF,1.5,109,405,348,39,85,18,3,12,45,7,3,52,79,0.244,0.342,0.417,0.758,111,0.334,112,145,10,1,1,3,2,978/H,0,Left,No,No,No,No,No,No,No,No,No
Willson Contreras,32,C,3.0,84,358,301,48,79,17,0,15,36,4,1,45,96,0.262,0.38,0.468,0.848,136,0.37,137,141,7,12,0,0,2,2D/H,0,Right,No,No,No,No,No,No,No,No,No
Pedro Pagés,25,C,0.8,68,218,202,19,48,3,2,7,27,2,0,13,58,0.238,0.281,0.376,0.657,82,0.287,76,76,7,0,1,2,0,2/H3,0,Right,No,No,No,No,No,No,No,No,No
Iván Herrera,24,C,1.7,72,259,229,37,69,12,1,5,27,5,0,25,53,0.301,0.372,0.428,0.8,124,0.362,129,98,3,2,0,2,0,2D/H,0,Right,No,No,No,No,No,No,No,No,No
Michael Siani*,24,CF,0.7,124,334,298,42,68,7,2,2,20,20,3,21,92,0.228,0.285,0.285,0.57,61,0.265,54,85,2,3,11,1,0,*8H/97D,0,Left,No,No,No,No,No,No,No,No,No
Jordan Walker,22,RF,-0.9,51,178,164,16,33,10,1,5,20,1,0,10,50,0.201,0.253,0.366,0.619,71,0.267,63,60,4,2,0,2,0,9/HD,0,Right,No,No,No,No,No,No,No,No,No
Matt Carpenter*,38,DH,-0.1,59,157,137,15,32,7,0,4,15,0,2,15,51,0.234,0.314,0.372,0.686,92,0.301,93,51,0,2,0,2,0,DH/345,0,Left,No,No,No,No,No,No,No,No,No
Tommy Pham,36,OF,-0.4,23,77,68,7,14,3,1,2,12,0,0,7,16,0.206,0.286,0.368,0.653,82,0.285,77,25,2,1,0,1,0,7/9HD,0,Right,No,No,No,No,No,No,No,No,No
Dylan Carlson#,25,OF,-1.0,59,138,121,12,24,5,0,0,11,0,1,12,37,0.198,0.275,0.24,0.515,47,0.233,42,29,2,2,0,3,0,98H/7D,0,Both,No,No,No,No,No,No,No,No,No
Victor Scott II*,23,CF,-0.5,53,155,145,14,26,9,0,2,10,5,1,6,42,0.179,0.219,0.283,0.502,40,0.235,38,41,0,2,0,2,0,8/9H7,0,Left,No,No,No,No,No,No,No,No,No
Luken Baker,27,DH,-0.2,21,49,40,3,7,1,1,2,10,1,0,7,11,0.175,0.286,0.4,0.686,90,0.298,83,16,1,0,0,2,0,DH/3,0,Right,No,No,No,No,No,No,No,No,No
Brandon Crawford*,37,IF,-0.2,28,80,71,5,12,5,0,1,4,0,0,8,26,0.169,0.263,0.282,0.544,53,0.247,49,20,0,1,0,0,0,6/5HD1,0,Left,No,No,No,No,No,No,No,No,No
José Fermín,25,IF,-0.6,45,79,71,7,11,1,1,0,4,2,1,7,11,0.155,0.241,0.197,0.438,25,0.205,19,14,3,1,0,0,0,HD54/7,0,Right,No,No,No,No,No,No,No,No,No
Thomas Saggese,22,IF,-0.2,18,52,49,5,10,2,0,1,4,0,0,2,14,0.204,0.25,0.306,0.556,55,0.246,48,15,0,1,0,0,0,4/65,0,Right,No,No,No,No,No,No,No,No,No
Ryan Fernandez,26,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
