Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Adolis García,31,RF,0.3,154,637,580,68,130,27,0,25,85,11,5,45,177,0.224,0.284,0.4,0.684,94,0.302,94,232,12,6,0,6,2,*9D/H,0,Right,No,No,No,No,No,No,No,
Corey Seager*,30,SS,5.0,123,533,475,68,132,21,0,30,74,1,1,53,96,0.278,0.353,0.512,0.864,145,0.363,139,243,8,3,0,2,11,*6D/H,"AS,MVP-15",Left,No,No,No,No,No,No,No,
Wyatt Langford,22,LF,3.9,134,557,499,74,126,25,4,16,74,19,3,51,115,0.253,0.325,0.415,0.74,111,0.329,110,207,6,4,0,3,3,*7D8,ROY-7,Right,No,No,No,No,No,No,No,
Marcus Semien,33,2B,4.1,159,718,650,101,154,27,2,23,74,8,3,64,105,0.237,0.308,0.391,0.699,100,0.31,100,254,9,3,0,1,2,*4,AS,Right,No,No,No,No,No,No,No,
Nathaniel Lowe*,28,1B,2.7,140,565,486,62,129,16,1,16,69,2,0,71,125,0.265,0.361,0.401,0.762,120,0.342,122,195,9,4,0,4,1,*3/HD,0,Left,No,No,No,No,No,No,No,
Josh Smith*,26,3B,3.2,149,592,523,67,135,30,1,13,62,11,2,46,121,0.258,0.337,0.394,0.731,110,0.329,112,206,6,18,2,3,1,56DH/749,SS,Left,No,No,No,No,No,No,No,
Jonah Heim#,29,C,1.1,131,491,459,45,101,12,1,13,59,1,1,26,90,0.22,0.267,0.336,0.602,72,0.268,71,154,13,4,0,2,0,*2DH,0,Both,No,No,No,No,No,No,No,
Leody Taveras#,25,CF,0.5,151,529,480,59,110,17,3,12,44,23,6,42,112,0.229,0.289,0.352,0.641,84,0.293,84,169,8,0,3,4,0,*8/HD,0,Both,No,No,No,No,No,No,No,
Ezequiel Durán,25,3B,0.0,92,285,268,26,66,11,0,3,20,1,2,14,63,0.246,0.288,0.321,0.609,75,0.273,75,86,6,2,0,1,0,573DH/6498,0,Right,No,No,No,No,No,No,No,
Josh Jung,26,3B,0.6,46,188,178,19,47,5,1,7,16,4,0,8,48,0.264,0.298,0.421,0.719,104,0.319,103,75,1,1,0,1,0,5/D,0,Right,No,No,No,No,No,No,No,
Evan Carter*,21,LF,0.6,45,162,144,23,27,6,2,5,15,2,0,15,43,0.188,0.272,0.361,0.633,80,0.284,79,52,1,2,0,1,0,7/9HD8,0,Left,No,No,No,No,No,No,No,
Travis Jankowski*,33,DH,0.3,104,207,190,19,38,5,0,1,12,11,1,12,44,0.2,0.266,0.242,0.508,48,0.256,54,46,3,5,0,0,0,9H7D8,0,Left,No,No,No,No,No,No,No,
Robbie Grossman#,34,DH,0.2,46,122,105,13,25,4,0,3,10,1,0,16,25,0.238,0.336,0.362,0.698,101,0.318,104,38,5,0,0,1,0,DH7/9,0,Both,No,No,No,No,No,No,No,
Andrew Knizner,29,C,-0.9,35,93,90,5,15,1,0,1,9,0,0,1,22,0.167,0.183,0.211,0.394,13,0.183,9,19,2,1,0,1,0,2/1D,0,Right,No,No,No,No,No,No,No,
Carson Kelly,29,C,-0.2,31,110,102,11,24,5,0,2,8,0,0,8,15,0.235,0.291,0.343,0.634,82,0.286,83,35,3,0,0,0,0,2/DH,0,Right,No,No,No,No,No,No,No,
Jared Walsh*,30,1B,-0.2,17,60,53,9,12,2,0,1,7,0,0,7,21,0.226,0.317,0.321,0.637,85,0.288,84,17,2,0,0,0,0,3/H,0,Left,No,No,No,No,No,No,No,
Derek Hill,28,OF,0.0,16,45,43,5,11,0,0,3,5,2,1,2,14,0.256,0.289,0.465,0.754,112,0.365,140,20,1,0,0,0,0,/9H87D,0,Right,No,No,No,No,No,No,No,
Jonathan Ornelas,24,IF,0.0,18,40,37,1,8,2,0,0,3,0,0,2,13,0.216,0.256,0.27,0.527,52,0.237,46,10,0,0,1,0,0,/564H8,0,Right,No,No,No,No,No,No,No,
Dustin Harris*,24,DH,0.2,2,7,6,1,2,1,0,1,3,0,0,1,2,0.333,0.429,1.0,1.429,294,0.568,285,6,0,0,0,0,0,/D,0,Left,No,No,No,No,No,No,No,
Davis Wendzel,27,3B,-0.1,27,49,47,2,6,2,0,1,2,0,0,1,12,0.128,0.163,0.234,0.397,13,0.174,3,11,1,1,0,0,0,5/HD43,0,Right,No,No,No,No,No,No,No,
Justin Foscue,25,DH,-0.7,15,44,42,3,2,1,0,0,1,0,0,2,18,0.048,0.091,0.071,0.162,-52,0.08,-65,3,0,0,0,0,0,D/4H3,0,Right,No,No,No,No,No,No,No,
Matt Duffy,33,3B,0.2,4,10,7,2,2,0,0,0,0,0,0,2,1,0.286,0.5,0.286,0.786,135,0.388,156,2,0,1,0,0,0,/5H,0,Right,No,No,No,No,No,No,No,
Sandro Fabian,26,OF,-0.1,3,5,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-121,0,0,0,0,0,0,/79,0,Right,No,No,No,No,No,No,No,
Sam Huff,26,C,0.0,3,4,3,0,0,0,0,0,0,0,0,1,2,0.0,0.25,0.0,0.25,-19,0.172,0,0,0,0,0,0,0,/2H,0,Right,No,No,No,No,No,No,No,
David Robertson,39,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Yerry Rodríguez,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
José Leclerc,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Jacob Latz,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Jonathan Hernández,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
José Ureña,32,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,
Owen White,24,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,
Kirby Yates*,37,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,"AS,CYA-8",Left,No,No,No,No,No,No,No,
