Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Nathan Eovaldi,34,SP,2.3,12,8,.600,3.80,29,29,0,0,0,0,170.2,147,74,72,23,42,0,166,7,0,3,696,104,3.83,1.107,7.8,1.2,2.2,8.8,3.95,
2,Andrew Heaney*,33,SP,0.8,5,14,.263,4.28,32,31,0,0,0,0,160.0,159,84,76,23,41,1,159,12,0,2,693,92,4.04,1.250,8.9,1.3,2.3,8.9,3.88,
3,Jon Gray,32,SP,0.5,5,6,.455,4.47,23,19,2,0,0,0,102.2,107,54,51,11,28,1,86,0,0,1,439,88,3.70,1.315,9.4,1.0,2.5,7.5,3.07,
4,Michael Lorenzen,32,SP,1.5,5,6,.455,3.81,19,18,1,0,0,0,101.2,82,43,43,15,48,0,75,5,0,3,419,104,5.17,1.279,7.3,1.3,4.2,6.6,1.56,
5,Dane Dunning,29,SP,-0.6,5,7,.417,5.31,26,15,6,0,0,0,95.0,97,60,56,18,40,1,91,6,0,2,421,75,5.17,1.442,9.2,1.7,3.8,8.6,2.28,
6,Cody Bradford*,26,SP,1.1,6,3,.667,3.54,14,13,0,0,0,0,76.1,64,32,30,10,13,0,70,1,0,1,308,112,3.59,1.009,7.5,1.2,1.5,8.3,5.38,
7,Kirby Yates,37,CL,3.3,7,2,.778,1.17,61,0,50,0,0,33,61.2,23,10,8,3,28,5,85,2,2,1,237,340,2.50,0.827,3.4,0.4,4.1,12.4,3.04,"AS,CYA-8"
8,José Ureña,32,RP,0.6,5,8,.385,3.80,33,9,8,0,0,1,109.0,105,51,46,13,39,2,70,4,0,3,463,104,4.62,1.321,8.7,1.1,3.2,5.8,1.79,
9,David Robertson,39,RP,1.7,3,4,.429,3.00,68,0,8,0,0,2,72.0,53,25,24,5,27,4,99,5,1,8,296,132,2.65,1.111,6.6,0.6,3.4,12.4,3.67,
10,José Leclerc,30,RP,0.0,6,5,.545,4.32,64,0,13,0,0,1,66.2,56,33,32,7,32,1,89,4,2,5,288,92,3.48,1.320,7.6,0.9,4.3,12.0,2.78,
11,Jacob Latz*,28,RP,0.3,2,3,.400,3.71,46,0,9,0,0,0,43.2,39,20,18,6,27,3,40,1,0,4,192,107,5.04,1.511,8.0,1.2,5.6,8.2,1.48,
12,Max Scherzer,39,,0.4,2,4,.333,3.95,9,9,0,0,0,0,43.1,40,20,19,7,10,0,40,1,0,2,177,101,4.18,1.154,8.3,1.5,2.1,8.3,4.00,
13,Jonathan Hernández,27,,-0.3,3,1,.750,5.05,26,1,8,0,0,0,41.0,39,25,23,6,26,1,36,1,0,2,181,79,5.29,1.585,8.6,1.3,5.7,7.9,1.38,
14,Jack Leiter,24,,-1.6,0,3,.000,8.83,9,6,1,0,0,0,35.2,44,39,35,7,17,0,31,3,0,3,173,45,5.66,1.710,11.1,1.8,4.3,7.8,1.82,
15,Grant Anderson,27,,-1.1,0,1,.000,8.10,23,0,10,0,0,1,26.2,33,24,24,11,10,3,29,1,0,0,120,49,7.59,1.613,11.1,3.7,3.4,9.8,2.90,
16,Gerson Garabito,28,,-0.1,0,2,.000,4.78,18,2,10,0,0,0,26.1,23,15,14,4,12,0,22,4,0,1,115,84,5.29,1.329,7.9,1.4,4.1,7.5,1.83,
17,Matt Festa,31,,-0.1,6,0,1.000,4.37,18,0,3,0,0,0,22.2,17,13,11,2,7,0,23,1,0,0,92,92,3.34,1.059,6.8,0.8,2.8,9.1,3.29,
18,Andrew Chafin*,34,,0.0,1,1,.500,4.19,21,0,2,0,0,0,19.1,17,10,9,3,15,2,20,0,0,4,84,96,5.44,1.655,7.9,1.4,7.0,9.3,1.33,
19,Cole Winn,24,,-0.4,0,1,.000,7.79,13,0,8,0,0,0,17.1,18,15,15,2,4,0,14,3,0,1,77,52,4.26,1.269,9.3,1.0,2.1,7.3,3.50,
20,Walter Pennington*,26,,0.2,1,0,1.000,3.12,15,1,2,0,0,0,17.1,19,7,6,1,11,0,16,2,0,1,82,129,4.32,1.731,9.9,0.5,5.7,8.3,1.45,
21,Yerry Rodríguez,26,,-0.4,1,0,1.000,6.88,12,0,4,0,0,0,17.0,16,13,13,5,11,1,12,1,0,2,78,59,7.70,1.588,8.5,2.6,5.8,6.4,1.09,
22,Josh Sborz,30,,0.0,2,2,.500,3.86,17,0,3,0,0,0,16.1,16,8,7,1,4,0,17,0,0,2,69,105,2.61,1.224,8.8,0.6,2.2,9.4,4.25,
23,Brock Burke*,27,,-0.5,0,0,,9.22,13,0,4,0,0,0,13.2,21,14,14,3,9,0,16,2,0,0,72,44,6.09,2.195,13.8,2.0,5.9,10.5,1.78,
24,Tyler Mahle,29,,0.0,0,1,.000,4.97,3,3,0,0,0,0,12.2,14,7,7,1,4,0,10,1,0,1,56,82,3.80,1.421,9.9,0.7,2.8,7.1,2.50,
25,Kumar Rocker,24,,0.0,0,2,.000,3.86,3,3,0,0,0,0,11.2,12,6,5,1,6,0,14,1,0,1,55,106,3.68,1.543,9.3,0.8,4.6,10.8,2.33,
26,Jacob deGrom,36,,0.4,0,0,,1.69,3,3,0,0,0,0,10.2,11,2,2,1,1,0,14,1,0,0,44,242,2.32,1.125,9.3,0.8,0.8,11.8,14.00,
27,Jesús Tinoco,29,,-0.2,0,0,,8.10,9,0,1,0,0,0,10.0,11,9,9,2,7,0,9,2,0,1,50,51,6.67,1.800,9.9,1.8,6.3,8.1,1.29,
28,Chase Anderson,36,,-0.2,0,0,,9.95,2,0,1,0,0,0,6.1,9,7,7,2,2,0,7,1,0,1,31,42,6.48,1.737,12.8,2.8,2.8,9.9,3.50,
29,Daniel Robert,29,,0.1,1,0,1.000,3.18,4,0,0,0,0,0,5.2,6,2,2,1,2,0,6,2,0,0,26,133,5.46,1.412,9.5,1.6,3.2,9.5,3.00,
30,Austin Pruitt,34,,-0.3,0,0,,12.46,4,0,3,0,0,0,4.1,8,6,6,3,3,1,1,0,0,0,24,34,13.78,2.538,16.6,6.2,6.2,2.1,0.33,
31,Shaun Anderson,29,,0.0,0,0,,5.40,2,0,1,0,0,0,3.1,6,2,2,0,1,0,3,0,0,0,17,81,2.27,2.100,16.2,0.0,2.7,8.1,3.00,
