Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club,40/70 Club
Vladimir Guerrero Jr.,25,1B,6.2,159,697,616,98,199,44,1,30,103,2,2,72,96,0.323,0.396,0.544,0.94,166,0.399,165,335,16,5,0,4,12,*3D5/H,"AS,MVP-6,SS",Right,No,No,No,No,No,No,No,
Daulton Varsho*,27,CF,5.0,136,513,459,73,98,21,7,18,58,10,2,48,137,0.214,0.293,0.407,0.7,98,0.306,94,187,2,4,1,1,1,*87/H9D,GG,Left,No,No,No,No,No,No,No,
George Springer,34,RF,1.1,145,614,545,74,120,19,3,19,56,16,1,60,115,0.22,0.303,0.371,0.674,92,0.312,97,202,16,6,0,2,0,*9D/H8,0,Right,No,No,No,No,No,No,No,
Alejandro Kirk,25,C,2.0,103,386,340,23,86,19,1,5,54,0,0,35,51,0.253,0.319,0.359,0.677,94,0.303,94,122,11,2,0,9,1,2/HD,0,Right,No,No,No,No,No,No,No,
Ernie Clement,28,3B,3.4,139,452,434,48,114,21,3,12,51,12,3,11,41,0.263,0.284,0.408,0.692,95,0.317,102,177,11,3,2,2,1,56H/4D17,0,Right,No,No,No,No,No,No,No,
Davis Schneider,25,LF,0.0,135,454,397,48,76,19,1,13,46,6,0,47,144,0.191,0.282,0.343,0.625,78,0.28,76,136,2,5,0,5,0,74H/D,0,Right,No,No,No,No,No,No,No,
Spencer Horwitz*,26,2B,1.2,97,381,328,46,87,19,0,12,40,0,0,42,70,0.265,0.357,0.433,0.79,125,0.346,125,142,8,7,0,4,2,34DH,0,Left,No,No,No,No,No,No,No,
Isiah Kiner-Falefa,29,IF,3.2,83,281,257,32,75,8,2,7,33,3,1,13,37,0.292,0.338,0.42,0.758,116,0.338,119,108,9,6,3,2,0,456/H18,0,Right,No,No,No,No,No,No,No,
Bo Bichette,26,SS,-0.3,81,336,311,29,70,16,1,4,31,5,1,20,64,0.225,0.277,0.322,0.598,71,0.269,68,100,12,3,0,2,1,6,0,Right,No,No,No,No,No,No,No,
Justin Turner,39,DH,0.4,91,349,301,37,77,17,0,6,31,0,2,39,60,0.256,0.35,0.372,0.722,107,0.321,109,112,15,6,0,3,0,D3/H5,0,Right,No,No,No,No,No,No,No,
Addison Barger*,24,UT,0.4,69,225,208,20,41,11,0,7,28,2,0,14,60,0.197,0.25,0.351,0.601,70,0.272,70,73,1,1,0,1,0,59H7/D,0,Left,No,No,No,No,No,No,No,
Leo Jiménez,23,MI,0.9,63,210,179,18,41,11,0,4,19,0,0,12,59,0.229,0.329,0.358,0.686,97,0.31,99,64,6,16,0,3,0,64/HD,0,Right,No,No,No,No,No,No,No,
Danny Jansen,29,C,0.6,62,228,198,27,42,13,0,6,18,0,0,25,42,0.212,0.303,0.369,0.671,91,0.3,92,73,1,2,0,3,0,2/HD,0,Right,No,No,No,No,No,No,No,
Kevin Kiermaier*,34,CF,0.9,82,217,200,24,39,7,2,4,18,5,0,10,66,0.195,0.236,0.31,0.546,55,0.25,51,62,3,1,5,1,0,8/H9D,0,Left,No,No,No,No,No,No,No,
Will Wagner*,25,2B,0.7,24,86,82,8,25,6,0,2,11,0,0,4,16,0.305,0.337,0.451,0.788,124,0.354,130,37,3,0,0,0,0,4/H3D,0,Left,No,No,No,No,No,No,No,
Nathan Lukes*,29,OF,1.2,22,91,76,13,23,4,2,1,10,1,0,10,9,0.303,0.371,0.447,0.818,133,0.355,130,34,1,0,2,3,0,7/98HD,0,Left,No,No,No,No,No,No,No,
Joey Loperfido*,25,LF,0.2,43,144,137,13,27,8,3,2,9,2,1,6,52,0.197,0.236,0.343,0.579,63,0.263,65,47,2,1,0,0,0,78/H3D,0,Left,No,No,No,No,No,No,No,
Cavan Biggio*,29,2B,0.5,44,131,110,15,22,4,0,2,9,2,0,14,42,0.2,0.323,0.291,0.614,78,0.29,82,32,1,6,0,0,0,49/H35D,0,Left,No,No,No,No,No,No,No,
Daniel Vogelbach*,31,DH,-0.4,31,79,70,5,13,5,0,1,8,0,0,9,17,0.186,0.278,0.3,0.578,66,0.262,65,21,4,0,0,0,0,DH,0,Left,No,No,No,No,No,No,No,
Brian Serven,29,C,0.2,28,71,63,6,10,4,0,0,3,0,0,5,22,0.159,0.243,0.222,0.465,35,0.229,40,14,0,2,1,0,0,2/H,0,Right,No,No,No,No,No,No,No,
Jonatan Clase#,22,CF,0.2,7,23,20,3,7,1,0,1,2,0,1,1,3,0.35,0.435,0.55,0.985,180,0.443,210,11,0,2,0,0,0,/8H,0,Both,No,No,No,No,No,No,No,
Steward Berroa#,25,OF,0.3,28,45,37,7,7,1,0,0,1,6,2,8,14,0.189,0.333,0.216,0.55,63,0.298,83,8,0,0,0,0,0,9H/78D,0,Both,No,No,No,No,No,No,No,
Luis De Los Santos,26,UT,-0.1,13,31,29,2,5,2,0,0,1,0,0,2,10,0.172,0.226,0.241,0.467,34,0.208,26,7,2,0,0,0,0,5/H37,0,Right,No,No,No,No,No,No,No,
Tyler Heineman#,33,C,0.1,5,13,10,2,1,0,0,0,0,0,0,3,5,0.1,0.308,0.1,0.408,25,0.22,34,1,0,0,0,0,0,/21,0,Both,No,No,No,No,No,No,No,
Orelvis Martínez,22,2B,0.0,1,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,92,0.298,91,1,0,0,0,0,0,/4,0,Right,No,No,No,No,No,No,No,
Chad Green*,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
Génesis Cabrera*,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,
