Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,30/70 Club
Brent Rooker,29,DH,5.6,145,614,546,82,160,26,2,39,112,11,3,59,177,0.293,0.365,0.562,0.927,165,0.399,166,307,5,5,0,4,4,*D/79H,"MVP-10,SS",Right,No,No,No,No,No,No,No
Shea Langeliers,26,C,2.9,137,534,482,58,108,18,2,29,80,4,2,41,145,0.224,0.288,0.45,0.739,111,0.321,111,217,15,5,0,6,2,*2/HD,0,Right,No,No,No,No,No,No,No
JJ Bleday*,26,CF,2.1,159,642,572,74,139,43,4,20,60,2,3,67,125,0.243,0.324,0.437,0.762,120,0.333,121,250,8,2,1,0,2,*8H/D,0,Left,No,No,No,No,No,No,No
Lawrence Butler*,23,RF,3.0,125,451,412,63,108,24,2,22,57,18,0,35,108,0.262,0.317,0.49,0.807,131,0.357,130,202,8,0,0,4,0,*9H/8,0,Left,No,No,No,No,No,No,No
Zack Gelof,24,2B,1.4,138,547,497,60,105,20,2,17,49,25,3,38,188,0.211,0.27,0.362,0.632,82,0.286,80,180,7,4,3,5,0,*4/H,0,Right,No,No,No,No,No,No,No
Seth Brown*,31,UT,-0.6,124,400,372,32,86,11,1,14,44,4,2,25,112,0.231,0.283,0.379,0.662,91,0.291,90,141,7,2,0,1,0,739H/D8,0,Left,No,No,No,No,No,No,No
Max Schuemann,27,SS,0.8,133,459,396,55,87,14,0,7,34,14,1,47,119,0.22,0.311,0.308,0.619,82,0.292,86,122,8,7,5,4,0,65/4H789,0,Right,No,No,No,No,No,No,No
Miguel Andujar,29,LF,0.4,75,319,302,31,86,14,1,4,30,3,2,13,42,0.285,0.32,0.377,0.697,103,0.308,103,114,10,3,0,1,0,7/D3H,0,Right,No,No,No,No,No,No,No
Tyler Soderstrom*,22,1B,0.5,61,213,189,18,44,10,0,9,26,0,0,20,53,0.233,0.315,0.429,0.743,114,0.33,118,81,7,3,0,1,1,3/H2,0,Left,No,No,No,No,No,No,No
Abraham Toro#,27,3B,0.6,94,364,337,34,81,17,1,6,26,4,2,20,62,0.24,0.293,0.35,0.643,87,0.285,85,118,4,5,2,0,1,54DH/37,0,Both,No,No,No,No,No,No,No
Tyler Nevin,27,CI,-0.2,87,278,245,22,50,10,0,7,20,1,0,25,64,0.204,0.288,0.331,0.618,80,0.279,80,81,5,5,0,3,0,359H7/D,0,Right,No,No,No,No,No,No,No
Daz Cameron,27,OF,-0.5,66,186,170,22,34,5,1,5,15,5,0,13,51,0.2,0.258,0.329,0.587,70,0.268,69,56,3,1,0,2,0,79H8/D,0,Right,No,No,No,No,No,No,No
Kyle McCann*,26,C,0.2,54,157,140,13,33,4,0,5,15,0,0,16,59,0.236,0.318,0.371,0.69,101,0.305,100,52,2,1,0,0,1,2/HD,0,Left,No,No,No,No,No,No,No
Darell Hernaiz,22,IF,-0.8,48,135,120,8,23,3,0,1,12,1,1,11,27,0.192,0.261,0.242,0.503,48,0.235,51,29,4,1,1,2,0,56/H4,0,Right,No,No,No,No,No,No,No
Brett Harris,26,3B,-0.5,36,123,103,15,15,3,0,3,12,0,3,17,25,0.146,0.276,0.262,0.539,59,0.253,71,27,3,2,0,1,0,5/H,0,Right,No,No,No,No,No,No,No
Esteury Ruiz,25,OF,-0.1,29,65,55,10,11,2,1,2,8,5,4,4,20,0.2,0.27,0.382,0.652,87,0.266,80,21,1,2,2,2,0,7H/8,0,Right,No,No,No,No,No,No,No
J.D. Davis,31,CI,-0.1,39,135,123,12,29,4,0,4,5,0,0,9,30,0.236,0.304,0.366,0.67,94,0.292,91,45,3,3,0,0,0,35/DH,0,Right,No,No,No,No,No,No,No
Nick Allen,25,SS,0.2,41,105,97,6,17,4,0,1,4,0,0,5,20,0.175,0.216,0.247,0.463,35,0.215,33,24,0,0,3,0,0,6/5H4,0,Right,No,No,No,No,No,No,No
Ryan Noda*,28,1B,-0.6,36,111,95,8,13,4,0,1,4,0,0,14,37,0.137,0.255,0.211,0.465,38,0.222,40,20,0,1,1,0,0,3/H9D,0,Left,No,No,No,No,No,No,No
Jacob Wilson,22,SS,-0.2,28,103,92,11,23,2,2,0,3,0,0,8,10,0.25,0.314,0.315,0.629,85,0.281,82,29,4,1,1,1,0,6/H,0,Right,No,No,No,No,No,No,No
Armando Alvarez,29,UT,-0.4,16,39,37,7,9,1,0,0,2,1,0,2,8,0.243,0.282,0.27,0.552,63,0.252,57,10,1,0,0,0,0,/53H74,0,Right,No,No,No,No,No,No,No
Aledmys Díaz,33,UT,-0.5,12,30,29,2,3,0,0,0,1,0,0,1,7,0.103,0.133,0.103,0.237,-29,0.112,-39,3,0,0,0,0,0,/63457H,0,Right,No,No,No,No,No,No,No
Tristan Gray*,28,CI,0.0,8,24,21,0,3,1,0,0,0,0,0,3,13,0.143,0.25,0.19,0.44,31,0.212,33,4,0,0,0,0,0,/35H,0,Left,No,No,No,No,No,No,No
