Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos.1,Awards
1,Poindexter Williams,26,C,0.4,64,206,189,20,52,11,1,1,27,1,15,.275,.335,.360,.695,90,.331,91,68,2,2/39,
2,George McAllister*,25,1B,-0.1,75,319,298,38,77,6,6,1,24,0,21,.258,.307,.329,.636,74,.304,74,98,0,*3/4,
3,Charles Wesley,27,2B,1.1,71,292,277,37,78,6,2,0,28,1,15,.282,.318,.318,.636,74,.306,75,88,0,49/358,
4,Geechie Meredith,24,SS,0.3,74,300,278,32,70,8,3,4,27,8,17,.252,.307,.345,.652,78,.310,78,96,5,*6/475,
5,Felton Stratton,28,3B,-1.3,72,271,258,24,52,6,4,1,25,2,11,.202,.240,.267,.507,39,.241,38,69,2,*5/6,
6,Mule Suttles,23,LF,1.8,79,293,274,43,87,21,3,3,49,3,15,.318,.362,.449,.811,121,.376,117,123,4,*7/58,
7,Sandy Thompson*,29,CF,1.2,77,318,291,50,87,14,5,1,29,8,25,.299,.358,.392,.750,105,.355,105,114,2,*8/9,
8,Ruben Jones*,30,RF,0.1,42,134,126,16,30,3,1,1,13,1,7,.238,.284,.302,.585,60,.280,60,38,1,9/78,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
9,George Dixon*,28,C,0.5,32,101,82,17,23,4,1,1,15,2,16,.280,.416,.390,.806,121,.392,127,32,3,2,
10,Fred Daniels,31,OF,0.3,27,82,76,14,22,4,2,0,8,0,4,.289,.341,.395,.736,101,.348,99,30,2,9/71,
11,Joe Hewitt*,38,2B,0.1,16,66,52,8,12,2,0,0,4,3,10,.231,.394,.269,.663,83,.350,100,14,4,4/5,
12,Bubbles Anderson,19,2B,0.3,19,62,52,8,13,3,2,0,10,0,9,.250,.371,.385,.756,107,.364,109,20,1,4,
13,John Richardson,,UT,-0.4,22,53,51,3,9,1,0,1,4,0,2,.176,.208,.255,.462,26,.219,24,13,0,1/52739,
14,Ray Sheppard,21,SS,-0.2,14,46,44,1,8,1,0,0,3,0,2,.182,.217,.205,.422,16,.207,17,9,0,6/9,
15,Lewis Means,25,UT,0.1,9,28,23,1,5,0,0,0,0,1,5,.217,.357,.217,.575,59,.306,75,5,0,/24,
16,Rufus Battle,27,C,0.0,1,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-104,0,0,/2,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
17,Sam Streeter,23,P,0.2,27,79,78,7,20,1,2,0,4,0,0,.256,.266,.321,.586,60,.274,56,25,1,1,
18,Robert Poindexter,26,P,0.6,29,70,69,7,22,3,1,2,10,0,1,.319,.329,.478,.807,119,.368,111,33,0,1,
19,Bill McCall*,26,P,0.0,28,65,59,6,12,1,0,0,3,0,5,.203,.277,.220,.497,37,.253,44,13,1,1/7,
20,Johnny Juran,24,P,0.1,11,18,15,1,3,0,0,0,0,0,3,.200,.333,.200,.533,48,.286,64,3,0,1,
21,Harry Salmon*,29,P,-0.1,7,16,16,1,3,0,0,0,0,0,0,.188,.188,.188,.375,3,.179,0,3,0,/19,
22,Dizzy Dismukes,34,P,-0.1,7,11,11,0,1,0,1,0,1,0,0,.091,.091,.273,.364,-3,.150,-16,3,0,/1,
,Team Totals,,,4.7,79,2832,2621,334,686,95,34,16,284,30,183,.262,.317,.342,.659,80,.314,80,897,28,,
,Non-Pitcher Totals,,,4.4,,2520,2322,309,616,89,30,13,262,30,172,.265,.323,.346,.669,83,.320,84,804,26,,
,Pitcher Totals,,,0.3,,312,299,25,70,6,4,3,22,0,11,.234,.266,.311,.577,57,.273,55,93,2,,
