Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos.1,Awards
1,Jim Brown#,33,C,0.0,75,265,241,39,56,12,3,2,39,6,24,.232,.302,.332,.634,70,.295,72,80,23/97,
2,Willie Ware,25,1B,-1.2,65,242,230,25,47,10,6,0,26,2,12,.204,.244,.300,.544,45,.247,44,69,3,
3,Bingo DeMoss,35,2B,-0.2,60,222,194,34,42,6,0,0,17,6,28,.216,.315,.247,.563,53,.278,62,48,4/793,
4,Bobby Williams,29,SS,-0.8,85,328,307,44,64,12,0,2,36,6,21,.208,.259,.267,.526,42,.247,44,82,*6/5,
5,Dave Malarcher#,30,3B,2.5,87,361,315,57,102,12,0,2,35,20,46,.324,.410,.381,.791,114,.378,120,120,54/6,
6,Cristóbal Torriente*,31,LF,1.7,89,351,296,53,78,11,7,9,66,5,55,.264,.379,.439,.818,119,.373,120,130,*793/58,
7,Jelly Gardner*,29,CF,0.7,85,357,324,48,92,10,3,2,44,9,33,.284,.350,.352,.702,89,.328,93,114,*8,
8,John Hines,24,RF,-0.2,72,256,239,30,57,12,5,2,31,1,17,.238,.289,.356,.645,72,.293,72,85,92/768,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Awards
9,Bill Francis,46,3B,0.0,26,86,74,9,16,1,0,0,8,1,12,.216,.326,.230,.555,52,.279,63,17,5/4,
10,Felton Stratton,29,3B,-0.7,24,86,81,8,13,1,0,0,7,1,5,.160,.209,.173,.382,4,.186,8,14,5,
11,LeRoy Taylor*,22,C,0.2,18,68,60,11,17,1,0,1,6,1,8,.283,.368,.350,.718,94,.338,99,21,7/92,
12,George Dixon*,29,C,-0.4,16,51,47,6,7,0,0,0,4,1,4,.149,.216,.149,.365,0,.185,7,7,2,
13,James Bray,26,UT,-0.1,6,16,15,0,2,1,0,0,0,0,1,.133,.188,.200,.388,4,.185,6,3,/23,
14,Will Owens,23,MI,-0.2,5,10,10,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-104,0,/64,
15,Roy Tyler,25,,-0.1,2,8,8,0,2,0,0,0,0,0,0,.250,.250,.250,.500,35,.232,35,2,/89,
16,Gibson,18,C,-0.1,1,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-105,0,/2,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Awards
17,Earl Gurley*,26,P,0.3,23,77,72,8,23,4,3,0,8,0,5,.319,.364,.458,.822,119,.371,117,33,9/71,
18,Bill McCall*,27,P,0.0,27,47,44,3,8,1,0,0,4,0,3,.182,.234,.205,.439,19,.213,23,9,1,
19,Frank Stevens,,P,-0.3,20,47,45,5,7,2,1,0,5,0,2,.156,.191,.244,.436,16,.200,15,11,1/798,
20,Eddie Miller,24,P,0.0,24,45,45,1,10,1,1,0,1,0,0,.222,.222,.289,.511,36,.229,33,13,1/7,
21,Juan Padrón*,32,P,0.1,20,45,43,2,10,0,0,0,3,0,2,.233,.267,.233,.499,35,.239,39,10,1,
22,George Harney,35,P,-0.1,21,43,41,4,7,0,0,0,5,0,2,.171,.209,.171,.380,3,.186,6,7,1/2,
23,Webster McDonald*,25,P,0.3,13,32,30,2,10,1,0,0,3,0,2,.333,.375,.367,.742,100,.348,103,11,1,
24,Aubry Owens,29,P,0.0,17,29,27,3,5,0,1,0,2,0,2,.185,.241,.259,.501,35,.235,36,7,1,
25,Bill Foster#,21,P,0.1,11,24,23,2,5,0,1,0,2,0,1,.217,.250,.304,.554,48,.253,46,7,1,
26,Willie Powell*,21,P,0.0,4,11,11,1,2,1,0,0,1,0,0,.182,.182,.273,.455,20,.201,16,3,/1,
27,George Mitchell,25,P,-0.1,3,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-105,0,/1,
28,Sam Crawford,33,P,0.0,1,2,2,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,170,.464,175,1,/1,
29,Howard Ross,22,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-107,0,/1,
,Team Totals,,,1.3,89,3117,2832,395,683,99,31,20,353,59,285,.241,.311,.319,.630,70,.296,73,904,,
,Non-Pitcher Totals,,,1.4,,2787,2516,372,618,93,27,20,327,59,271,.246,.319,.328,.647,74,.304,77,825,,
,Pitcher Totals,,,0.0,,330,316,23,65,6,4,0,26,0,14,.206,.239,.250,.489,32,.229,32,79,,
