Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos.1,Awards
1,John Barnes*,22,C,1.0,58,192,179,28,56,12,0,2,32,2,13,.313,.359,.413,.773,107,.353,108,74,2/6,
2,Willie Bobo*,27,1B,4.5,87,378,323,74,116,23,9,14,84,14,55,.359,.452,.616,1.068,184,.471,177,199,*3,
3,Charlie Watts,,2B,1.0,54,141,124,18,37,7,4,2,23,2,17,.298,.383,.468,.851,127,.383,126,58,4/6,
4,Willie Wells,20,SS,3.2,87,391,338,83,98,19,7,8,53,18,53,.290,.386,.459,.845,126,.388,126,155,*6/3,
5,Dewey Creacy,25,3B,3.4,83,360,331,71,107,21,6,14,72,17,29,.323,.378,.550,.928,146,.414,140,182,*5/9,
6,Wilson Redus,20,LF,3.5,77,296,258,60,96,17,6,12,62,5,38,.372,.453,.624,1.077,186,.472,179,161,*7/94,
7,Cool Papa Bell#,22,CF,3.6,87,410,380,94,132,33,6,10,58,30,30,.347,.395,.545,.940,150,.425,145,207,*8/3,
8,Branch Russell*,29,RF,2.7,81,329,278,62,85,13,11,8,63,8,51,.306,.413,.518,.931,149,.416,145,144,*94/5,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Awards
9,Mitchell Murray,29,C,2.0,61,196,176,42,66,10,0,3,38,6,20,.375,.439,.483,.922,147,.421,149,85,2,
10,Elmer Wilson,30,2B,0.5,51,136,131,16,34,8,3,5,22,1,5,.260,.287,.481,.768,103,.333,96,63,4,
11,Eddie Tyler,,PH,0.3,29,88,85,16,29,6,1,0,9,2,3,.341,.364,.435,.799,114,.361,113,37,97,
12,John Reese,30,PR,0.4,42,57,47,14,15,4,1,0,1,3,10,.319,.439,.447,.885,138,.416,142,21,9/7814,
13,Candy Jim Taylor,41,3B,0.1,36,47,43,3,10,0,0,2,11,4,4,.233,.298,.372,.670,79,.314,79,16,/519,
14,Dick Ross,,PH,0.3,18,41,40,6,13,5,1,1,5,0,1,.325,.341,.575,.916,142,.399,134,23,/78,
15,Milton Smith#,18,C,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-107,0,/2,
16,Sam Bennett,41,C,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-107,0,/2,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Awards
17,Roosevelt Davis,20,P,-0.1,35,63,61,4,10,1,0,1,5,0,2,.164,.190,.230,.420,12,.194,11,14,1,
18,Logan Hensley,25,P,0.7,27,61,58,7,18,1,0,3,8,0,3,.310,.344,.483,.827,120,.369,116,28,1,
19,Percy Miller*,28,P,-0.1,41,58,56,6,9,3,0,1,5,2,2,.161,.190,.268,.458,22,.210,19,15,1/937,
20,William Ross,31,P,-0.1,25,57,54,5,10,2,0,0,1,0,3,.185,.228,.222,.450,22,.215,24,12,1,
21,George Brown,,P,-0.1,20,23,21,1,2,0,0,0,0,1,2,.095,.174,.095,.269,-26,.149,-17,2,1,
22,Slim Branham,25,P,0.4,11,21,18,5,7,2,0,0,3,1,3,.389,.476,.500,.976,163,.451,164,9,1,
23,Deacon Meyers,25,P,0.1,14,18,18,2,4,0,0,1,2,0,0,.222,.222,.389,.611,61,.266,54,7,1,
24,Broyles,,P,0.0,5,4,4,0,1,0,0,0,0,0,0,.250,.250,.250,.500,35,.232,34,1,/1,
25,Fred Bell*,23,P,0.0,1,2,1,0,0,0,0,0,0,0,1,.000,.500,.000,.500,46,.372,118,0,/1,
,Team Totals,,,27.0,87,3371,3026,617,955,187,55,87,557,116,345,.316,.386,.500,.886,136,.399,133,1513,,
,Non-Pitcher Totals,,,26.3,,3064,2735,587,894,178,55,81,533,112,329,.327,.399,.521,.920,145,.413,142,1425,,
,Pitcher Totals,,,0.7,,307,291,30,61,9,0,6,24,4,16,.210,.251,.302,.553,48,.256,48,88,,
