Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos.1,Awards
1,Henry Williams,33,C,0.6,59,206,204,29,63,9,1,4,35,0,2,.309,.316,.422,.737,100,.334,96,86,0,2/7,
2,Mule Suttles,27,1B,4.6,76,324,301,73,108,17,12,21,75,6,22,.359,.404,.704,1.109,197,.482,190,212,1,*3/9,
3,John Henry Russell,30,2B,2.3,79,305,292,38,80,10,5,2,36,1,12,.274,.305,.363,.668,82,.307,80,106,1,*45,
4,Willie Wells,23,SS,6.1,78,345,315,82,113,28,5,22,81,13,25,.359,.414,.689,1.103,196,.486,190,217,5,*6/7,
5,Dewey Creacy,28,3B,2.1,78,326,298,41,98,23,5,10,54,1,24,.329,.387,.540,.927,150,.416,148,161,4,54/6,
6,Wilson Redus,23,LF,3.4,78,341,315,72,110,21,6,22,82,6,17,.349,.399,.663,1.062,185,.465,179,209,9,*7/9,
7,Cool Papa Bell#,25,CF,3.1,79,371,338,81,112,21,6,6,41,19,32,.331,.391,.482,.873,137,.404,137,163,1,*8,
8,Branch Russell*,32,RF,1.0,78,341,308,62,92,14,12,3,43,4,30,.299,.367,.451,.818,122,.372,121,139,3,*9/56,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
9,Clarence Palm,20,C,1.1,41,116,109,19,35,4,1,7,21,0,7,.321,.362,.569,.931,151,.414,146,62,0,2,
10,Willie Bobo*,30,1B,0.5,12,25,22,6,12,2,0,0,7,2,3,.545,.600,.636,1.236,238,.573,242,14,0,/3,
11,Candy Jim Taylor,44,3B,-0.1,19,22,22,1,7,0,0,0,3,0,0,.318,.318,.318,.636,74,.297,73,7,0,/51,
12,Mitchell Murray,32,C,-0.1,5,10,9,0,0,0,0,0,0,0,1,.000,.100,.000,.100,-71,.074,-66,0,0,/2,
13,John Reese,33,3B,0.0,1,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-110,0,0,/5,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
14,Ted Trent,24,P,0.3,26,76,70,9,14,2,1,1,5,1,6,.200,.263,.300,.563,53,.263,53,21,0,1,
15,John Williams,23,P,0.2,30,59,57,12,15,1,2,0,5,0,1,.263,.288,.351,.639,74,.293,71,20,1,1/7,
16,Logan Hensley,28,P,0.1,24,50,50,8,11,2,0,1,3,0,0,.220,.220,.320,.540,46,.243,39,16,0,1,
17,Luther McDonald,22,P,0.1,22,44,43,7,9,1,1,0,1,0,1,.209,.227,.279,.506,38,.232,33,12,0,1,
18,Roosevelt Davis,23,P,0.5,24,36,34,4,10,1,0,2,4,0,2,.294,.333,.500,.833,125,.374,121,17,0,1,
19,Richard Cannon,18,P,-0.1,11,20,19,2,2,0,0,0,0,0,1,.105,.150,.105,.255,-29,.130,-32,2,0,1,
20,Turner,20,P,0.0,2,2,2,1,1,0,0,0,1,0,0,.500,.500,.500,1.000,174,.466,177,1,0,/1,
21,Hastings,,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,/1,
,Team Totals,,,25.6,79,3022,2811,547,892,156,57,101,497,53,186,.317,.365,.521,.886,139,.398,136,1465,25,,
,Non-Pitcher Totals,,,24.6,,2735,2536,504,830,149,53,97,478,52,175,.327,.376,.543,.919,148,.412,145,1376,24,,
,Pitcher Totals,,,1.1,,287,275,43,62,7,4,4,19,1,11,.225,.258,.324,.581,58,.267,55,89,1,,
