Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,SF,Pos.1,Awards
1,Larry Brown#,41,C,0.0,17,56,48,2,10,1,0,0,1,0,8,.208,.321,.229,.551,71,.286,84,11,0,0,0,2/9,
2,Jim Canada*,31,1B,0.0,17,64,59,5,14,2,0,0,5,0,5,.237,.297,.271,.568,76,.282,82,16,0,0,0,3,
3,Fred Bankhead,30,2B,0.4,25,109,101,18,28,3,1,0,9,6,6,.277,.324,.327,.651,101,.324,102,33,1,1,0,4/5,
4,Red Longley,33,SS,0.5,25,96,91,9,29,4,1,0,10,1,5,.319,.354,.385,.739,128,.353,124,35,0,0,0,6/32458,
5,Fred McDaniel*,30,3B,0.3,20,81,72,9,21,3,2,0,9,1,9,.292,.370,.389,.759,135,.365,131,28,0,0,0,5/7,
6,Emmett Wilson#,30,LF,0.0,14,51,45,9,10,2,1,0,4,0,6,.222,.314,.311,.625,93,.308,97,14,0,0,0,/798,
7,Neil Robinson,35,CF,0.5,23,92,81,14,22,3,2,2,16,0,9,.272,.352,.432,.784,142,.374,136,35,1,1,0,8/657,AS
8,Cowan Hyde,36,RF,0.5,22,93,87,14,27,1,2,1,8,5,5,.310,.348,.402,.750,132,.365,127,35,0,1,0,9/7458,AS
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,SF,Pos,Awards
9,Verdell Mathis*,29,UT,0.5,20,73,61,9,13,1,0,0,7,0,12,.213,.342,.230,.572,78,.300,92,14,0,0,0,1/8379,
10,Nat Rogers*,49,OF,-0.5,15,40,38,1,5,0,0,0,5,0,2,.132,.175,.132,.307,-5,.158,10,5,0,0,0,9,
11,Marlin Carter*,30,3B,-0.1,8,35,32,7,8,1,1,0,7,0,3,.250,.314,.344,.658,103,.318,103,11,0,0,0,/5,
12,Bob Smith,36,UT,0.3,9,27,25,2,11,0,0,0,4,0,2,.440,.481,.440,.921,186,.447,178,11,0,0,0,/29,
13,T.J. Brown,27,SS,-0.1,6,18,18,3,6,0,0,0,3,0,0,.333,.333,.333,.667,106,.320,104,6,0,0,0,/6,
14,Casey Jones*,24,C,0.2,7,16,13,4,5,0,0,0,1,0,3,.385,.500,.385,.885,175,.441,175,5,0,0,0,/2,
15,Pepper Sharpe#,24,OF,0.3,5,12,11,0,4,1,0,0,1,0,1,.364,.417,.455,.871,169,.417,161,5,0,0,0,/71,
16,Felix Evans,32,UT,0.0,4,9,8,0,1,0,0,0,0,0,0,.125,.125,.125,.250,-23,.120,-26,1,0,1,0,/67,
17,James Lockman,,SS,-0.1,2,7,7,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-100,.038,-81,0,0,0,0,/6,
18,Jimmy Ford,30,SS,0.1,1,5,4,2,2,1,0,0,2,0,1,.500,.600,.750,1.350,316,.617,276,3,0,0,0,/6,
19,Gerves Fagan,27,OF,0.0,1,5,5,0,1,0,1,0,0,0,0,.200,.200,.600,.800,144,.349,121,3,0,0,0,/9,
20,Homer Curry*,38,OF,0.0,1,5,3,1,0,0,0,0,0,0,2,.000,.400,.000,.400,28,.299,92,0,0,0,0,/7,
21,Smith,,3B,0.0,1,4,4,0,1,0,0,0,1,0,0,.250,.250,.250,.500,55,.240,58,1,0,0,0,/5,
22,Jelly Taylor*,32,1B,0.0,1,4,3,1,1,0,0,0,1,0,1,.333,.500,.333,.833,160,.427,166,1,0,0,0,/3,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,SF,Pos,Awards
23,Porter Moss,33,P,-0.1,13,29,28,2,5,1,0,0,2,0,0,.179,.179,.214,.393,21,.186,24,6,0,1,0,1/7,AS
24,Willie Hutchinson,28,P,0.0,12,22,22,4,5,0,0,0,2,0,0,.227,.227,.227,.455,41,.218,45,5,0,0,0,1/4,
25,Robert Keyes*,,P,0.0,5,10,10,1,2,0,0,0,2,0,0,.200,.200,.200,.400,24,.192,30,2,0,0,0,/1,
26,Bill Barnes,22,P,-0.1,2,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-82,0,0,0,0,/1,
27,Satchel Paige,36,P,0.0,1,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-84,0,0,0,0,/1,AS
,Team Totals,,,2.4,27,969,882,117,231,24,11,3,100,14,80,.262,.325,.324,.649,101,.319,102,286,2,5,0,,
,Non-Pitcher Totals,,,2.1,,829,755,101,206,22,11,3,87,14,68,.273,.335,.343,.678,110,.331,110,259,2,4,0,,
,Pitcher Totals,,,0.4,,140,127,16,25,2,0,0,13,0,12,.197,.266,.213,.479,49,.243,59,27,0,1,0,,
