Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Mule Suttles,23,LF,1.8,79,293,274,43,87,21,3,3,49,3,15,0.318,0.362,0.449,0.811,121.0,0.376,117.0,123,4,Right
Sandy Thompson*,29,CF,1.2,77,318,291,50,87,14,5,1,29,8,25,0.299,0.358,0.392,0.75,105.0,0.355,105.0,114,2,Left
Charles Wesley,27,2B,1.1,71,292,277,37,78,6,2,0,28,1,15,0.282,0.318,0.318,0.636,74.0,0.306,75.0,88,0,Right
Geechie Meredith,24,SS,0.3,74,300,278,32,70,8,3,4,27,8,17,0.252,0.307,0.345,0.652,78.0,0.31,78.0,96,5,Right
Poindexter Williams,26,C,0.4,64,206,189,20,52,11,1,1,27,1,15,0.275,0.335,0.36,0.695,90.0,0.331,91.0,68,2,Right
Felton Stratton,28,3B,-1.3,72,271,258,24,52,6,4,1,25,2,11,0.202,0.24,0.267,0.507,39.0,0.241,38.0,69,2,Right
George McAllister*,25,1B,-0.1,75,319,298,38,77,6,6,1,24,0,21,0.258,0.307,0.329,0.636,74.0,0.304,74.0,98,0,Left
George Dixon*,28,C,0.5,32,101,82,17,23,4,1,1,15,2,16,0.28,0.416,0.39,0.806,121.0,0.392,127.0,32,3,Left
Ruben Jones*,30,RF,0.1,42,134,126,16,30,3,1,1,13,1,7,0.238,0.284,0.302,0.585,60.0,0.28,60.0,38,1,Left
Bubbles Anderson,19,2B,0.3,19,62,52,8,13,3,2,0,10,0,9,0.25,0.371,0.385,0.756,107.0,0.364,109.0,20,1,Right
Robert Poindexter,26,P,0.6,29,70,69,7,22,3,1,2,10,0,1,0.319,0.329,0.478,0.807,119.0,0.368,111.0,33,0,Right
