Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Cristóbal Torriente*,30,LF,4.0,74,304,255,59,93,27,6,8,81,12,46,0.365,0.467,0.612,1.079,194.0,0.492,184.0,156,3,Left
Bobby Williams,28,SS,1.0,75,300,275,57,75,6,7,1,50,15,21,0.273,0.333,0.356,0.69,89.0,0.335,89.0,98,4,Right
Dave Malarcher#,29,3B,1.9,77,323,286,69,80,11,1,0,37,22,33,0.28,0.362,0.325,0.687,89.0,0.345,94.0,93,4,Both
Jim Brown#,32,C,0.2,67,237,218,31,58,12,3,0,32,6,17,0.266,0.325,0.349,0.674,84.0,0.322,85.0,76,2,Both
Jelly Gardner*,28,CF,3.6,77,340,286,66,93,10,4,0,29,13,54,0.325,0.432,0.388,0.82,125.0,0.4,131.0,111,0,Left
John Hines,23,C,1.1,36,121,108,20,41,8,2,0,23,2,12,0.38,0.446,0.491,0.937,156.0,0.439,155.0,53,1,Right
L. Davis,,RF,0.8,24,91,81,17,26,5,1,2,22,4,9,0.321,0.396,0.481,0.877,139.0,0.411,135.0,39,1,Right
Bingo DeMoss,34,2B,-0.4,67,256,226,43,50,8,1,1,21,12,26,0.221,0.313,0.279,0.591,62.0,0.299,68.0,63,4,Right
Willie Ware,24,1B,-0.8,50,164,157,11,34,3,1,0,15,0,6,0.217,0.25,0.248,0.498,37.0,0.242,37.0,39,1,Right
Leroy Grant,35,1B,-0.5,29,102,89,12,16,2,0,0,12,2,8,0.18,0.284,0.202,0.487,34.0,0.254,45.0,18,5,Right
Joe Hewitt*,38,2B,0.5,35,135,105,26,25,1,1,0,11,7,28,0.238,0.407,0.267,0.674,87.0,0.358,104.0,28,2,Left
Juan Padrón*,31,P,-0.1,29,58,56,7,10,0,0,2,9,0,2,0.179,0.207,0.286,0.493,34.0,0.229,30.0,16,0,Left
George Harney,34,P,0.1,25,53,50,4,11,1,2,0,8,0,3,0.22,0.264,0.32,0.584,59.0,0.275,57.0,16,0,Right
Vic Harris*,19,OF,0.0,12,48,42,3,12,2,0,1,7,0,6,0.286,0.375,0.405,0.78,113.0,0.372,114.0,17,0,Left
Herman Roth,28,C,-0.1,8,22,21,4,5,0,0,0,3,0,1,0.238,0.273,0.238,0.511,40.0,0.252,43.0,5,0,Right
Aubry Owens,28,P,0.2,13,33,28,3,7,0,1,0,3,0,5,0.25,0.364,0.321,0.685,88.0,0.339,95.0,9,0,Right
Bill Evans#,25,OF,-0.2,8,26,24,4,5,0,0,0,2,1,2,0.208,0.269,0.208,0.478,32.0,0.244,37.0,5,0,Both
George Dixon*,28,C,0.1,2,8,7,2,2,1,0,0,2,0,1,0.286,0.375,0.429,0.804,119.0,0.38,119.0,3,0,Left
Bobo Leonard,,OF,0.3,3,12,11,2,5,1,0,0,2,0,1,0.455,0.5,0.545,1.045,186.0,0.492,184.0,6,0,Right
Eddie Miller,23,P,-0.1,19,47,43,4,7,1,0,0,2,0,4,0.163,0.234,0.186,0.42,16.0,0.215,21.0,8,0,Right
Ed Rile*,24,P,-0.1,14,25,24,2,4,1,1,0,1,0,1,0.167,0.2,0.292,0.492,33.0,0.226,28.0,7,0,Left
Bill Foster#,20,P,-0.1,12,19,19,1,3,0,0,0,1,0,0,0.158,0.158,0.158,0.316,-13.0,0.151,-16.0,3,0,Both
Stewart,,SS,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-104.0,0,0,Right
Pinky Ward,,OF,-0.3,4,13,13,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-106.0,0,0,Right
Jimmie Lyons*,34,,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Left
Tom Williams,27,P,0.1,23,29,24,2,5,0,0,0,0,0,5,0.208,0.345,0.208,0.553,53.0,0.296,69.0,5,0,Right
Harold Treadwell,27,P,0.1,7,8,7,1,2,0,0,0,0,0,1,0.286,0.375,0.286,0.661,82.0,0.334,92.0,2,0,Right
Dick Whitworth,28,P,-0.1,3,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-104.0,0,0,Right
Howard Ross,21,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-100.0,0,0,Right
