Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos.1,Awards
1,Otto Ray,31,C,0.9,29,97,86,17,31,11,3,2,22,2,10,.360,.433,.628,1.061,188,.476,176,54,1,23/79,
2,Tullie McAdoo,39,1B,-0.3,11,40,38,2,8,1,0,0,2,0,0,.211,.250,.237,.487,34,.240,36,9,2,3,
3,Boots McClain,25,2B,-0.7,27,113,103,13,20,1,1,2,11,2,9,.194,.265,.282,.547,50,.264,51,29,1,4/6,
4,Carlisle Perry,31,SS,0.0,16,56,50,5,12,0,0,1,8,0,6,.240,.321,.300,.621,71,.306,75,15,0,6/458,
5,John Shackelford*,18,3B,-0.2,20,89,86,9,24,4,1,0,8,2,3,.279,.303,.349,.652,78,.306,76,30,0,5/46,
6,Vic Harris*,19,LF,0.9,30,125,108,22,28,4,3,2,16,2,14,.259,.360,.407,.767,110,.362,109,44,3,7/689,
7,Willie Miles,,CF,0.2,18,78,72,10,24,4,2,1,8,3,6,.333,.385,.486,.871,137,.404,132,35,0,8/4679,
8,Orville Singer,25,RF,-0.2,27,118,110,17,27,2,2,0,12,2,7,.245,.297,.300,.597,63,.286,65,33,1,9/4867,
9,Wilson Redus,19,OF,-0.4,12,49,45,8,11,2,0,2,7,0,4,.244,.306,.422,.728,98,.337,93,19,0,/89,
10,Bill Francis,45,3B,0.3,11,47,40,5,9,0,1,0,3,2,6,.225,.340,.275,.615,69,.314,78,11,1,5,
11,Wilson Joseph,26,IF,-0.1,12,46,40,5,7,2,0,1,5,1,6,.175,.283,.300,.583,59,.285,62,12,0,6/5,
12,Herman Gordon,32,OF,-0.1,20,43,40,4,10,1,1,0,5,1,3,.250,.302,.325,.627,72,.299,71,13,0,/19,
13,Willie Curtis,32,1B,0.2,9,36,30,5,11,1,0,0,4,1,5,.367,.472,.400,.872,140,.427,148,12,1,/3,
14,Sylvester Foreman,28,C,-0.1,9,35,31,4,5,0,0,1,3,0,3,.161,.257,.258,.515,41,.256,45,8,1,/2,
15,John Barnes*,21,C,0.1,6,26,22,6,6,2,1,0,2,0,4,.273,.385,.455,.839,129,.393,126,10,0,/2,
16,Robert Bonner,30,UT,-0.2,5,20,19,0,3,0,0,0,1,0,1,.158,.200,.158,.358,-1,.181,2,3,0,/24,
17,Esco Haynes,,C,0.1,8,15,12,2,2,0,0,1,1,0,3,.167,.333,.417,.750,104,.354,103,5,0,/2,
18,Bobo Leonard,,OF,0.3,3,13,11,5,6,1,0,1,6,0,2,.545,.615,.909,1.524,314,.671,290,10,0,/8,
19,Leroy Grant,35,1B,0.1,3,13,12,1,5,0,0,0,0,0,1,.417,.462,.417,.878,141,.426,146,5,0,/3,
20,Harry Jeffries,,SS,0.0,3,10,9,1,3,1,0,0,2,0,1,.333,.400,.444,.844,131,.399,129,4,0,/6,
21,Don Hammond,,SS,0.2,3,8,8,0,2,0,1,0,0,0,0,.250,.250,.500,.750,102,.326,86,4,0,/61,
22,Ray Sheppard,21,SS,0.0,1,2,1,0,0,0,0,0,0,0,1,.000,.500,.000,.500,44,.382,118,0,0,/6,
23,Buddy Fields,,P,0.4,13,25,25,6,11,4,0,0,4,0,0,.440,.440,.600,1.040,183,.479,176,15,0,1/9,
24,Sensation Clark,21,P,0.0,6,22,21,1,6,1,0,0,3,0,1,.286,.318,.333,.652,78,.312,78,7,0,/19,
25,John Wesley Johnson,,P,0.0,10,19,19,0,5,0,0,0,0,0,0,.263,.263,.263,.526,44,.251,43,5,0,1,
26,Logan Hensley,24,P,0.1,6,18,17,2,5,0,1,0,3,0,1,.294,.333,.412,.745,103,.346,99,7,0,/1,
27,Ruby Tyrees,32,P,-0.1,6,12,10,2,1,0,0,0,1,0,2,.100,.250,.100,.350,-2,.207,17,1,0,/18,
28,Howard Ross,21,P,-0.2,5,7,7,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-105,0,0,/17,
29,Ted Hamilton,,P,-0.1,3,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-102,0,0,/1,
30,Stovall,,P,0.0,1,2,2,1,1,0,0,0,0,0,0,.500,.500,.500,1.000,174,.477,175,1,0,/1,
31,Harold Treadwell,27,P,0.0,1,2,1,0,0,0,0,0,0,0,1,.000,.500,.000,.500,44,.382,118,0,0,/1,
