Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Bill Pierce,34,1B,2.9,62,273,243,45,82,10,12,9,52,3,26,0.337,0.41,0.588,0.999,171.0,0.449,160.0,143,4,Right
Turkey Stearnes*,23,CF,2.4,61,267,248,57,84,9,12,9,44,2,17,0.339,0.386,0.581,0.966,162.0,0.434,151.0,144,2,Left
Clarence Smith,,RF,1.2,62,271,255,41,77,5,6,3,39,6,16,0.302,0.343,0.404,0.747,104.0,0.349,101.0,103,0,Right
Anderson Pryor,23,2B,1.2,57,222,200,23,59,10,0,4,35,1,20,0.295,0.365,0.405,0.77,110.0,0.365,110.0,81,2,Right
Bill Riggins#,24,SS,1.0,62,278,259,48,79,7,6,1,24,5,18,0.305,0.353,0.39,0.742,103.0,0.349,102.0,101,1,Both
Johnny Jones,24,LF,1.3,55,240,221,35,67,12,3,0,22,0,15,0.303,0.358,0.385,0.743,103.0,0.355,103.0,85,4,Right
Kid Lowe,23,3B,1.4,46,184,165,23,49,4,3,1,19,2,16,0.297,0.37,0.376,0.745,104.0,0.357,106.0,62,3,Right
Bruce Petway#,38,UT,0.5,35,109,95,15,31,3,2,1,12,2,11,0.326,0.413,0.432,0.844,131.0,0.401,132.0,41,3,Both
Johnie Watson,28,OF,-0.4,30,96,87,15,22,2,3,0,11,0,8,0.253,0.323,0.345,0.668,83.0,0.32,83.0,30,1,Right
Herman Roth,28,C,-0.5,22,71,70,5,14,3,0,1,11,1,1,0.2,0.211,0.286,0.497,35.0,0.229,30.0,20,0,Right
Pepper Daniels,21,C,-0.1,26,83,72,9,15,1,1,0,10,1,11,0.208,0.313,0.25,0.563,55.0,0.284,63.0,18,0,Right
