Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
George Dixon*,28,C,0.2,20,73,62,9,17,4,1,0,8,0,10,0.274,0.384,0.371,0.755,107.0,0.368,111.0,23,1,Left
Pinky Ward,,LF,0.2,20,78,72,10,21,2,1,0,8,2,6,0.292,0.346,0.347,0.693,90.0,0.332,91.0,25,0,Right
L. Davis,,UT,0.4,17,58,53,9,16,2,2,1,7,0,5,0.302,0.362,0.472,0.834,127.0,0.385,121.0,25,0,Right
Wilson Redus,19,CF,-0.1,13,49,48,1,16,1,0,0,5,0,1,0.333,0.347,0.354,0.701,92.0,0.335,92.0,17,0,Right
Namon Washington,30,2B,-0.8,20,68,65,6,11,0,0,0,4,2,3,0.169,0.206,0.169,0.375,3.0,0.189,6.0,11,0,Right
Bobo Leonard,,RF,-0.3,19,65,62,5,13,5,0,0,4,0,2,0.21,0.246,0.29,0.536,46.0,0.255,45.0,18,1,Right
Goldie Davis,,OF,-0.1,9,28,26,2,8,0,1,0,3,0,2,0.308,0.357,0.385,0.742,103.0,0.352,102.0,10,0,Right
Ray Sheppard,21,SS,-0.3,12,44,36,5,6,1,0,0,3,0,6,0.167,0.318,0.194,0.513,42.0,0.279,59.0,7,2,Right
Wilson Joseph,26,3B,-0.4,10,30,30,0,5,0,0,0,3,0,0,0.167,0.167,0.167,0.333,-9.0,0.159,-12.0,5,0,Right
Willie Curtis,32,1B,-0.3,18,72,68,9,18,0,1,0,2,2,4,0.265,0.306,0.294,0.6,64.0,0.289,66.0,20,0,Right
Adam Williams,,MI,0.0,8,24,21,1,5,0,1,0,2,1,2,0.238,0.333,0.333,0.667,83.0,0.327,86.0,7,1,Right
Hulon Stamps,25,P,0.0,8,13,13,0,3,2,0,0,2,0,0,0.231,0.231,0.385,0.615,67.0,0.277,58.0,5,0,Right
Alex Evans,28,UT,-0.1,12,25,25,2,6,0,0,1,1,0,0,0.24,0.24,0.36,0.6,63.0,0.273,56.0,9,0,Right
Dizzy Dismukes,34,P,0.0,5,14,14,1,3,0,1,0,1,0,0,0.214,0.214,0.357,0.571,55.0,0.254,44.0,5,0,Right
Henry Blackmon,32,3B,0.1,1,4,4,1,2,1,0,0,0,0,0,0.5,0.5,0.75,1.25,239.0,0.569,229.0,3,0,Right
Russell Trabue,24,P,-0.2,4,12,12,0,1,0,0,0,0,0,0,0.083,0.083,0.083,0.167,-54.0,0.08,-58.0,1,0,Right
Henry Strickland,,P,0.0,1,3,3,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,83.0,0.318,83.0,1,0,Right
Murdock,,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-104.0,0,0,Right
Nolan Swancy,27,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-100.0,0,0,Right
Buster Emmett,,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Right
Hop Bartlett,24,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Right
