Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Newt Joseph,27,3B,3.8,71,292,267,58,100,21,6,4,68,7,23,0.375,0.428,0.543,0.971,165.0,0.446,159.0,145,2,Right
Dobie Moore,28,SS,4.3,75,330,299,64,106,20,11,5,62,9,26,0.355,0.415,0.545,0.96,161.0,0.439,154.0,163,5,Right
Hurley McNair*,35,RF,2.3,71,307,274,61,93,8,6,5,59,12,32,0.339,0.41,0.467,0.878,140.0,0.412,138.0,128,1,Left
Heavy Johnson,29,LF,2.2,70,293,265,57,97,18,7,5,55,5,24,0.366,0.427,0.543,0.97,164.0,0.445,158.0,144,4,Right
Dink Mothell#,26,CF,1.0,70,282,243,53,67,11,5,0,46,6,35,0.276,0.376,0.362,0.738,102.0,0.357,106.0,88,4,Both
Frank Duncan,23,C,1.2,68,266,235,51,62,11,2,0,34,7,27,0.264,0.35,0.328,0.677,86.0,0.331,90.0,77,4,Right
Lemuel Hawkins*,28,1B,0.3,61,292,261,54,73,6,6,0,34,6,25,0.28,0.356,0.349,0.705,93.0,0.34,96.0,91,6,Left
Bullet Rogan,30,P,2.2,49,162,149,31,59,8,5,5,33,5,12,0.396,0.444,0.617,1.062,189.0,0.481,179.0,92,1,Right
Newt Allen,23,2B,0.5,73,329,298,52,77,8,3,2,32,11,28,0.258,0.328,0.326,0.654,79.0,0.318,82.0,97,3,Right
George Sweatt,30,OF,0.3,33,124,113,24,31,5,2,3,19,1,7,0.274,0.339,0.434,0.772,110.0,0.358,107.0,49,4,Right
Bill Drake,29,P,0.4,27,61,58,5,16,3,1,1,10,3,3,0.276,0.311,0.414,0.725,97.0,0.34,92.0,24,0,Right
William Bell,26,P,-0.3,20,55,53,4,10,1,0,0,4,0,1,0.189,0.218,0.208,0.426,17.0,0.209,18.0,11,1,Right
José Méndez,39,P,0.2,16,27,24,5,5,2,0,1,3,0,3,0.208,0.296,0.417,0.713,94.0,0.33,89.0,10,0,Right
Yellow Horse Morris,22,P,0.0,19,40,39,7,8,0,2,0,3,1,1,0.205,0.225,0.308,0.533,45.0,0.246,39.0,12,0,Right
Willie Green,30,3B,0.1,1,5,5,0,2,0,0,0,1,0,0,0.4,0.4,0.4,0.8,119.0,0.382,119.0,2,0,Right
Lefty Williams,,OF,-0.1,1,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-104.0,0,0,Right
Charley Hill,,OF,0.0,2,7,7,1,1,1,0,0,0,0,0,0.143,0.143,0.286,0.429,16.0,0.189,6.0,2,0,Right
John Donaldson*,33,OF,0.0,2,6,5,0,1,0,0,0,0,2,1,0.2,0.333,0.2,0.533,48.0,0.318,63.0,1,0,Left
Cliff Bell,27,P,0.0,8,19,16,0,2,0,0,0,0,1,2,0.125,0.263,0.125,0.388,8.0,0.228,26.0,2,1,Right
Bill McCall*,26,P,0.1,3,8,6,3,2,0,0,0,0,0,2,0.333,0.5,0.333,0.833,130.0,0.43,148.0,2,0,Left
Jack Marshall,29,P,-0.1,3,7,6,0,0,0,0,0,0,0,1,0.0,0.143,0.0,0.143,-59.0,0.109,-41.0,0,0,Right
Hop Bartlett,24,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-104.0,0,0,Right
