,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos.1,Awards
0,1,Mitchell Murray,28,C,1.6,48,168,150,28,50,8,0,6,35,4,18,.333,.405,.507,.911,148,.421,144,76,0,2/3,
1,2,Willie Bobo*,26,1B,1.9,70,298,268,56,85,16,3,6,57,6,25,.317,.386,.466,.852,132,.396,129,125,5,*3/1,
2,3,Charlie Watts,,2B,-0.4,51,179,166,16,36,6,1,1,15,1,9,.217,.274,.283,.557,52,.269,54,47,4,4/65,
3,4,Willie Wells,19,SS,2.2,45,184,170,29,51,12,4,1,37,2,12,.300,.353,.435,.789,115,.366,111,74,2,6,
4,5,Dewey Creacy,24,3B,0.0,55,194,181,24,46,5,7,1,24,3,12,.254,.304,.376,.680,85,.316,82,68,1,54/6,
5,6,Charlie Blackwell*,29,LF,-0.2,48,185,159,33,40,5,2,4,24,2,17,.252,.357,.384,.740,102,.354,105,61,9,78/9,
6,7,Cool Papa Bell#,21,CF,1.4,65,262,242,52,73,12,3,1,33,12,20,.302,.355,.388,.743,103,.356,103,94,0,*8/193,
7,8,Branch Russell*,28,RF,2.1,69,303,272,56,83,20,4,7,44,12,27,.305,.376,.485,.862,135,.401,130,132,4,964/578,
8,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
9,9,John Reese,29,OF,-0.9,51,167,158,17,35,2,2,1,14,9,9,.222,.263,.278,.542,48,.266,48,44,0,97/84,
10,10,Candy Jim Taylor,40,3B,0.8,40,125,110,16,41,9,1,1,16,8,14,.373,.448,.500,.948,159,.452,157,55,1,5/4,
11,11,Robert Mitchell,24,C,0.5,39,114,100,20,29,4,2,2,17,9,13,.290,.377,.430,.807,120,.389,119,43,1,2/589,
12,12,Ralph Cleage*,26,OF,-0.8,23,75,72,7,17,2,2,0,9,0,2,.236,.267,.319,.586,60,.276,57,23,1,7/49,
13,13,Wilson Redus,19,OF,0.0,11,47,44,11,12,2,2,0,12,0,3,.273,.319,.409,.728,98,.338,94,18,0,7,
14,14,Eddie Holtz,24,2B,0.4,8,36,33,6,12,0,0,0,1,3,2,.364,.417,.364,.780,114,.390,120,12,1,/4,
15,15,George Mitchell,24,UT,0.0,14,25,24,2,5,3,0,0,2,0,1,.208,.240,.333,.573,56,.266,51,8,0,/1872,
16,16,Ewell Thomas,,UT,-0.1,5,8,8,1,2,0,0,0,0,0,0,.250,.250,.250,.500,37,.239,35,2,0,/2569,
17,17,George Womack,26,C,0.0,3,4,3,1,0,0,0,0,0,0,0,.000,.250,.000,.250,-28,.199,13,0,1,/2,
18,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
19,18,William Ross,30,P,0.3,25,59,52,5,13,1,0,0,4,0,6,.250,.339,.269,.608,68,.308,76,14,1,1,
20,19,Roosevelt Davis,19,P,-0.2,25,42,40,4,6,0,1,0,2,0,2,.150,.190,.200,.390,7,.189,6,8,0,1,
21,20,Fred Bell*,22,P,0.2,22,38,36,3,10,1,1,0,4,0,2,.278,.316,.361,.677,85,.319,83,13,0,1,
22,21,Deacon Meyers,24,P,-0.3,20,33,29,5,1,0,0,0,0,0,2,.034,.152,.034,.186,-47,.123,-33,1,2,1,
23,22,Sam Crawford,32,P,-0.1,8,15,15,0,3,0,0,0,0,0,0,.200,.200,.200,.400,10,.191,7,3,0,/1,
24,23,Logan Hensley,24,P,0.0,6,14,14,2,3,1,0,0,1,0,0,.214,.214,.286,.500,36,.231,30,4,0,/1,
25,24,Lefty Robinson,33,P,-0.1,4,12,11,2,1,0,0,0,0,0,1,.091,.167,.091,.258,-28,.143,-20,1,0,/1,
26,25,John Finner,38,P,0.0,3,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-104,0,0,/1,
27,26,Bob Reddon,,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,/1,
28,27,Ted Hamilton,,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,/1,
29,,Team Totals,,,8.2,70,2589,2359,396,654,109,35,31,351,71,197,.277,.341,.393,.734,100,.348,99,926,33,,
30,,Non-Pitcher Totals,,,8.4,,2349,2136,373,612,103,33,31,338,71,183,.287,.351,.409,.760,108,.360,106,874,30,,
31,,Pitcher Totals,,,-0.2,,240,223,23,42,6,2,0,13,0,14,.188,.246,.233,.479,31,.237,34,52,3,,
