Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos.1,Awards
1,Eufemio Abreu,24,C,0.3,42,168,153,19,38,12,3,0,14,3,15,.248,.315,.366,.681,83,.313,83,56,*2/3,
2,José Pérez,26,1B,-0.1,43,179,155,23,38,3,0,0,17,3,24,.245,.346,.265,.611,67,.300,77,41,*3/2,
3,Felipe Sierra,23,2B,0.5,43,197,174,31,47,6,2,0,26,3,23,.270,.355,.328,.683,85,.324,91,57,*4/6,
4,Ángel Alfonso,24,SS,0.6,43,198,181,33,49,10,2,1,27,6,17,.271,.333,.365,.698,87,.324,89,66,*6/45,
5,Pedro Arango,23,3B,0.1,35,148,141,17,34,6,1,4,26,2,7,.241,.277,.383,.660,76,.295,73,54,*5/6,
6,Mauricio Funes,21,LF,-0.4,43,185,171,24,41,5,1,1,14,2,14,.240,.297,.298,.596,61,.279,64,51,*7/8,
7,Valentín Dreke*,27,CF,1.3,43,198,186,43,65,13,3,2,27,7,12,.349,.389,.484,.873,133,.394,131,90,*8,
8,Esteban Montalvo*,29,RF,1.8,43,189,166,33,53,9,4,11,60,4,23,.319,.402,.620,1.023,171,.443,161,103,*9/1,
9,Mexio,,1B,0.0,5,12,12,2,4,1,0,0,0,1,0,.333,.333,.417,.750,100,.347,98,5,/379,
10,Garey,,C,0.2,1,5,5,2,3,0,3,0,3,0,0,.600,.600,1.800,2.400,520,.963,473,9,/2,
11,Ramiro Ramírez,29,3B,-0.1,1,5,4,0,0,0,0,0,0,0,1,.000,.200,.000,.200,-42,.149,-16,0,/5,
12,Felton Stratton,29,3B,-0.1,1,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-105,0,/5,
13,David Gómez,23,P,-0.4,35,96,92,7,16,3,1,0,6,2,4,.174,.208,.228,.437,17,.204,17,21,1/5927,
14,Justo Domínguez,,P,0.0,18,35,34,6,7,3,0,0,2,0,1,.206,.229,.294,.523,39,.238,38,10,1/59,
15,Raúl Álvarez,23,P,-0.3,16,28,27,1,2,0,0,0,0,0,1,.074,.107,.074,.181,-50,.093,-49,2,1,
16,Juan Eckelson,21,P,-0.1,10,20,20,1,3,0,0,0,0,0,0,.150,.150,.150,.300,-19,.139,-21,3,1,
17,Felipe Armas,23,P,0.1,5,7,6,2,2,0,0,0,2,1,1,.333,.429,.333,.762,108,.384,117,2,/19,
