Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos.1,Awards
1,Wilmer Euell,29,C,-0.1,30,99,90,5,20,3,0,1,8,0,9,.222,.293,.289,.582,57,.277,61,26,2,
2,George McAllister*,26,1B,-1.1,40,172,158,22,30,2,0,0,14,2,14,.190,.256,.203,.458,25,.225,31,32,3,
3,J.H. Hamilton,,2B,-0.5,24,93,90,7,20,0,0,0,8,1,3,.222,.247,.222,.470,27,.222,29,20,4/56,
4,Will Owens,23,SS,-0.9,45,168,159,9,30,3,0,0,11,3,9,.189,.232,.208,.440,19,.211,22,33,6/45,
5,Bobby Robinson,21,3B,0.1,57,222,196,25,42,4,3,3,27,4,26,.214,.306,.311,.618,66,.291,71,61,*5/46,
6,Earl Gurley*,26,LF,1.1,37,118,101,20,35,5,2,4,18,2,17,.347,.441,.554,.995,166,.443,162,56,71/83,
7,Eddie Dwight,20,CF,-0.3,48,187,169,29,41,5,1,0,15,6,18,.243,.316,.284,.600,62,.288,68,48,87/4,
8,Fred Long,29,RF,1.3,42,173,163,30,57,11,6,2,30,2,10,.350,.387,.528,.915,143,.405,139,86,9/87,
9,Stack Martin,26,UT,0.5,50,202,197,30,55,8,5,5,41,6,5,.279,.297,.447,.744,97,.330,92,88,724/81936,
10,Henry Baker,24,1B,-0.3,49,196,183,25,45,4,5,1,18,1,13,.246,.296,.339,.635,70,.291,70,62,389/72,
11,George Dixon*,29,C,0.0,17,61,57,6,14,0,0,1,5,1,4,.246,.295,.298,.593,60,.277,63,17,2,
12,Fred Hutchinson,39,IF,0.2,19,53,47,7,13,0,1,0,6,1,6,.277,.358,.319,.678,84,.322,90,15,4/65,
13,Bubbles Anderson,20,2B,0.1,10,41,37,5,10,2,0,0,5,3,4,.270,.341,.324,.666,80,.323,85,12,4,
14,Ernest Duff,25,,0.3,8,32,28,6,12,1,0,0,9,1,4,.429,.500,.464,.964,161,.449,166,13,/8,
15,L. Davis,,,0.3,8,26,25,6,9,1,3,0,9,3,1,.360,.385,.640,1.025,170,.452,160,16,/9,
16,George Collins,,SS,-0.2,6,21,19,3,2,0,0,0,0,0,2,.105,.190,.105,.296,-18,.159,-9,2,/6,
17,Moody Allison,,2B,0.1,2,9,9,1,3,0,1,1,2,0,0,.333,.333,.889,1.222,217,.503,196,8,/4,
18,Henry Williams,30,C,-0.1,3,9,9,1,2,0,0,0,1,0,0,.222,.222,.222,.444,20,.206,19,2,/2,
19,Steve White,,,0.0,2,4,4,1,2,0,0,0,1,0,0,.500,.500,.500,1.000,170,.464,173,2,/8,
20,Tiny Baldwin,21,SS,0.0,1,4,4,0,1,0,1,0,0,0,0,.250,.250,.750,1.000,158,.401,136,3,/6,
21,Leo Roberts,,1B,-0.1,2,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-105,0,/3,
22,Milton Smith#,18,C,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,/2,
23,Ed Rile*,25,P,0.3,15,42,38,5,10,2,0,1,5,0,4,.263,.333,.395,.728,95,.334,95,15,1/4,
24,Mose Offutt,25,P,-0.2,20,35,34,2,5,0,0,0,0,0,1,.147,.171,.147,.318,-14,.154,-12,5,1,
25,Buck Alexander,,P,-0.1,16,26,25,3,3,2,0,0,1,0,1,.120,.154,.200,.354,-6,.163,-7,5,1,
26,George Mitchell,25,P,-0.2,9,25,24,0,2,1,0,0,1,0,1,.083,.120,.125,.245,-34,.118,-34,3,/19,
27,Maywood Brown,28,P,0.2,6,11,10,3,4,1,0,0,1,0,1,.400,.455,.500,.955,156,.438,157,5,/1,
28,Harold Treadwell,28,P,0.4,6,11,11,5,6,2,0,1,3,1,0,.545,.545,1.000,1.545,306,.677,295,11,/1,
29,Frank Stevens,,P,0.2,6,8,8,2,3,1,0,1,2,0,0,.375,.375,.875,1.250,226,.526,210,7,/17,
30,Howard Ross,22,P,-0.1,2,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-105,0,/1,
31,Omer Newsome,25,P,-0.1,1,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-105,0,/1,
32,Bill Freeman,17,P,0.0,2,2,2,1,1,0,0,0,0,0,0,.500,.500,.500,1.000,170,.464,175,1,/1,
33,Hop Bartlett,25,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-107,0,/1,
34,A.D. Young,,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-107,0,/1,
