Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Bats
Stack Martin,26,UT,0.5,50,202,197,30,55,8,5,5,41,6,5,0.279,0.297,0.447,0.744,97.0,0.33,92.0,88,Right
Fred Long,29,RF,1.3,42,173,163,30,57,11,6,2,30,2,10,0.35,0.387,0.528,0.915,143.0,0.405,139.0,86,Right
Bobby Robinson,21,3B,0.1,57,222,196,25,42,4,3,3,27,4,26,0.214,0.306,0.311,0.618,66.0,0.291,71.0,61,Right
Earl Gurley*,26,LF,1.1,37,118,101,20,35,5,2,4,18,2,17,0.347,0.441,0.554,0.995,166.0,0.443,162.0,56,Left
Henry Baker,24,1B,-0.3,49,196,183,25,45,4,5,1,18,1,13,0.246,0.296,0.339,0.635,70.0,0.291,70.0,62,Right
Eddie Dwight,20,CF,-0.3,48,187,169,29,41,5,1,0,15,6,18,0.243,0.316,0.284,0.6,62.0,0.288,68.0,48,Right
George McAllister*,26,1B,-1.1,40,172,158,22,30,2,0,0,14,2,14,0.19,0.256,0.203,0.458,25.0,0.225,31.0,32,Left
Will Owens,23,SS,-0.9,45,168,159,9,30,3,0,0,11,3,9,0.189,0.232,0.208,0.44,19.0,0.211,22.0,33,Right
L. Davis,,,0.3,8,26,25,6,9,1,3,0,9,3,1,0.36,0.385,0.64,1.025,170.0,0.452,160.0,16,Right
Ernest Duff,25,,0.3,8,32,28,6,12,1,0,0,9,1,4,0.429,0.5,0.464,0.964,161.0,0.449,166.0,13,Right
Wilmer Euell,29,C,-0.1,30,99,90,5,20,3,0,1,8,0,9,0.222,0.293,0.289,0.582,57.0,0.277,61.0,26,Right
J.H. Hamilton,,2B,-0.5,24,93,90,7,20,0,0,0,8,1,3,0.222,0.247,0.222,0.47,27.0,0.222,29.0,20,Right
Fred Hutchinson,39,IF,0.2,19,53,47,7,13,0,1,0,6,1,6,0.277,0.358,0.319,0.678,84.0,0.322,90.0,15,Right
George Dixon*,29,C,0.0,17,61,57,6,14,0,0,1,5,1,4,0.246,0.295,0.298,0.593,60.0,0.277,63.0,17,Left
Bubbles Anderson,20,2B,0.1,10,41,37,5,10,2,0,0,5,3,4,0.27,0.341,0.324,0.666,80.0,0.323,85.0,12,Right
Ed Rile*,25,P,0.3,15,42,38,5,10,2,0,1,5,0,4,0.263,0.333,0.395,0.728,95.0,0.334,95.0,15,Left
Harold Treadwell,28,P,0.4,6,11,11,5,6,2,0,1,3,1,0,0.545,0.545,1.0,1.545,306.0,0.677,295.0,11,Right
Moody Allison,,2B,0.1,2,9,9,1,3,0,1,1,2,0,0,0.333,0.333,0.889,1.222,217.0,0.503,196.0,8,Right
Frank Stevens,,P,0.2,6,8,8,2,3,1,0,1,2,0,0,0.375,0.375,0.875,1.25,226.0,0.526,210.0,7,Right
Henry Williams,30,C,-0.1,3,9,9,1,2,0,0,0,1,0,0,0.222,0.222,0.222,0.444,20.0,0.206,19.0,2,Right
Buck Alexander,,P,-0.1,16,26,25,3,3,2,0,0,1,0,1,0.12,0.154,0.2,0.354,-6.0,0.163,-7.0,5,Right
Steve White,,,0.0,2,4,4,1,2,0,0,0,1,0,0,0.5,0.5,0.5,1.0,170.0,0.464,173.0,2,Right
George Mitchell,25,P,-0.2,9,25,24,0,2,1,0,0,1,0,1,0.083,0.12,0.125,0.245,-34.0,0.118,-34.0,3,Right
Maywood Brown,28,P,0.2,6,11,10,3,4,1,0,0,1,0,1,0.4,0.455,0.5,0.955,156.0,0.438,157.0,5,Right
George Collins,,SS,-0.2,6,21,19,3,2,0,0,0,0,0,2,0.105,0.19,0.105,0.296,-18.0,0.159,-9.0,2,Right
Milton Smith#,18,C,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Both
Mose Offutt,25,P,-0.2,20,35,34,2,5,0,0,0,0,0,1,0.147,0.171,0.147,0.318,-14.0,0.154,-12.0,5,Right
Tiny Baldwin,21,SS,0.0,1,4,4,0,1,0,1,0,0,0,0,0.25,0.25,0.75,1.0,158.0,0.401,136.0,3,Right
Leo Roberts,,1B,-0.1,2,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-105.0,0,Right
Howard Ross,22,P,-0.1,2,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-105.0,0,Right
Omer Newsome,25,P,-0.1,1,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-105.0,0,Right
Bill Freeman,17,P,0.0,2,2,2,1,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0,170.0,0.464,175.0,1,Right
Hop Bartlett,25,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-107.0,0,Right
A.D. Young,,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-107.0,0,Right
