,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos.1,Awards
0,1,Larry Brown#,23,C,-0.3,52,166,151,14,30,7,3,0,15,0,15,.199,.271,.285,.556,50,.262,52,43,2,
1,2,Marion Cunningham,29,1B,-1.1,71,258,248,27,49,9,10,3,23,1,10,.198,.229,.351,.579,53,.255,49,87,*3,
2,3,Bob Miller,,2B,0.6,74,293,272,30,74,12,3,2,35,3,21,.272,.324,.360,.685,84,.315,85,98,*4,
3,4,Charley Williams,28,SS,0.7,76,309,286,35,69,15,4,4,42,13,23,.241,.298,.364,.661,77,.306,76,104,*6/5,
4,5,John Henry Russell,27,3B,0.4,75,306,289,37,81,10,4,0,38,2,17,.280,.320,.343,.663,78,.306,79,99,*5/46,
5,6,Kid Lowe,24,LF,-0.4,50,185,173,22,44,4,2,0,20,5,12,.254,.303,.301,.603,63,.283,65,52,7/958,
6,7,Sanford Jackson,25,CF,0.8,58,248,216,45,61,6,2,0,21,14,32,.282,.375,.329,.704,91,.344,98,71,*8/57,
7,8,Charles Wesley,28,RF,-0.2,61,230,218,30,57,8,4,1,29,9,12,.261,.300,.349,.649,74,.301,74,76,*9/78,
8,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Awards
9,9,Pinky Ward,,,0.6,45,160,142,26,41,10,2,1,19,7,18,.289,.369,.408,.777,109,.362,110,58,78/9,
10,10,Pythias Russ,21,C,0.6,39,134,127,23,40,3,2,2,22,3,7,.315,.351,.417,.768,106,.348,105,53,2/367,
11,11,John Kemp,,SS,-0.4,30,90,85,11,19,3,0,1,10,1,5,.224,.267,.294,.561,51,.259,52,25,98/76,
12,12,Eppie Hamilton,25,C,0.0,9,16,15,2,4,1,0,0,1,0,1,.267,.313,.333,.646,74,.301,76,5,/2,
13,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Awards
14,13,Carl Glass*,27,P,0.0,46,113,105,13,25,4,1,0,13,1,8,.238,.292,.295,.587,58,.275,61,31,19/378,
15,14,Willie Spearman,25,P,0.3,33,83,79,5,18,3,0,2,9,0,4,.228,.265,.342,.607,62,.276,60,27,1,
16,15,Steel Arm Tyler,19,P,-0.3,33,56,53,3,7,0,0,0,0,0,3,.132,.179,.132,.311,-15,.156,-11,7,1,
17,16,Square Moore,24,P,0.3,29,49,45,3,11,0,0,1,5,2,4,.244,.306,.311,.617,66,.293,70,14,1,
18,17,Bill Gatewood,43,P,0.3,14,17,13,4,3,0,0,2,2,0,4,.231,.412,.692,1.104,191,.465,173,9,/1,
19,18,Dizzy Dismukes,35,P,-0.1,11,17,16,1,2,0,0,0,1,0,1,.125,.176,.125,.301,-18,.153,-13,2,/13,
20,19,Hulon Stamps,26,P,-0.1,5,6,6,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-106,0,/1,
21,,Team Totals,,,1.7,76,2736,2539,331,635,95,37,19,305,61,197,.250,.304,.339,.643,73,.299,74,861,,
22,,Non-Pitcher Totals,,,1.4,,2395,2222,302,569,88,36,14,275,58,173,.256,.310,.347,.657,76,.305,77,771,,
23,,Pitcher Totals,,,0.4,,341,317,29,66,7,1,5,30,3,24,.208,.264,.284,.548,47,.257,49,90,,
