Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Bats
Willie Bobo*,27,1B,4.5,87,378,323,74,116,23,9,14,84,14,55,0.359,0.452,0.616,1.068,184.0,0.471,177.0,199,Left
Dewey Creacy,25,3B,3.4,83,360,331,71,107,21,6,14,72,17,29,0.323,0.378,0.55,0.928,146.0,0.414,140.0,182,Right
Branch Russell*,29,RF,2.7,81,329,278,62,85,13,11,8,63,8,51,0.306,0.413,0.518,0.931,149.0,0.416,145.0,144,Left
Wilson Redus,20,LF,3.5,77,296,258,60,96,17,6,12,62,5,38,0.372,0.453,0.624,1.077,186.0,0.472,179.0,161,Right
Cool Papa Bell#,22,CF,3.6,87,410,380,94,132,33,6,10,58,30,30,0.347,0.395,0.545,0.94,150.0,0.425,145.0,207,Both
Willie Wells,20,SS,3.2,87,391,338,83,98,19,7,8,53,18,53,0.29,0.386,0.459,0.845,126.0,0.388,126.0,155,Right
Mitchell Murray,29,C,2.0,61,196,176,42,66,10,0,3,38,6,20,0.375,0.439,0.483,0.922,147.0,0.421,149.0,85,Right
John Barnes*,22,C,1.0,58,192,179,28,56,12,0,2,32,2,13,0.313,0.359,0.413,0.773,107.0,0.353,108.0,74,Left
Charlie Watts,,2B,1.0,54,141,124,18,37,7,4,2,23,2,17,0.298,0.383,0.468,0.851,127.0,0.383,126.0,58,Right
Elmer Wilson,30,2B,0.5,51,136,131,16,34,8,3,5,22,1,5,0.26,0.287,0.481,0.768,103.0,0.333,96.0,63,Right
Candy Jim Taylor,41,3B,0.1,36,47,43,3,10,0,0,2,11,4,4,0.233,0.298,0.372,0.67,79.0,0.314,79.0,16,Right
