Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos.1,Awards
1,Frank Duncan,25,C,1.0,57,193,166,32,47,9,1,4,22,3,25,.283,.383,.422,.805,108,.373,110,70,2,2/3,
2,Lemuel Hawkins*,30,1B,0.6,72,278,246,37,66,8,4,0,31,5,29,.268,.353,.333,.686,78,.327,82,82,3,*3/45,
3,Dink Mothell#,28,2B,1.9,76,296,267,51,79,14,6,1,34,13,21,.296,.365,.404,.769,98,.361,100,108,8,457/8,
4,Newt Allen,25,SS,1.6,78,334,306,52,76,11,6,1,40,20,26,.248,.311,.333,.645,66,.308,66,102,2,*64/5,
5,Newt Joseph,29,3B,0.9,64,243,210,40,62,12,5,4,47,8,32,.295,.391,.457,.848,118,.390,119,96,1,*5/6,
6,Wade Johnston*,28,LF,0.4,64,273,247,39,76,11,3,3,35,16,22,.308,.374,.413,.787,103,.371,104,102,4,*7/19,
7,Cristóbal Torriente*,32,CF,3.0,77,323,276,58,97,17,6,5,65,18,37,.351,.446,.511,.957,146,.443,149,141,10,*89,
8,Hurley McNair*,37,RF,1.0,66,272,232,41,69,15,4,0,29,18,38,.297,.401,.397,.797,106,.384,112,92,2,*9/8,
9,Tom Young*,23,C,0.7,36,111,98,18,31,4,3,1,12,1,12,.316,.396,.449,.845,118,.388,119,44,1,2,
10,Dobie Moore,30,SS,1.2,17,72,60,14,24,4,3,0,18,7,11,.400,.500,.567,1.067,175,.494,178,34,1,6/4,
11,Grady Orange,26,2B,-0.1,17,57,55,7,15,2,0,0,7,0,2,.273,.298,.309,.607,57,.286,55,17,0,4/5,
12,Will Owens,24,SS,0.1,2,5,4,0,1,0,0,0,0,0,1,.250,.400,.250,.650,71,.339,89,1,0,/6,
13,Clem Turner,20,PR,0.0,2,3,3,0,1,0,0,0,0,0,0,.333,.333,.333,.667,73,.313,72,1,0,/3,
14,Harry Vaughn#,,OF,0.1,1,1,1,1,1,1,0,0,1,0,0,1.000,1.000,2.000,3.000,657,1.283,671,2,0,/8,
15,Bullet Rogan,32,P,1.0,53,163,136,30,39,7,3,1,18,7,23,.287,.405,.404,.809,109,.385,115,55,4,138/749,
16,William Bell,28,P,0.3,29,80,75,8,19,5,2,0,14,1,5,.253,.300,.373,.673,73,.306,69,28,0,1/89,
17,Chet Brewer#,19,P,0.0,18,52,49,8,11,1,0,0,4,1,2,.224,.269,.245,.514,34,.248,33,12,1,1,
18,Cliff Bell,29,P,-0.2,12,30,29,1,5,0,0,0,2,0,0,.172,.200,.172,.372,-3,.183,-8,5,1,1,
19,Nelson Dean,27,P,-0.2,15,26,24,1,2,2,0,0,3,0,2,.083,.154,.167,.321,-17,.157,-23,4,0,1,
20,José Méndez,41,P,0.1,7,10,6,3,0,0,0,0,0,1,4,.000,.400,.000,.400,11,.312,66,0,0,/1,
21,Randolph Prim,29,P,-0.1,3,8,7,0,0,0,0,0,0,0,1,.000,.125,.000,.125,-65,.095,-61,0,0,/1,
22,Bob Saunders,24,P,0.0,3,5,5,1,1,0,0,0,1,0,0,.200,.200,.200,.400,4,.188,-4,1,0,/1,
23,Percy Miller*,29,P,0.0,2,1,0,0,0,0,0,0,0,0,1,,1.000,,,,.759,350,0,0,/1,
