Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos.1,Awards
1,James Bray,28,C,1.6,56,160,135,18,44,6,4,2,28,2,25,.326,.431,.474,.905,145,.416,149,64,0,2/7,
2,Jim Brown#,35,1B,1.2,76,308,281,50,84,16,5,0,35,12,27,.299,.360,.391,.752,104,.352,105,110,0,32,
3,Charley Williams,30,2B,-0.3,89,334,310,21,73,10,0,2,39,7,24,.235,.290,.287,.578,57,.274,57,89,0,*4/65,
4,Pythias Russ,23,SS,3.0,86,347,323,52,105,30,3,4,58,16,24,.325,.372,.474,.845,127,.390,127,153,0,62/34,
5,Dave Malarcher#,32,3B,1.1,88,360,307,55,77,7,2,1,21,17,53,.251,.361,.296,.658,80,.326,87,91,0,*5/4,
6,Steel Arm Davis*,31,LF,3.8,84,350,323,60,128,21,9,3,68,14,24,.396,.443,.545,.988,166,.449,168,176,3,*79/84,
7,George Sweatt,33,CF,1.0,88,340,300,45,79,20,5,2,44,9,40,.263,.350,.383,.733,98,.343,100,115,0,*839/47,
8,John Hines,26,RF,0.0,55,216,199,26,51,10,1,1,29,12,17,.256,.315,.332,.646,75,.310,76,66,0,9/28,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
9,Sanford Jackson,27,SS,-0.4,79,314,299,39,78,6,1,0,16,6,15,.261,.296,.288,.584,59,.275,58,86,0,68/59,
10,Nat Rogers*,33,,0.3,15,58,53,7,17,3,2,0,9,0,5,.321,.379,.453,.832,124,.381,125,24,0,7/9,
11,Larry Brown#,25,C,0.3,13,35,32,3,11,2,0,0,3,0,3,.344,.400,.406,.806,119,.378,123,13,0,2,
12,Lou Dials*,23,,0.0,7,21,19,1,5,1,0,0,1,0,2,.263,.333,.316,.649,77,.310,79,6,0,/97,
13,Alex Radcliff,21,2B,0.1,2,5,2,2,1,0,0,0,0,0,3,.500,.800,.500,1.300,260,.629,283,1,0,/4,
14,Earl Gurley*,28,,0.1,1,4,4,1,2,1,0,0,1,0,0,.500,.500,.750,1.250,234,.560,240,3,0,/9,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
15,Bill Foster#,23,P,0.1,39,90,86,11,20,1,1,0,7,0,4,.233,.267,.267,.534,45,.252,42,23,0,1/79,
16,Eddie Miller,26,P,-0.4,33,77,73,8,12,2,1,0,3,2,4,.164,.208,.219,.427,16,.205,11,16,0,13/45679,
17,Willie Powell*,23,P,0.0,20,60,57,6,12,1,0,0,0,0,3,.211,.250,.228,.478,30,.230,28,13,0,1,
18,George Harney,37,P,-0.4,29,57,56,2,7,2,0,0,1,0,1,.125,.140,.161,.301,-19,.141,-29,9,0,1/29,
19,Webster McDonald*,27,P,-0.1,20,51,48,2,9,0,0,0,3,0,3,.188,.235,.188,.423,16,.208,14,9,0,1,
20,Rube Curry,28,P,-0.2,18,47,44,5,6,2,0,0,4,0,3,.136,.191,.182,.373,2,.182,-2,8,0,1/7,
,Team Totals,,,10.7,89,3234,2951,414,821,141,34,15,370,97,280,.278,.341,.364,.706,91,.332,93,1075,3,,
,Non-Pitcher Totals,,,11.6,,2852,2587,380,755,133,32,15,352,95,262,.292,.358,.385,.743,101,.348,103,997,3,,
,Pitcher Totals,,,-1.0,,382,364,34,66,8,2,0,18,2,18,.181,.220,.214,.434,18,.208,14,78,0,,
