Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos.1,Awards
1,Larry Brown#,25,C,0.1,66,190,170,19,41,5,2,0,14,3,20,.241,.321,.294,.615,68,.294,71,50,0,2/9,
2,J.C. McHaskell,24,1B,-2.0,83,329,310,26,62,9,3,1,19,4,19,.200,.246,.258,.504,37,.237,34,80,0,*3/75,
3,Charles Wesley,30,2B,-1.4,59,177,172,14,31,3,1,0,4,1,5,.180,.203,.209,.413,12,.193,6,36,0,4/978,
4,Bob Miller,,SS,1.3,76,289,258,34,70,15,6,0,35,5,31,.271,.349,.376,.725,96,.338,98,97,0,64/5,
5,Bobby Robinson,23,3B,0.1,64,244,222,22,56,5,1,0,15,4,22,.252,.320,.284,.603,65,.289,67,63,0,5/64,
6,Nat Rogers*,33,LF,0.5,52,203,191,28,55,7,4,3,26,3,12,.288,.330,.414,.744,100,.339,99,79,0,79/8,
7,Pinky Ward,,CF,0.2,72,290,254,29,59,10,5,1,29,10,35,.232,.328,.323,.650,77,.312,80,82,1,*8/749,
8,Saul Davis,26,RF,-1.4,87,323,319,31,68,10,3,4,26,8,4,.213,.223,.301,.524,41,.239,33,96,0,69/571,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
9,Eppie Hamilton,27,C,-0.2,58,128,123,9,27,9,2,0,7,2,5,.220,.250,.325,.575,55,.263,49,40,0,2/3,
10,Kid Lowe,26,IF,0.2,42,127,120,12,33,2,2,1,10,2,7,.275,.315,.350,.665,80,.307,79,42,0,45/97,
11,Perry Hall,29,UT,0.8,20,71,69,7,28,7,0,1,14,0,2,.406,.423,.551,.973,162,.441,164,38,0,/958712,
12,Wesley Hicks,,,0.2,20,69,57,0,16,0,0,0,6,1,12,.281,.406,.281,.686,89,.342,102,16,0,7,
13,Cowan Hyde,20,2B,-0.5,23,65,63,6,12,2,0,0,6,2,1,.190,.215,.222,.438,19,.210,14,14,1,9/748,
14,A. Miller,,,-0.2,7,21,21,3,5,0,0,0,0,0,0,.238,.238,.238,.476,29,.222,23,5,0,/79,
15,Johnnie Oden,24,3B,-0.3,7,20,20,0,2,0,0,0,2,0,0,.100,.100,.100,.200,-46,.093,-59,2,0,/5,
16,Joe Scott,20,IF,0.0,5,18,17,0,4,0,1,0,2,0,1,.235,.278,.353,.631,70,.288,65,6,0,/34,
17,Smith,,,-0.3,5,18,17,1,2,0,0,0,2,0,1,.118,.167,.118,.284,-22,.145,-26,2,0,/79,
18,Jim Starks,21,,0.0,5,16,14,0,4,0,0,0,0,0,2,.286,.375,.286,.661,81,.325,90,4,0,/87,
19,Leo Birdine,32,,-0.1,4,9,9,0,2,0,0,0,0,0,0,.222,.222,.222,.444,21,.207,14,2,0,/9,
20,Geechie Meredith,27,2B,0.0,2,7,7,0,2,0,0,0,0,0,0,.286,.286,.286,.571,55,.266,52,2,0,/4,
21,B. Brown,,,-0.1,2,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-118,0,0,/7,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
22,Bill Pryor,,P,-0.4,42,96,89,7,14,1,0,2,5,1,7,.157,.219,.236,.455,23,.217,21,21,0,1/79,
23,Cliff Bell,30,P,-0.4,37,90,87,4,14,3,1,0,13,2,3,.161,.189,.218,.407,10,.192,3,19,0,1/789,
24,Carl Glass*,29,P,0.1,43,79,75,7,19,3,1,0,6,1,4,.253,.291,.320,.611,65,.283,63,24,0,1/98,
25,Jute Bell,27,P,-0.5,25,59,58,3,8,0,1,0,1,2,1,.138,.153,.172,.325,-12,.155,-22,10,0,1/798,
26,Hulon Stamps,28,P,-0.1,20,41,39,1,7,1,0,0,1,0,2,.179,.220,.205,.425,16,.204,12,8,0,1/87,
27,Steel Arm Tyler,21,P,-0.3,23,38,35,1,3,0,0,0,0,2,3,.086,.158,.086,.244,-32,.138,-35,3,0,1/9,
28,Tom Jackson,,P,-0.2,8,12,12,0,1,0,0,0,0,0,0,.083,.083,.083,.167,-55,.078,-69,1,0,/187,
29,Cornelius Augustus,21,P,-0.1,1,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-116,0,0,/1,
30,Howard,,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-108,0,0,/1,
,Team Totals,,,-4.7,89,3037,2836,264,645,92,33,13,243,53,199,.227,.279,.297,.575,56,.270,55,842,2,,
,Non-Pitcher Totals,,,-3.1,,2618,2437,241,579,84,30,11,217,45,179,.238,.290,.310,.601,63,.282,62,756,2,,
,Pitcher Totals,,,-1.7,,419,399,23,66,8,3,2,26,8,20,.165,.205,.216,.421,14,.201,9,86,0,,
