Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos.1,Awards
1,Mitchell Murray,31,C,0.8,65,213,189,22,49,10,1,3,29,3,24,.259,.343,.370,.713,93,.333,95,70,0,2,
2,Willie Bobo*,29,1B,1.8,93,358,308,63,89,16,6,4,45,8,49,.289,.388,.419,.807,119,.375,122,129,1,*3/49,
3,John Henry Russell,29,2B,2.1,86,312,292,48,87,10,5,11,45,7,20,.298,.343,.479,.822,120,.370,119,140,0,*4/5,
4,Willie Wells,22,SS,6.9,96,418,361,90,131,21,5,29,108,9,56,.363,.450,.690,1.140,204,.499,201,249,1,*6/5,
5,Dewey Creacy,27,3B,3.1,92,368,348,63,110,12,12,13,84,4,20,.316,.353,.532,.885,137,.393,134,185,0,*5/467,
6,Wilson Redus,22,LF,4.2,96,390,373,66,137,19,10,18,77,2,17,.367,.395,.617,1.011,170,.448,169,230,0,*79/85,
7,Cool Papa Bell#,24,CF,2.1,97,450,419,90,131,23,5,5,39,21,31,.313,.360,.427,.787,112,.367,113,179,0,*8/3,
8,Branch Russell*,31,RF,2.9,96,429,391,77,125,17,9,11,57,5,38,.320,.380,.494,.874,135,.394,135,193,0,*9/546,
9,Henry Williams,32,C,0.2,69,221,212,27,50,8,5,5,26,4,9,.236,.267,.392,.658,76,.296,71,83,0,2/4769,
10,Mule Suttles,26,1B,2.6,36,116,98,31,44,9,4,9,37,1,18,.449,.534,.898,1.432,281,.609,272,88,0,39/74,
11,Candy Jim Taylor,43,3B,0.6,34,55,50,4,21,4,0,0,10,1,5,.420,.473,.500,.973,164,.448,169,25,0,/517,
12,Charles Zomphier,21,IF,0.1,10,19,18,2,6,0,0,0,0,0,1,.333,.368,.333,.702,91,.333,95,6,0,/745,
13,Milton Smith#,20,C,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,/2,
14,Ted Trent,23,P,-0.3,33,79,71,5,8,1,0,0,1,0,8,.113,.203,.127,.329,-9,.174,-7,9,0,1,
15,Roosevelt Davis,22,P,0.1,34,58,57,6,13,1,1,0,3,0,1,.228,.241,.281,.522,41,.240,35,16,0,1,
16,Luther McDonald,21,P,-0.1,27,53,52,3,10,2,0,0,3,0,1,.192,.208,.231,.438,19,.204,12,12,0,1,
17,John Williams,22,P,0.6,23,48,46,9,13,0,2,3,11,0,2,.283,.313,.565,.878,133,.385,128,26,0,1/7,
18,Frank Stevens,,P,-0.2,21,41,40,4,8,1,0,0,1,0,1,.200,.220,.225,.445,21,.209,15,9,0,1/789,
19,Earl Harrison,27,P,0.1,21,38,35,5,8,0,1,0,5,0,2,.229,.289,.286,.575,56,.274,57,10,1,1,
20,George Brown,,P,0.1,11,10,9,1,2,0,0,1,2,0,0,.222,.300,.556,.856,127,.379,123,5,1,1,
21,Logan Hensley,27,P,-0.2,6,10,10,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-118,0,0,/1,
22,Tom Jackson,,P,-0.1,9,8,8,1,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-119,0,0,/1,
23,Willie Spearman,27,P,0.0,1,4,4,1,1,0,0,0,1,0,0,.250,.250,.250,.500,36,.233,30,1,0,/1,
24,Dizzy Dismukes,37,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-108,0,0,/1,
25,Edwards,,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,/1,
