Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Willie Wells,22,SS,6.9,96,418,361,90,131,21,5,29,108,9,56,0.363,0.45,0.69,1.14,204.0,0.499,201.0,249,1,Right
Dewey Creacy,27,3B,3.1,92,368,348,63,110,12,12,13,84,4,20,0.316,0.353,0.532,0.885,137.0,0.393,134.0,185,0,Right
Wilson Redus,22,LF,4.2,96,390,373,66,137,19,10,18,77,2,17,0.367,0.395,0.617,1.011,170.0,0.448,169.0,230,0,Right
Branch Russell*,31,RF,2.9,96,429,391,77,125,17,9,11,57,5,38,0.32,0.38,0.494,0.874,135.0,0.394,135.0,193,0,Left
Willie Bobo*,29,1B,1.8,93,358,308,63,89,16,6,4,45,8,49,0.289,0.388,0.419,0.807,119.0,0.375,122.0,129,1,Left
John Henry Russell,29,2B,2.1,86,312,292,48,87,10,5,11,45,7,20,0.298,0.343,0.479,0.822,120.0,0.37,119.0,140,0,Right
Cool Papa Bell#,24,CF,2.1,97,450,419,90,131,23,5,5,39,21,31,0.313,0.36,0.427,0.787,112.0,0.367,113.0,179,0,Both
Mule Suttles,26,1B,2.6,36,116,98,31,44,9,4,9,37,1,18,0.449,0.534,0.898,1.432,281.0,0.609,272.0,88,0,Right
Mitchell Murray,31,C,0.8,65,213,189,22,49,10,1,3,29,3,24,0.259,0.343,0.37,0.713,93.0,0.333,95.0,70,0,Right
Henry Williams,32,C,0.2,69,221,212,27,50,8,5,5,26,4,9,0.236,0.267,0.392,0.658,76.0,0.296,71.0,83,0,Right
John Williams,22,P,0.6,23,48,46,9,13,0,2,3,11,0,2,0.283,0.313,0.565,0.878,133.0,0.385,128.0,26,0,Right
Candy Jim Taylor,43,3B,0.6,34,55,50,4,21,4,0,0,10,1,5,0.42,0.473,0.5,0.973,164.0,0.448,169.0,25,0,Right
Earl Harrison,27,P,0.1,21,38,35,5,8,0,1,0,5,0,2,0.229,0.289,0.286,0.575,56.0,0.274,57.0,10,1,Right
Luther McDonald,21,P,-0.1,27,53,52,3,10,2,0,0,3,0,1,0.192,0.208,0.231,0.438,19.0,0.204,12.0,12,0,Right
Roosevelt Davis,22,P,0.1,34,58,57,6,13,1,1,0,3,0,1,0.228,0.241,0.281,0.522,41.0,0.24,35.0,16,0,Right
George Brown,,P,0.1,11,10,9,1,2,0,0,1,2,0,0,0.222,0.3,0.556,0.856,127.0,0.379,123.0,5,1,Right
Ted Trent,23,P,-0.3,33,79,71,5,8,1,0,0,1,0,8,0.113,0.203,0.127,0.329,-9.0,0.174,-7.0,9,0,Right
Frank Stevens,,P,-0.2,21,41,40,4,8,1,0,0,1,0,1,0.2,0.22,0.225,0.445,21.0,0.209,15.0,9,0,Right
Willie Spearman,27,P,0.0,1,4,4,1,1,0,0,0,1,0,0,0.25,0.25,0.25,0.5,36.0,0.233,30.0,1,0,Right
Charles Zomphier,21,IF,0.1,10,19,18,2,6,0,0,0,0,0,1,0.333,0.368,0.333,0.702,91.0,0.333,95.0,6,0,Right
Milton Smith#,20,C,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Both
Logan Hensley,27,P,-0.2,6,10,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-118.0,0,0,Right
Tom Jackson,,P,-0.1,9,8,8,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-119.0,0,0,Right
Dizzy Dismukes,37,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-108.0,0,0,Right
Edwards,,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Right
