Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP
Roy Parnell,24,CF,1.7,79,318,296,45,93,19,7,7,46,9,18,0.314,0.362,0.497,0.858,132,0.387,130,147,4
George McAllister*,29,1B,0.9,86,341,309,47,87,9,6,4,36,5,30,0.282,0.349,0.388,0.737,101,0.341,102,120,2
Geechie Meredith,28,2B,0.5,82,329,308,46,94,12,4,1,34,15,16,0.305,0.35,0.38,0.729,99,0.343,100,117,5
Ray Sheppard,25,3B,1.3,57,207,198,26,55,12,5,3,25,6,4,0.278,0.309,0.434,0.744,101,0.337,97,86,5
Chuffie Alexander,26,LF,0.6,66,239,232,28,62,11,5,1,21,6,6,0.267,0.289,0.371,0.659,79,0.301,75,86,1
Bill Perkins,22,C,-0.3,79,264,248,32,57,4,7,2,20,2,13,0.23,0.277,0.327,0.603,64,0.278,62,81,3
Dewitt Owens,27,SS,-1.2,80,267,257,18,58,9,1,0,16,6,10,0.226,0.255,0.268,0.523,43,0.245,41,69,0
Charles Wesley,31,UT,0.0,46,133,131,16,35,4,1,0,14,1,2,0.267,0.278,0.313,0.591,61,0.272,58,41,0
Anthony Cooper,23,RF,-0.6,39,131,127,9,27,4,0,1,11,2,4,0.213,0.237,0.268,0.504,37,0.234,34,34,0
Poindexter Williams,30,C,0.0,22,49,47,1,12,2,0,0,11,0,2,0.255,0.286,0.298,0.584,59,0.274,59,14,0
Johnnie Oden,25,3B,-0.5,39,137,129,11,28,1,2,0,9,3,7,0.217,0.263,0.256,0.519,42,0.246,42,33,1
Sandy Thompson*,33,OF,0.3,16,58,56,5,18,4,0,0,7,1,2,0.321,0.345,0.393,0.738,101,0.339,100,22,0
Ruben Jones*,34,OF,0.3,14,50,47,8,15,3,0,1,7,1,2,0.319,0.36,0.447,0.807,119,0.368,119,21,1
Leo Birdine,33,P,-0.6,42,102,99,10,19,1,2,0,7,0,1,0.192,0.216,0.242,0.458,25,0.214,21,24,2
Satchel Paige,21,P,0.6,33,66,66,10,22,0,3,0,6,1,0,0.333,0.333,0.424,0.758,105,0.341,102,28,0
Robert Poindexter,30,P,0.6,26,47,45,11,17,3,0,0,5,2,2,0.378,0.404,0.444,0.849,131,0.394,133,20,0
Harry Salmon*,33,P,-0.2,31,60,59,4,11,1,1,0,4,0,1,0.186,0.2,0.237,0.437,19,0.201,13,14,0
Jim Willis,,P,0.2,7,17,15,5,5,1,0,0,3,0,1,0.333,0.412,0.4,0.812,122,0.385,128,6,1
Perry Hall,30,UT,-0.2,15,28,28,2,7,0,0,0,3,2,0,0.25,0.25,0.25,0.5,37,0.241,33,7,0
Jim Jeffries*,35,P,-0.3,20,36,36,4,7,1,0,0,3,0,0,0.194,0.194,0.222,0.417,13,0.192,7,8,0
George Nash,21,P,-0.3,18,39,39,2,4,1,0,0,2,0,0,0.103,0.103,0.128,0.231,-37,0.105,-47,5,0
Red Haley*,27,MI,-0.1,9,22,20,2,5,0,2,0,1,0,2,0.25,0.318,0.45,0.768,108,0.344,102,9,0
A. Mullen,,OF,-0.1,6,12,12,0,3,0,0,0,1,0,0,0.25,0.25,0.25,0.5,37,0.233,33,3,0
Lou Dials*,24,OF,-0.1,4,12,10,1,1,0,1,0,1,1,2,0.1,0.25,0.3,0.55,50,0.269,50,3,0
Johnson,,OF,-0.1,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-112,0,0
Lewis Means,29,C,-0.1,3,8,7,0,1,0,0,0,0,1,1,0.143,0.25,0.143,0.393,10,0.222,18,1,0
Giles,,OF,-0.1,2,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-110,0,0
Leon Morgan,22,OF,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-112,0,0
Sam Streeter,27,P,-0.1,2,6,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-113,0,0
Owen Smaulding,31,P,-0.1,3,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-114,0,0
Hayes,,P,0.0,2,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-108,0,0
