,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos.1,Awards
0,1,Aurelio Cortés,24,C,0.1,34,129,117,16,28,2,1,1,18,2,11,.239,.310,.299,.609,67,.290,70,35,1,2/36,
1,2,Felipe Sierra,26,1B,-0.2,47,191,172,27,44,8,0,0,13,1,17,.256,.330,.302,.632,74,.303,78,52,2,*3/57,
2,3,Bienvenido Jiménez,38,2B,0.7,47,214,178,34,50,7,3,0,13,4,26,.281,.402,.354,.756,108,.364,116,63,10,*4,
3,4,Francisco Correa,23,SS,0.2,46,188,179,13,51,11,2,0,22,1,9,.285,.319,.369,.688,87,.317,86,66,0,*6/5,
4,5,Ramón Martínez,25,3B,-0.9,31,108,104,7,17,0,0,0,7,0,4,.163,.194,.163,.358,-1,.174,-4,17,0,5/6,
5,6,Rogelio Alonso,22,LF,-0.6,42,143,135,10,26,7,0,0,11,2,6,.193,.238,.244,.482,32,.229,31,33,2,7/19,
6,7,Cando López,22,CF,0.1,47,199,186,20,55,6,3,1,25,3,12,.296,.342,.376,.718,96,.332,96,70,1,*8/6,
7,8,Esteban Montalvo*,32,RF,-1.7,47,187,169,11,23,3,3,0,9,2,16,.136,.219,.189,.409,12,.202,15,32,2,*9/17,
8,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
9,9,Luis Entenza,24,UT,-0.3,43,138,122,16,26,4,1,0,10,1,16,.213,.304,.262,.567,56,.276,61,32,0,25/76,
10,10,Conrado Rodríguez,21,UT,-0.5,15,37,33,4,5,0,0,0,2,0,4,.152,.243,.152,.395,10,.206,16,5,0,/795,
11,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Pos,Awards
12,11,Heliodoro Díaz,23,P,0.0,20,59,56,1,11,0,0,0,3,0,3,.196,.237,.196,.434,20,.211,20,11,0,1/3,
13,12,Basilio Rosell,26,P,0.3,18,54,52,3,14,3,0,0,4,1,2,.269,.296,.327,.623,70,.289,69,17,0,1,
14,13,Cocaína García*,22,P,-0.3,16,41,41,5,8,0,0,0,2,0,0,.195,.195,.195,.390,7,.182,1,8,0,1/78,
15,14,Pablo Martínez,30,P,-0.1,6,13,11,2,0,0,0,0,0,0,2,.000,.154,.000,.154,-55,.114,-42,0,0,/1,
16,,Team Totals,,,-3.2,47,1701,1555,169,358,51,13,2,139,17,128,.230,.296,.284,.580,59,.277,61,441,18,,
17,,Non-Pitcher Totals,,,-3.1,,1534,1395,158,325,48,13,2,130,16,121,.233,.302,.290,.593,62,.283,65,405,18,,
18,,Pitcher Totals,,,-0.1,,167,160,11,33,3,0,0,9,1,7,.206,.240,.225,.465,27,.222,26,36,0,,
