Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP
Dan Thomas,,2B,1.3,69,273,258,42,81,7,4,2,39,10,12,0.314,0.352,0.395,0.747,104.0,0.347,104.0,102,3
Larry Brown#,26,C,1.2,76,287,249,35,66,13,4,3,36,0,34,0.265,0.362,0.386,0.748,104.0,0.351,107.0,96,4
J.C. McHaskell,25,1B,-0.7,77,291,272,34,65,8,4,2,35,2,16,0.239,0.289,0.32,0.609,66.0,0.283,65.0,87,3
Pinky Ward,,CF,0.9,69,264,225,42,65,13,3,2,34,10,33,0.289,0.394,0.4,0.794,117.0,0.376,122.0,90,6
Heavy Johnson,33,RF,0.3,49,187,175,22,58,11,2,1,30,0,11,0.331,0.374,0.434,0.809,120.0,0.372,120.0,76,1
Bobby Robinson,24,3B,0.1,54,199,181,26,46,4,3,0,21,6,13,0.254,0.322,0.309,0.631,73.0,0.301,76.0,56,5
Bob Miller,,2B,-0.2,57,195,172,21,37,4,3,1,16,2,20,0.215,0.308,0.291,0.598,64.0,0.287,68.0,50,3
Wesley Hicks,,LF,0.8,46,138,119,16,32,3,2,1,15,1,19,0.269,0.37,0.353,0.723,98.0,0.343,103.0,42,0
Kid Lowe,27,3B,1.0,49,128,117,24,45,6,2,0,15,3,10,0.385,0.438,0.47,0.908,148.0,0.418,150.0,55,1
Nat Rogers*,34,OF,1.1,24,101,92,13,33,5,2,1,13,1,7,0.359,0.416,0.489,0.905,146.0,0.413,147.0,45,2
Henry Harris,27,SS,0.1,56,218,191,34,38,3,2,0,11,1,26,0.199,0.298,0.236,0.534,47.0,0.265,54.0,45,1
Carl Glass*,30,P,0.1,49,114,109,7,25,3,2,1,11,1,4,0.229,0.263,0.321,0.584,59.0,0.268,56.0,35,1
Earl Gurley*,29,OF,0.0,30,86,76,11,19,4,1,0,10,2,9,0.25,0.337,0.329,0.666,82.0,0.317,86.0,25,1
Cliff Bell,31,P,0.1,20,57,54,6,10,1,1,0,6,0,2,0.185,0.228,0.241,0.469,28.0,0.222,26.0,13,1
Jute Bell,28,P,0.2,13,37,37,2,10,2,0,0,6,0,0,0.27,0.27,0.324,0.595,62.0,0.272,58.0,12,0
Clark,,OF,0.3,12,45,38,5,9,2,0,0,5,4,7,0.237,0.356,0.289,0.645,78.0,0.328,86.0,11,0
Saul Davis,27,UT,-0.7,11,38,38,2,7,0,0,0,3,1,0,0.184,0.184,0.184,0.368,1.0,0.173,-5.0,7,0
Steel Arm Tyler,22,P,0.0,14,33,32,2,6,0,0,0,1,0,1,0.188,0.212,0.188,0.4,10.0,0.192,8.0,6,0
Clarence White,27,P,-0.1,15,21,20,1,2,0,0,0,1,0,1,0.1,0.143,0.1,0.243,-33.0,0.124,-35.0,2,0
John Kemp,,OF,-0.1,7,22,20,0,7,0,0,0,0,0,2,0.35,0.409,0.35,0.759,109.0,0.364,115.0,7,0
Eppie Hamilton,28,C,-0.1,6,12,11,1,1,0,0,0,0,0,1,0.091,0.167,0.091,0.258,-28.0,0.139,-26.0,1,0
Harry Kenyon,34,OF,0.0,4,6,5,0,1,0,0,0,0,0,1,0.2,0.333,0.2,0.533,49.0,0.279,61.0,1,0
Sam Jackson,,P,0.0,5,6,6,0,1,0,0,0,0,0,0,0.167,0.167,0.167,0.333,-9.0,0.155,-16.0,1,0
Hulon Stamps,29,P,0.0,1,3,2,0,0,0,0,0,0,0,1,0.0,0.333,0.0,0.333,-2.0,0.247,41.0,0,0
