Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Dan Thomas,,2B,1.3,69,273,258,42,81,7,4,2,39,10,12,0.314,0.352,0.395,0.747,104.0,0.347,104.0,102,3,Right
Larry Brown#,26,C,1.2,76,287,249,35,66,13,4,3,36,0,34,0.265,0.362,0.386,0.748,104.0,0.351,107.0,96,4,Both
J.C. McHaskell,25,1B,-0.7,77,291,272,34,65,8,4,2,35,2,16,0.239,0.289,0.32,0.609,66.0,0.283,65.0,87,3,Right
Pinky Ward,,CF,0.9,69,264,225,42,65,13,3,2,34,10,33,0.289,0.394,0.4,0.794,117.0,0.376,122.0,90,6,Right
Heavy Johnson,33,RF,0.3,49,187,175,22,58,11,2,1,30,0,11,0.331,0.374,0.434,0.809,120.0,0.372,120.0,76,1,Right
Bobby Robinson,24,3B,0.1,54,199,181,26,46,4,3,0,21,6,13,0.254,0.322,0.309,0.631,73.0,0.301,76.0,56,5,Right
Bob Miller,,2B,-0.2,57,195,172,21,37,4,3,1,16,2,20,0.215,0.308,0.291,0.598,64.0,0.287,68.0,50,3,Right
Wesley Hicks,,LF,0.8,46,138,119,16,32,3,2,1,15,1,19,0.269,0.37,0.353,0.723,98.0,0.343,103.0,42,0,Right
Kid Lowe,27,3B,1.0,49,128,117,24,45,6,2,0,15,3,10,0.385,0.438,0.47,0.908,148.0,0.418,150.0,55,1,Right
Nat Rogers*,34,OF,1.1,24,101,92,13,33,5,2,1,13,1,7,0.359,0.416,0.489,0.905,146.0,0.413,147.0,45,2,Left
Henry Harris,27,SS,0.1,56,218,191,34,38,3,2,0,11,1,26,0.199,0.298,0.236,0.534,47.0,0.265,54.0,45,1,Right
Carl Glass*,30,P,0.1,49,114,109,7,25,3,2,1,11,1,4,0.229,0.263,0.321,0.584,59.0,0.268,56.0,35,1,Left
Earl Gurley*,29,OF,0.0,30,86,76,11,19,4,1,0,10,2,9,0.25,0.337,0.329,0.666,82.0,0.317,86.0,25,1,Left
