Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Clarence Smith,,RF,2.0,68,273,264,39,96,10,7,6,54,16,9,0.364,0.385,0.523,0.907,134.0,0.411,134.0,138,0,Right
Poindexter Williams,31,C,1.0,64,238,216,29,61,9,2,6,45,1,22,0.282,0.349,0.426,0.775,101.0,0.352,101.0,92,0,Right
Dave Thomas*,24,1B,0.4,80,310,283,46,76,13,5,6,42,2,26,0.269,0.332,0.413,0.746,93.0,0.338,92.0,117,1,Left
Geechie Meredith,29,2B,1.3,80,343,306,63,86,13,4,5,38,5,37,0.281,0.359,0.399,0.757,97.0,0.349,99.0,122,0,Right
George McAllister*,30,1B,1.0,80,320,285,51,86,11,2,3,34,8,34,0.302,0.378,0.386,0.764,100.0,0.356,103.0,110,1,Left
Jimsey Roussell,28,CF,-0.4,46,168,159,28,40,5,1,2,24,3,9,0.252,0.292,0.333,0.625,62.0,0.287,60.0,53,0,Right
Ray Sheppard,26,SS,0.9,31,125,116,14,39,9,3,0,15,4,9,0.336,0.384,0.466,0.85,120.0,0.385,121.0,54,0,Right
Anthony Cooper,24,SS,0.1,38,130,127,16,38,3,1,1,15,4,3,0.299,0.315,0.362,0.678,76.0,0.31,74.0,46,0,Right
Johnnie Oden,26,3B,-0.1,32,121,113,14,29,1,0,2,13,0,8,0.257,0.306,0.319,0.624,63.0,0.293,62.0,36,0,Right
Eppie Hamilton,29,C,0.2,18,53,52,8,16,1,1,2,13,0,1,0.308,0.321,0.481,0.802,106.0,0.355,102.0,25,0,Right
Porter Dallas,25,3B,0.1,42,155,148,10,44,5,1,0,12,2,7,0.297,0.329,0.345,0.674,76.0,0.311,75.0,51,0,Right
Leo Birdine,34,LF,0.2,58,187,182,19,49,6,3,2,10,2,4,0.269,0.289,0.368,0.657,70.0,0.296,65.0,67,1,Right
Harry Salmon*,34,P,-0.6,47,103,101,13,19,1,1,0,7,1,2,0.188,0.204,0.218,0.422,10.0,0.195,1.0,22,0,Left
Satchel Paige,22,P,-0.4,34,100,98,8,16,1,1,1,6,0,2,0.163,0.18,0.224,0.404,5.0,0.185,-6.0,22,0,Right
Jute Bell,29,P,-0.3,23,68,66,6,12,1,0,0,5,1,2,0.182,0.206,0.197,0.403,6.0,0.19,-2.0,13,0,Right
Earl Gurley*,30,,-0.1,8,33,31,2,7,1,2,0,5,0,2,0.226,0.273,0.387,0.66,70.0,0.294,63.0,12,0,Left
Charles Wesley,32,IF,-0.4,25,72,69,4,15,0,1,0,5,1,3,0.217,0.25,0.246,0.496,30.0,0.232,25.0,17,0,Right
Johnson,,UT,-0.1,5,12,12,0,2,0,1,0,4,0,0,0.167,0.167,0.333,0.5,27.0,0.212,11.0,4,0,Right
Diamond Pipkins*,21,P,0.4,17,28,28,4,12,3,0,0,4,1,0,0.429,0.429,0.536,0.964,150.0,0.436,153.0,15,0,Left
L. Thomas,,C,-0.4,9,27,25,1,2,0,0,0,0,0,2,0.08,0.148,0.08,0.228,-39.0,0.124,-44.0,2,0,Right
George Fiall,29,SS,-0.1,11,39,34,5,7,0,0,0,0,0,5,0.206,0.308,0.206,0.514,36.0,0.262,43.0,7,0,Right
Marshall,,C,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Right
A.J. Dykes,,2B,0.0,1,2,2,1,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0,162.0,0.464,170.0,1,0,Right
Verne Perkins,,3B,0.0,1,4,3,1,1,0,0,0,0,0,1,0.333,0.5,0.333,0.833,121.0,0.418,142.0,1,0,Right
Pete Moore,25,SS,-0.1,3,8,7,1,1,0,0,0,0,0,1,0.143,0.25,0.143,0.393,5.0,0.209,9.0,1,0,Right
