Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP
Willie Wells,24,SS,6.2,95,416,361,105,129,22,5,26,124,30,53,0.357,0.442,0.662,1.104,184.0,0.488,181.0,239,2
Mule Suttles,28,1B,3.8,95,393,359,80,124,29,7,18,108,10,34,0.345,0.402,0.616,1.018,161.0,0.445,159.0,221,0
Wilson Redus,24,LF,1.5,95,394,357,65,107,21,3,9,69,5,36,0.3,0.365,0.451,0.816,112.0,0.369,112.0,161,1
Clarence Palm,21,C,2.4,65,213,201,36,67,13,3,16,62,3,12,0.333,0.371,0.667,1.038,165.0,0.446,160.0,134,0
Dewey Creacy,29,3B,0.5,95,389,353,61,91,9,1,7,60,3,34,0.258,0.326,0.348,0.675,76.0,0.314,77.0,123,2
Branch Russell*,33,RF,2.5,91,388,324,83,102,16,10,2,52,5,63,0.315,0.428,0.444,0.872,128.0,0.403,133.0,144,1
John Henry Russell,31,2B,0.1,84,305,289,46,81,7,2,1,43,2,16,0.28,0.318,0.329,0.647,69.0,0.301,68.0,95,0
Cool Papa Bell#,26,CF,2.8,93,423,374,95,122,26,5,3,39,49,48,0.326,0.404,0.447,0.851,121.0,0.403,125.0,167,1
Henry Williams,34,C,1.6,67,214,198,30,63,22,3,4,38,3,15,0.318,0.369,0.52,0.889,129.0,0.394,127.0,103,1
John Williams,24,P,0.4,59,169,160,20,39,7,5,1,15,2,9,0.244,0.284,0.369,0.653,69.0,0.294,64.0,59,0
Logan Hensley,29,P,0.2,28,67,65,7,13,1,1,3,10,0,2,0.2,0.224,0.385,0.608,56.0,0.267,46.0,25,0
Leroy Matlock*,22,P,0.2,21,36,34,8,9,4,0,1,5,2,2,0.265,0.306,0.471,0.776,99.0,0.349,94.0,16,0
Luther McDonald,23,P,0.2,13,16,14,4,5,1,0,0,2,0,2,0.357,0.438,0.429,0.866,127.0,0.406,133.0,6,0
Ted Trent,25,P,-0.6,27,56,55,4,4,1,1,0,1,0,1,0.073,0.089,0.127,0.217,-44.0,0.098,-60.0,7,0
Bill Harris,,C,0.0,1,2,1,1,0,0,0,0,0,0,1,0.0,0.5,0.0,0.5,42.0,0.372,111.0,0,0
Roosevelt Davis,24,P,0.1,34,51,48,3,10,2,0,0,0,0,3,0.208,0.255,0.25,0.505,32.0,0.24,29.0,12,0
Candy Jim Taylor,45,P,-0.2,4,8,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-123.0,0,0
Richard Cannon,19,P,-0.1,8,8,8,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-123.0,0,0
Johnnie Vivens,33,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-119.0,0,0
