Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP
Steel Arm Davis*,34,RF,2.1,75,273,242,39,81,14,5,6,53,8,30,0.335,0.41,0.508,0.919,147.0,0.417,145.0,123,1
Charley Williams,33,2B,-0.2,77,275,263,22,68,3,2,1,35,1,12,0.259,0.291,0.297,0.587,59.0,0.277,61.0,78,0
José María Fernández,34,C,1.1,32,110,103,13,41,5,2,0,29,0,7,0.398,0.436,0.485,0.922,149.0,0.427,149.0,50,0
Jim Brown#,38,1B,0.8,56,188,177,30,54,7,6,3,26,4,11,0.305,0.346,0.463,0.809,117.0,0.364,114.0,82,0
Sandy Thompson*,35,LF,0.0,73,274,245,35,63,7,2,0,26,0,29,0.257,0.336,0.302,0.638,74.0,0.31,80.0,74,0
Rap Dixon,27,,1.0,32,123,102,26,28,7,4,3,25,4,21,0.275,0.398,0.51,0.908,144.0,0.412,140.0,52,0
Sanford Jackson,30,CF,0.2,78,323,298,47,77,9,5,0,19,5,24,0.258,0.316,0.322,0.638,73.0,0.301,76.0,96,1
Mitchell Murray,34,C,0.7,35,114,109,11,38,7,0,0,16,0,5,0.349,0.377,0.413,0.79,113.0,0.368,115.0,45,0
Eddie Miller,29,SS,0.3,64,242,212,24,48,5,2,0,16,1,30,0.226,0.322,0.269,0.591,61.0,0.291,70.0,57,0
Malvin Powell,22,P,-0.2,45,135,128,19,34,3,1,1,16,3,7,0.266,0.304,0.328,0.632,71.0,0.295,72.0,42,0
Jelly Gardner*,34,3B,0.0,34,119,99,17,23,3,0,0,9,1,20,0.232,0.361,0.263,0.624,71.0,0.315,84.0,26,0
George Mitchell,30,P,0.2,37,69,64,7,16,3,1,0,8,0,5,0.25,0.304,0.328,0.632,71.0,0.298,73.0,21,0
Harry Jeffries,,3B,-0.6,56,184,170,18,35,2,1,0,7,2,14,0.206,0.266,0.229,0.496,35.0,0.242,41.0,39,0
Bill Foster#,26,P,0.2,33,75,71,6,17,3,0,0,6,0,4,0.239,0.28,0.282,0.562,52.0,0.267,55.0,20,0
Saul Davis,29,IF,0.0,23,73,63,10,13,3,0,0,5,2,10,0.206,0.315,0.254,0.569,56.0,0.284,66.0,16,0
Yellow Horse Morris,28,P,0.2,13,23,21,4,5,0,1,1,3,0,2,0.238,0.304,0.476,0.781,108.0,0.346,102.0,10,0
Chester Williams,24,MI,-0.2,9,30,30,4,5,1,1,0,3,0,0,0.167,0.167,0.267,0.433,15.0,0.191,10.0,8,0
Cool Turner,28,IF,0.2,4,15,14,1,5,2,0,0,2,0,1,0.357,0.4,0.5,0.9,142.0,0.411,140.0,7,0
Luther McDonald,24,P,0.0,26,49,49,5,12,1,0,0,2,0,0,0.245,0.245,0.265,0.51,38.0,0.237,37.0,13,0
Frog Holsey,24,P,0.2,23,46,44,4,10,2,1,0,2,0,2,0.227,0.261,0.318,0.579,56.0,0.267,55.0,14,0
Lewis Anderson,,C,-0.1,7,9,9,0,1,0,0,0,1,0,0,0.111,0.111,0.111,0.222,-40.0,0.104,-41.0,1,0
John Hines,29,UT,0.0,6,27,24,2,5,2,0,0,1,0,3,0.208,0.296,0.292,0.588,60.0,0.284,65.0,7,0
Albert Clark,19,,0.0,3,6,6,1,2,0,0,0,1,0,0,0.333,0.333,0.333,0.667,81.0,0.313,82.0,2,0
Bun Hayes,26,P,0.0,2,5,5,0,1,0,0,0,1,0,0,0.2,0.2,0.2,0.4,8.0,0.188,7.0,1,0
James Bray,31,C,0.1,5,14,14,2,5,0,0,0,0,0,0,0.357,0.357,0.357,0.714,94.0,0.335,95.0,5,0
George McAllister*,31,1B,-0.1,6,25,21,4,3,0,1,0,0,0,3,0.143,0.28,0.238,0.518,41.0,0.262,52.0,5,1
Jabbo Andrews*,22,,-0.2,2,8,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-103.0,0,0
Dave Knight,,P,0.0,5,12,11,1,2,0,0,0,0,0,1,0.182,0.25,0.182,0.432,18.0,0.219,27.0,2,0
George Harney,40,P,-0.1,3,8,8,0,1,0,0,0,0,0,0,0.125,0.125,0.125,0.25,-32.0,0.117,-33.0,1,0
Murray Gillispie,22,P,0.0,2,5,5,0,1,0,0,0,0,0,0,0.2,0.2,0.2,0.4,8.0,0.188,7.0,1,0
Carl Glass*,32,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-107.0,0,0
Joe Fleet,28,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-107.0,0,0
Cliff Bell,33,P,0.0,2,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-107.0,0,0
John Wesley Johnson,,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
