Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP
Ed Rile*,30,1B,1.7,65,272,247,46,75,17,9,5,42,8,25,0.304,0.368,0.506,0.874,134,0.393,129,125,0
Jake Dunn,20,SS,1.3,71,276,258,30,73,11,7,3,39,8,18,0.283,0.33,0.415,0.744,100,0.341,99,107,0
Turkey Stearnes*,29,CF,1.3,35,143,129,26,42,9,8,2,38,6,14,0.326,0.392,0.566,0.957,156,0.429,149,73,0
Wade Johnston*,32,LF,1.9,69,308,270,59,85,10,10,3,35,6,38,0.315,0.399,0.459,0.859,132,0.394,131,124,0
Bobby Robinson,26,3B,0.6,70,278,258,39,72,10,4,0,34,5,20,0.279,0.331,0.349,0.68,84,0.318,86,90,0
Clarence Palm,22,C,0.9,48,150,143,25,43,7,2,5,32,5,7,0.301,0.333,0.483,0.816,118,0.367,113,69,0
Crush Holloway#,33,RF,-0.2,71,308,292,50,73,10,9,0,30,12,16,0.25,0.289,0.346,0.635,71,0.297,70,101,0
Grady Orange,30,2B,-0.7,57,206,198,20,44,6,0,1,23,4,8,0.222,0.252,0.268,0.52,41,0.244,42,53,0
Pepper Daniels,27,C,0.4,45,148,130,20,33,9,0,0,18,2,18,0.254,0.345,0.323,0.668,81,0.321,88,42,0
Lou Dials*,26,1B,0.5,30,89,78,16,20,3,4,3,15,3,11,0.256,0.348,0.513,0.861,130,0.385,124,40,0
Andy Love,22,IF,0.0,26,91,87,14,23,6,0,2,13,2,4,0.264,0.297,0.402,0.699,87,0.317,85,35,0
Ted Shaw,24,P,0.4,21,47,43,6,12,1,2,0,8,0,4,0.279,0.34,0.395,0.736,98,0.341,98,17,0
Albert Davis,,P,0.1,17,43,41,5,9,2,0,0,5,0,2,0.22,0.256,0.268,0.524,42,0.248,44,11,0
Bingo DeMoss,40,2B,0.0,15,56,54,7,15,2,0,0,3,0,2,0.278,0.304,0.315,0.618,67,0.291,69,17,0
Nelson Dean,31,P,0.2,19,50,48,3,10,0,2,1,2,0,2,0.208,0.24,0.354,0.594,59,0.267,55,17,0
Willie Powell*,26,P,-0.1,19,42,39,3,6,0,0,0,2,0,3,0.154,0.214,0.154,0.368,1,0.188,8,6,0
Jim Smith,,SS,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-107,0,0
Andy Cooper,33,P,-0.4,19,43,42,3,4,0,0,0,0,0,1,0.095,0.116,0.095,0.212,-42,0.105,-41,4,0
Steel Arm Tyler,24,P,0.0,11,6,6,1,1,0,0,0,0,0,0,0.167,0.167,0.167,0.333,-10,0.156,-9,1,0
