Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,Bats
Willie Wells,25,SS,6.7,90,390,336,112,138,34,3,17,114,18,52,0.411,0.492,0.682,1.174,214.0,0.522,205.0,229,2,Right
Dewey Creacy,30,3B,2.3,91,379,335,48,101,6,6,7,73,5,43,0.301,0.383,0.418,0.8,116.0,0.372,118.0,140,1,Right
Branch Russell*,34,RF,2.4,89,388,350,90,117,12,1,9,69,6,37,0.334,0.399,0.451,0.851,130.0,0.392,130.0,158,1,Left
George Giles*,21,1B,3.0,83,387,346,86,125,20,4,3,67,13,41,0.361,0.429,0.468,0.897,142.0,0.415,144.0,162,0,Left
Mule Suttles,29,IF,3.7,46,197,164,58,67,14,7,13,64,12,31,0.409,0.508,0.817,1.325,253.0,0.572,232.0,134,2,Right
Cool Papa Bell#,27,CF,3.0,79,379,342,104,121,19,5,6,56,11,35,0.354,0.417,0.491,0.908,145.0,0.416,144.0,168,2,Both
Ted Radcliffe,27,C,0.6,73,263,250,39,71,11,4,4,49,4,13,0.284,0.319,0.408,0.727,95.0,0.331,94.0,102,0,Right
John Henry Russell,32,2B,1.5,88,355,329,56,90,14,6,8,46,8,26,0.274,0.327,0.426,0.752,102.0,0.342,100.0,140,0,Right
Wilson Redus,25,LF,1.1,47,180,161,35,49,6,4,5,43,1,18,0.304,0.378,0.484,0.862,132.0,0.391,129.0,78,1,Right
John Williams,25,P,0.8,58,202,188,30,59,10,3,3,36,3,13,0.314,0.361,0.447,0.808,117.0,0.368,116.0,84,1,Right
Henry Williams,35,C,0.3,60,218,208,34,59,6,1,1,28,0,10,0.284,0.317,0.337,0.653,77.0,0.307,78.0,70,0,Right
Ted Trent,26,P,-0.3,23,50,44,3,2,1,0,0,6,0,6,0.045,0.16,0.068,0.228,-36.0,0.135,-23.0,3,0,Right
Logan Hensley,30,P,0.5,28,79,75,13,20,5,2,0,6,0,4,0.267,0.304,0.387,0.69,86.0,0.316,84.0,29,0,Right
Leroy Matlock*,23,P,0.2,17,40,35,6,8,1,0,0,3,0,5,0.229,0.325,0.257,0.582,59.0,0.291,69.0,9,0,Left
Roosevelt Davis,25,P,0.1,19,47,45,3,10,1,0,0,3,0,2,0.222,0.255,0.244,0.5,36.0,0.239,39.0,11,0,Right
Joe Strong*,27,P,0.3,23,43,34,5,6,1,2,0,2,1,9,0.176,0.349,0.324,0.672,83.0,0.328,91.0,11,0,Left
John Reese,35,PR,0.0,13,8,8,6,2,0,1,0,0,0,0,0.25,0.25,0.5,0.75,98.0,0.32,87.0,4,0,Right
Quincy Trouppe#,17,C,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-104.0,0,0,Both
Bill Drake,35,P,-0.1,1,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-104.0,0,0,Right
