Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos.1,Awards
1,Harry Barnes,21,C,0.0,23,82,77,17,20,6,1,0,9,1,5,.260,.305,.364,.669,84,.307,84,28,0,0,2,
2,Jim Canada*,25,1B,0.2,13,55,48,12,15,5,0,0,9,2,5,.313,.377,.417,.794,119,.371,120,20,0,2,3/4,
3,Fred Bankhead,24,2B,0.5,25,101,91,8,27,2,1,0,8,1,7,.297,.347,.341,.688,91,.324,94,31,0,3,4/65,
4,Melvin Coleman,26,SS,0.2,20,69,62,15,18,1,2,0,5,0,6,.290,.362,.371,.733,103,.346,106,23,1,0,6/25,
5,Parnell Woods,25,3B,0.5,27,123,109,27,33,4,4,3,21,2,11,.303,.372,.495,.867,138,.389,132,54,1,2,5/6,
6,Melzar Williams,23,LF,-0.1,19,83,78,16,22,2,1,1,16,5,5,.282,.325,.372,.697,92,.329,93,29,0,0,7/2,
7,Johnny Ray*,25,CF,0.9,16,71,60,14,27,0,2,0,10,2,8,.450,.529,.517,1.045,190,.485,190,31,2,1,8/7,
8,David Whatley*,22,RF,1.0,27,118,112,25,40,7,7,5,31,3,3,.357,.385,.679,1.063,189,.460,172,76,2,1,9/7,
9,Sylvester Owens,,UT,-0.3,28,117,109,12,25,2,3,0,14,2,4,.229,.263,.303,.566,56,.261,57,33,1,3,8/4732,
10,Bill Carter,,IF,0.2,11,50,47,10,18,3,0,0,4,0,2,.383,.408,.447,.855,136,.397,136,21,0,1,3/6,
11,Jack Bruton,25,IF,0.3,14,50,46,11,13,5,1,0,4,0,3,.283,.327,.435,.761,109,.345,105,20,0,1,/134,
12,Clarence Lamar,22,MI,-0.1,10,42,38,7,8,1,0,0,3,1,3,.211,.268,.237,.505,41,.246,47,9,0,1,/64,
13,Quicksey,,OF,0.1,3,7,7,2,3,0,0,0,2,0,0,.429,.429,.429,.857,137,.402,138,3,0,0,/7,
14,A.D. Lewis*,22,1B,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,/3,
15,Willie Ferrell,23,P,0.2,14,36,33,4,9,2,1,0,2,0,1,.273,.294,.394,.688,89,.311,85,13,0,2,1/9,
16,Red Howard*,27,P,0.2,10,28,25,4,7,1,0,1,7,2,2,.280,.333,.440,.773,112,.358,109,11,0,1,/178,
17,Ben Henderson,,P,0.2,5,11,8,2,2,1,0,0,1,0,3,.250,.455,.375,.830,131,.408,142,3,0,0,/1,
18,Elbert Eatmon,22,P,-0.1,5,10,9,0,1,0,0,0,0,0,0,.111,.111,.111,.222,-38,.104,-49,1,0,1,/1,
19,Bo Mitchell,,P,0.1,3,10,10,0,4,0,0,0,0,0,0,.400,.400,.400,.800,122,.375,123,4,0,0,/1,
20,Floyd Holston,,P,0.1,1,3,1,1,0,0,0,0,0,0,2,.000,.667,.000,.667,98,.502,195,0,0,0,/1,
21,Julius Osley,22,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-87,0,0,0,/1,
