Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH
Willard Brown,22,LF,3.3,56,235,214,51,81,11,10,10,60,10,19,0.379,0.432,0.664,1.095,199,0.482,183,142,1,1
Newt Allen,36,2B,2.8,54,232,209,38,70,8,4,1,47,13,17,0.335,0.393,0.426,0.819,126,0.386,127,89,3,3
Ed Mayweather*,27,1B,0.5,53,205,192,31,53,7,6,3,33,3,12,0.276,0.319,0.422,0.741,103,0.334,100,81,0,1
Jess Brooks,24,3B,1.4,56,222,195,36,52,14,6,2,30,0,23,0.267,0.344,0.431,0.775,113,0.354,111,84,0,4
Henry Milton*,26,RF,1.0,52,229,199,61,55,7,4,2,29,33,26,0.276,0.366,0.382,0.748,107,0.365,110,76,2,2
Frank Duncan,36,C,0.6,47,171,142,22,33,7,1,0,22,2,17,0.232,0.331,0.296,0.627,74,0.305,82,42,4,8
Willie Simms*,28,OF,0.0,30,118,106,16,30,5,1,1,15,10,4,0.283,0.315,0.377,0.693,91,0.327,90,40,1,7
Mex Johnson,25,SS,0.3,41,141,124,17,31,5,3,0,12,1,11,0.25,0.311,0.339,0.65,79,0.303,81,42,0,6
Eddie Dwight,32,CF,0.8,35,136,101,38,23,1,0,1,11,22,31,0.228,0.418,0.267,0.685,93,0.371,113,27,2,2
Harry Else,31,C,0.0,26,65,59,9,17,2,1,0,8,1,5,0.288,0.344,0.356,0.7,94,0.327,96,21,0,1
Bullet Rogan,43,OF,0.3,18,36,29,7,10,2,1,0,8,1,4,0.345,0.441,0.483,0.924,155,0.426,156,14,1,2
Dave Mays,26,OF,-0.2,17,61,54,9,14,2,2,0,7,2,4,0.259,0.31,0.37,0.681,87,0.315,87,20,0,3
Hilton Smith,30,P,0.4,25,62,59,4,18,2,0,1,7,1,1,0.305,0.317,0.39,0.706,94,0.321,92,23,0,2
Vet Barnes,25,P,0.3,16,32,28,5,7,2,0,1,5,0,3,0.25,0.323,0.429,0.751,106,0.342,103,12,0,1
Henry McHenry,27,P,0.1,15,28,27,3,6,1,0,0,2,0,1,0.222,0.25,0.259,0.509,41,0.241,45,7,0,0
Floyd Kranson,23,P,0.0,10,22,20,5,4,0,0,0,2,0,1,0.2,0.238,0.2,0.438,22,0.214,26,4,0,1
Ted Strong#,20,IF,0.0,2,8,8,1,2,2,0,0,1,0,0,0.25,0.25,0.5,0.75,103,0.324,93,4,0,0
Frank Bradley,19,P,0.0,2,5,5,0,1,1,0,0,1,0,0,0.2,0.2,0.4,0.6,62,0.259,56,2,0,0
Wright,,OF,0.0,1,2,2,1,1,0,0,0,1,1,0,0.5,0.5,0.5,1.0,177,0.511,179,1,0,0
Homer Curry*,32,OF,0.1,1,5,5,1,2,0,1,0,0,0,0,0.4,0.4,0.8,1.2,225,0.511,200,4,0,0
Johnny Markham,28,P,0.0,12,18,17,1,3,0,0,0,0,0,0,0.176,0.222,0.176,0.399,11,0.2,22,3,1,0
Andy Cooper,40,P,-0.2,11,17,17,0,2,0,0,0,0,0,0,0.118,0.118,0.118,0.235,-35,0.11,-30,2,0,0
Lefty Wilson,20,P,-0.1,6,16,15,0,2,0,0,0,0,0,0,0.133,0.133,0.133,0.267,-26,0.125,-30,2,0,1
Porter Moss,27,P,0.1,1,1,1,0,1,0,0,0,0,0,0,1.0,1.0,1.0,2.0,454,0.938,440,1,0,0
Johnson,,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0
