Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH
Nat Rogers*,44,RF,0.9,27,107,102,19,36,5,3,2,19,2,0,3,0.353,0.371,0.52,0.891,154.0,0.408,144.0,53,0,2
Jelly Taylor*,27,1B,0.1,35,143,128,15,38,1,1,0,16,2,0,11,0.297,0.353,0.32,0.673,94.0,0.328,97.0,41,0,4
Neil Robinson,30,SS,1.5,35,139,121,19,38,7,3,1,15,6,1,15,0.314,0.403,0.446,0.849,144.0,0.404,139.0,54,3,0
Cowan Hyde,31,LF,1.1,33,135,132,16,39,3,4,0,14,9,0,1,0.295,0.306,0.379,0.685,96.0,0.331,92.0,50,1,1
Red Longley,28,2B,-0.8,30,106,95,10,19,3,0,0,11,1,0,9,0.2,0.269,0.232,0.501,45.0,0.25,52.0,22,0,2
Ted Radcliffe,35,UT,0.2,28,80,75,9,22,5,0,1,10,3,0,4,0.293,0.338,0.4,0.738,111.0,0.353,108.0,30,1,0
Lloyd Davenport*,26,CF,0.9,32,132,117,20,38,7,2,0,10,7,0,13,0.325,0.392,0.419,0.811,133.0,0.394,131.0,49,0,2
Willie Jefferson,34,UT,0.5,17,42,41,7,12,2,1,2,7,0,0,0,0.293,0.293,0.537,0.829,135.0,0.366,121.0,22,0,1
Larry Brown#,36,C,0.2,27,88,77,7,18,4,0,0,6,1,0,8,0.234,0.33,0.286,0.615,78.0,0.307,86.0,22,3,0
Porter Moss,28,P,0.0,15,27,24,3,4,2,0,0,4,0,0,1,0.167,0.2,0.25,0.45,29.0,0.211,26.0,6,0,2
Mays,,2B,0.4,5,16,16,2,7,2,1,0,3,0,0,0,0.438,0.438,0.688,1.125,220.0,0.503,200.0,11,0,0
Zearlee Maxwell,35,IF,-0.5,12,39,32,8,5,0,1,0,3,1,0,2,0.156,0.206,0.219,0.425,22.0,0.211,17.0,7,0,5
Marlin Carter*,25,3B,-0.1,18,69,59,13,12,2,1,0,2,3,0,9,0.203,0.309,0.271,0.58,67.0,0.298,75.0,16,0,1
Bill Hoskins*,24,OF,-0.1,1,4,4,0,1,0,0,0,2,0,0,0,0.25,0.25,0.25,0.5,44.0,0.236,46.0,1,0,0
Bob Madison,27,UT,0.0,9,28,23,4,5,0,0,1,2,2,0,5,0.217,0.357,0.348,0.705,103.0,0.359,108.0,8,0,0
Clifford Allen,,UT,-0.2,11,16,15,1,1,0,0,0,1,0,0,1,0.067,0.125,0.067,0.192,-44.0,0.106,-29.0,1,0,0
Leo Hannibal,27,UT,-0.1,6,11,11,1,2,0,0,0,1,1,0,0,0.182,0.182,0.182,0.364,5.0,0.193,10.0,2,0,0
Eugene Bremer,21,P,0.1,7,11,9,2,2,0,1,0,1,0,0,1,0.222,0.3,0.444,0.744,112.0,0.334,103.0,4,0,1
Fred Bankhead,25,IF,0.0,2,5,5,0,3,0,0,0,1,0,0,0,0.6,0.6,0.6,1.2,245.0,0.565,236.0,3,0,0
Jones,,OF,0.0,1,4,4,0,1,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5,44.0,0.236,46.0,1,0,0
David Whatley*,23,OF,0.1,3,13,12,1,3,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,44.0,0.236,42.0,3,0,1
Hoss Walker,33,SS,-0.3,3,11,11,0,1,0,0,0,0,0,0,0,0.091,0.091,0.091,0.182,-48.0,0.086,-40.0,1,0,0
Dixon,,OF,0.1,1,4,3,0,0,0,0,0,0,0,0,1,0.0,0.25,0.0,0.25,-25.0,0.188,18.0,0,0,0
Andy Childs,32,2B,-0.1,2,5,4,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-100.0,0.06,-136.0,0,0,1
Bob Smith,31,3B,0.1,2,7,5,1,2,1,0,0,0,0,0,0,0.4,0.5,0.6,1.1,215.0,0.506,219.0,3,1,1
Raymond Taylor,27,C,0.1,1,3,1,0,0,0,0,0,0,0,0,2,0.0,0.667,0.0,0.667,101.0,0.5,198.0,0,0,0
Pepper Morgan,,OF,-0.1,1,4,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-89.0,0,0,0
Donelly,,3B,0.1,1,2,1,0,0,0,0,0,0,0,0,1,0.0,0.5,0.0,0.5,51.0,0.375,125.0,0,0,0
Lefty Wilson,21,P,-0.3,9,19,19,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-90.0,0,0,0
Provine Bradley,30,P,0.1,1,2,2,0,2,1,0,0,0,0,0,0,1.0,1.0,1.5,2.5,613.0,1.128,561.0,3,0,0
Smith,,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-93.0,0,0,0
Emery Adams,26,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-93.0,0,0,0
Claude Hayslett,25,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
