,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos.1,Awards
0,1,Pepper Bassett#,28,C,-0.3,30,111,104,12,21,3,1,0,13,1,7,.202,.252,.250,.502,46,.243,49,26,2,"AS,AS"
1,2,Ed Young,26,1B,0.7,28,114,97,16,26,7,1,1,17,8,17,.268,.377,.392,.769,124,.377,125,38,3/57,
2,3,Billy Horne,23,2B,0.1,27,105,96,12,23,1,1,0,8,3,9,.240,.305,.271,.576,68,.282,73,26,4/6,"AS,AS"
3,4,Joe Sparks,28,SS,0.2,29,93,85,9,18,2,3,1,11,1,8,.212,.280,.341,.621,80,.292,79,29,6/45,
4,5,Alex Radcliff,33,3B,0.4,34,144,135,21,35,6,3,1,15,1,9,.259,.306,.370,.676,96,.316,93,50,5/6,"AS,AS"
5,6,Ernie Smith*,31,LF,0.2,35,126,120,12,34,2,1,0,11,7,6,.283,.317,.317,.634,85,.310,86,38,7/892,
6,7,Willie Simms*,30,CF,1.0,29,131,115,15,34,4,2,3,12,4,16,.296,.382,.443,.825,140,.388,136,51,8,
7,8,Subby Byas#,29,RF,0.4,33,117,100,15,26,4,0,1,8,3,17,.260,.368,.330,.698,104,.342,109,33,9/327,
8,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Awards
9,9,Wilson Redus,34,C,-0.3,19,51,47,6,8,2,0,0,2,1,4,.170,.235,.213,.448,31,.223,37,10,7/92,
10,10,John Bissant,25,2B,0.1,12,40,39,4,11,0,1,1,6,0,1,.282,.300,.410,.710,106,.328,100,16,/794,
11,11,Jesse Houston,29,IF,0.2,20,37,36,5,10,2,0,0,3,0,1,.278,.297,.333,.631,83,.298,82,12,/13469,
12,12,Red Hale,26,SS,-0.2,10,28,25,1,2,0,0,0,1,3,3,.080,.179,.080,.259,-24,.160,-8,2,/6,
13,13,Donald Reeves*,27,,0.1,5,17,17,1,5,0,1,1,3,0,0,.294,.294,.588,.882,154,.393,139,10,/9,
14,14,Lester Lockett,27,MI,-0.2,4,13,13,0,1,0,0,0,1,0,0,.077,.077,.077,.154,-55,.073,-54,1,/46,
15,15,Charley Robinson,24,,0.0,3,12,10,1,2,0,0,0,2,0,2,.200,.333,.200,.533,57,.283,73,2,/87,
16,16,Luther Gilyard,29,1B,0.0,2,7,6,0,1,0,0,0,1,0,1,.167,.286,.167,.452,33,.242,48,1,/3,
17,17,Joe Williams,,SS,0.0,2,7,6,0,1,0,0,0,1,1,1,.167,.286,.167,.452,33,.258,48,1,/6,
18,18,Fresnell,,,0.1,2,3,3,1,2,0,1,0,0,1,0,.667,.667,1.333,2.000,475,.918,437,4,/8,
19,19,Johnny Reed,23,1B,0.0,1,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-92,0,/3,
20,20,Langrum,,SS,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-92,0,/6,
21,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Awards
22,21,Willie Cornelius,32,P,0.2,16,34,32,4,8,0,0,0,0,1,2,.250,.294,.250,.544,59,.267,63,8,1,
23,22,Tommy Johnson,24,P,-0.1,13,16,16,1,2,1,0,0,0,0,0,.125,.125,.188,.313,-10,.143,-11,3,1,
24,23,Lefty Bowe*,20,P,-0.1,9,16,16,1,2,0,0,0,0,0,0,.125,.125,.125,.250,-27,.119,-26,2,/1,
25,24,Ted Trent,35,P,-0.2,9,11,11,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-96,0,/1,
26,25,Percy Forrest,22,P,0.1,3,6,5,0,2,0,0,0,2,0,1,.400,.500,.400,.900,163,.441,168,2,/1,
27,26,Lemuel Williams,,P,0.0,4,6,5,1,0,0,0,0,0,0,1,.000,.167,.000,.167,-50,.125,-22,0,/1,
28,27,Rogers Pierre,25,P,0.1,3,3,3,0,1,1,0,0,0,0,0,.333,.333,.667,1.000,187,.447,171,2,/1,
29,28,Logan Hensley,39,P,0.0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,/1,
30,,Team Totals,,,2.3,35,1251,1145,138,275,35,15,9,117,35,106,.240,.305,.321,.625,82,.302,83,367,,
31,,Non-Pitcher Totals,,,2.2,,1122,1021,126,250,31,15,9,112,34,101,.245,.313,.331,.644,87,.310,89,338,,
32,,Pitcher Totals,,,0.2,,129,124,12,25,4,0,0,5,1,5,.202,.233,.234,.466,36,.225,38,29,,
