Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Bats
Jabbo Andrews*,32,LF,-0.1,28,110,96,11,21,2,0,3,16,2,12,0.219,0.312,0.333,0.645,93.0,0.319,94.0,32,0,1,1,0,Left
Willie Nixon,23,RF,0.8,27,103,86,17,24,6,2,2,15,0,12,0.279,0.374,0.465,0.839,151.0,0.401,142.0,40,0,1,4,0,Right
Tommy Sampson,27,2B,1.1,26,109,101,19,34,4,3,0,13,3,5,0.337,0.38,0.436,0.815,144.0,0.391,136.0,44,0,2,1,0,Right
Lyman Bostock*,22,1B,-0.3,26,103,97,13,25,4,0,0,10,1,6,0.258,0.301,0.299,0.6,80.0,0.295,80.0,29,0,0,0,0,Left
Sammy Burton,27,3B,0.2,29,104,92,13,23,1,2,1,9,1,10,0.25,0.324,0.337,0.66,98.0,0.324,97.0,31,0,0,2,0,Right
Paul Hardy,29,C,0.1,24,85,72,6,14,3,1,0,8,1,9,0.194,0.293,0.264,0.557,67.0,0.282,72.0,19,0,1,3,0,Right
Buddy Allen,25,UT,0.2,9,35,33,7,12,1,0,0,5,0,1,0.364,0.4,0.394,0.794,138.0,0.39,134.0,13,0,1,0,0,Right
Dan Thomas,,CF,-0.4,25,85,80,10,16,1,0,0,5,0,5,0.2,0.247,0.213,0.46,38.0,0.233,43.0,17,0,0,0,0,Right
Fred McBride,35,CI,-0.1,16,46,44,7,11,1,0,1,5,0,2,0.25,0.283,0.341,0.624,87.0,0.301,83.0,15,0,0,0,0,Right
Ulysses Redd,25,SS,-0.2,26,87,84,7,18,0,2,0,4,1,1,0.214,0.233,0.262,0.494,48.0,0.238,46.0,22,0,1,1,0,Right
Eddie Snead,29,P,0.3,12,21,19,3,6,0,1,1,3,0,1,0.316,0.35,0.579,0.929,178.0,0.43,160.0,11,0,0,1,0,Right
Dan Bankhead,20,P,0.3,11,23,21,2,9,0,0,0,3,0,1,0.429,0.455,0.429,0.883,164.0,0.433,162.0,9,0,0,1,0,Right
Parnell Woods,28,UT,0.0,3,14,14,2,5,0,1,0,2,1,0,0.357,0.357,0.5,0.857,156.0,0.41,141.0,7,0,0,0,0,Right
Cap Tyson,37,UT,0.1,4,12,12,1,5,1,0,0,2,0,0,0.417,0.417,0.5,0.917,174.0,0.439,162.0,6,0,0,0,0,Right
Blanch Moody,28,P,0.0,12,22,19,0,3,0,0,0,1,0,1,0.158,0.2,0.158,0.358,7.0,0.184,6.0,3,0,0,2,0,Right
Red Howard*,30,P,0.1,15,21,19,2,4,0,0,0,1,0,2,0.211,0.286,0.211,0.496,49.0,0.258,58.0,4,0,0,0,0,Left
Johnnie Cowan,27,IF,-0.2,3,11,11,0,1,0,0,0,1,0,0,0.091,0.091,0.091,0.182,-46.0,0.088,-41.0,1,0,0,0,0,Right
James Mickey,,IF,0.1,5,15,15,1,1,0,0,0,0,0,0,0.067,0.067,0.067,0.133,-60.0,0.065,-55.0,1,0,0,0,0,Right
Emmett Wilson#,27,OF,0.1,4,16,14,3,4,1,0,0,0,3,0,0.286,0.375,0.357,0.732,119.0,0.39,122.0,5,0,2,0,0,Both
Buster Haywood,30,C,0.0,5,10,10,0,2,0,0,0,0,1,0,0.2,0.2,0.2,0.4,20.0,0.206,20.0,2,0,0,0,0,Right
Jake Tolbert,,C,-0.1,1,5,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-94.0,0,0,0,0,0,Right
Jones,,3B,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-92.0,0,0,0,0,0,Right
Leroy Bass,22,C,0.0,2,2,2,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0,199.0,0.487,188.0,1,0,0,0,0,Right
Leo Sanders,26,SS,-0.1,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-88.0,0,0,0,0,0,Right
Eddie Vines*,22,CI,0.0,2,4,4,0,2,0,0,0,0,0,0,0.5,0.5,0.5,1.0,199.0,0.487,190.0,2,0,0,0,0,Left
Gentry Jessup,25,P,-0.2,8,13,13,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-92.0,0,0,0,0,0,Right
Samuel Burris,20,P,0.0,5,2,2,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0,199.0,0.487,188.0,1,0,0,0,0,Right
Sam Barber,20,P,0.1,1,2,2,0,2,0,0,0,0,0,0,1.0,1.0,1.0,2.0,499.0,0.973,469.0,2,0,0,0,0,Right
Pete Gregory,29,P,0.0,1,1,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.766,346.0,0,0,0,0,0,Right
