Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos.1,Awards
1,Ernie Smith*,32,C,0.3,15,51,46,4,13,2,0,0,4,0,3,.283,.327,.326,.653,95,.322,94,15,0,0,2,0,/27,
2,Ed Young,27,1B,0.5,18,73,65,10,21,4,0,1,11,1,7,.323,.397,.431,.828,148,.401,142,28,0,1,0,0,3,
3,Joe Sparks,29,2B,0.0,16,48,43,4,7,2,0,1,2,0,5,.163,.250,.279,.529,58,.264,61,12,0,0,0,0,4/569,
4,Leroy Morney#,31,SS,-0.2,19,75,60,10,10,2,0,0,0,1,10,.167,.296,.200,.496,49,.266,61,12,0,1,4,0,6/79,AS
5,Ted Bond,36,3B,0.6,20,84,65,13,18,1,3,0,7,0,11,.277,.390,.385,.774,132,.382,132,25,0,1,7,0,5,
6,Wilson Redus,35,LF,0.2,16,36,31,2,8,0,0,0,5,0,4,.258,.361,.258,.619,85,.324,95,8,0,1,0,0,/79,
7,Willie Simms*,31,CF,-0.1,19,85,76,14,17,4,0,1,5,1,9,.224,.306,.316,.622,86,.307,87,24,0,0,0,0,8,
8,Donald Reeves*,28,RF,0.4,17,68,61,8,18,3,1,4,24,0,6,.295,.358,.574,.932,179,.433,160,35,0,0,1,0,9/7,AS
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos,Awards
9,Billy Horne,24,MI,-0.2,18,68,59,3,11,0,0,0,3,0,8,.186,.284,.186,.470,41,.251,53,11,0,0,1,0,4/6,
10,Willie Hudson*,22,UT,-0.2,16,50,47,4,11,2,0,0,5,0,2,.234,.265,.277,.542,62,.266,61,13,0,0,1,0,/1739,
11,Harry Else,34,UT,0.1,10,37,33,4,10,1,0,0,3,0,4,.303,.378,.333,.712,113,.357,115,11,1,0,0,0,/25,
12,Henry Merchant*,22,OF,0.1,9,21,19,0,4,0,0,0,2,0,1,.211,.250,.211,.461,38,.233,40,4,0,0,1,0,/871,
13,Joe Brown,23,UT,0.1,7,20,19,1,7,1,0,0,1,0,1,.368,.400,.421,.821,146,.399,139,8,0,0,0,0,/27,
14,Army Rhodes,22,1B,-0.1,2,7,7,0,1,0,0,0,0,0,0,.143,.143,.143,.286,-14,.139,-11,1,0,0,0,0,/3,
15,Johnnie Dawson,25,C,0.0,1,4,3,0,0,0,0,0,0,0,1,.000,.250,.000,.250,-25,.191,18,0,0,0,0,0,/2,
16,Nat Rogers*,46,OF,-0.1,1,4,4,1,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-94,0,0,0,0,0,/9,
17,Walter Burch,32,C,0.1,1,4,4,0,2,0,0,0,0,0,0,.500,.500,.500,1.000,199,.487,190,2,0,0,0,0,/2,
18,Frank Duncan,39,C,0.0,1,3,2,0,0,0,0,0,0,1,1,.000,.333,.000,.333,0,.293,56,0,0,0,0,0,/2,
19,Paul Stanley,26,OF,0.1,1,3,3,0,2,0,0,0,0,0,0,.667,.667,.667,1.333,299,.649,282,2,0,0,0,0,/9,
Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos,Awards
20,W. Miller,,P,-0.1,8,20,20,1,2,0,0,0,1,0,0,.100,.100,.100,.200,-40,.097,-36,2,0,0,0,0,/19,
21,Lefty Bowe*,21,P,-0.2,9,18,16,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-117,0,0,0,2,0,/1,
22,Tommy Johnson,25,P,-0.2,7,13,13,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-92,0,0,0,0,0,/19,
23,Zell Miles,30,P,0.0,1,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-88,0,0,0,0,0,/1,
24,Willie Cornelius,33,P,0.0,1,2,2,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,199,.487,188,1,0,0,0,0,/1,
25,Hank Jones,,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-92,0,0,0,0,0,/1,
26,Lloyd Bruce,33,P,0.0,2,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-92,0,0,0,0,0,/1,
,Team Totals,,,1.0,23,798,702,79,163,22,4,7,73,4,73,.232,.308,.305,.613,83,.305,85,214,1,4,19,0,,
,Non-Pitcher Totals,,,1.6,,741,647,78,160,22,4,7,72,4,73,.247,.327,.326,.653,96,.325,96,211,1,4,17,0,,
,Pitcher Totals,,,-0.5,,57,55,1,3,0,0,0,1,0,0,.055,.055,.055,.109,-67,.053,-68,3,0,0,2,0,,
