Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos.1,Awards
1,Joe Greene,28,C,1.1,26,100,85,24,24,7,4,2,22,4,14,.282,.384,.529,.913,173,.433,157,45,0,0,1,0,2/3,AS
2,Buck O'Neil,28,1B,0.5,38,147,138,24,39,6,3,1,26,8,8,.283,.322,.391,.713,113,.349,107,54,0,0,1,0,*3,
3,Jesse Douglas*,24,2B,0.1,26,107,100,17,23,3,0,0,12,5,4,.230,.267,.260,.527,58,.267,59,26,0,1,2,0,4/6,
4,Bill Williams,27,SS,2.2,38,147,131,23,48,6,3,1,28,5,10,.366,.420,.481,.900,169,.432,161,63,0,2,4,0,*6/5,
5,Herb Souell#,27,3B,1.0,34,135,118,19,37,5,1,0,14,8,16,.314,.400,.373,.773,131,.391,131,44,0,1,0,0,5/7,
6,Fred McDaniel*,27,LF,0.0,22,97,81,17,16,2,0,0,8,4,11,.198,.323,.222,.545,63,.295,77,18,0,4,1,0,7/9,
7,Turkey Stearnes*,39,CF,0.9,36,146,126,22,33,6,2,5,33,4,18,.262,.359,.460,.819,145,.392,135,58,0,1,1,0,*8,
8,Henry Milton*,29,RF,0.4,31,139,122,22,31,3,1,1,13,8,10,.254,.321,.320,.641,92,.325,92,39,0,2,5,0,9,AS
9,Newt Allen,39,OF,0.2,25,96,86,17,22,3,0,0,7,2,7,.256,.319,.291,.610,83,.304,85,25,0,1,2,0,7/845936,
10,Lionel Decuir,25,C,0.2,19,61,56,9,14,0,1,1,6,3,5,.250,.311,.339,.651,95,.324,93,19,0,0,0,0,2/58,
11,Rainey Bibbs#,29,IF,0.4,12,54,49,10,18,2,2,0,6,1,3,.367,.415,.490,.905,171,.431,160,24,0,1,1,0,4/5,
12,Leandy Young,31,OF,0.2,5,16,14,3,5,3,0,0,2,0,1,.357,.400,.571,.971,191,.456,178,8,0,0,1,0,/97,
13,Jesse Warren,25,3B,0.0,2,8,7,1,1,0,0,0,1,0,1,.143,.250,.143,.393,18,.217,34,1,0,0,0,0,/5,
14,Willard Brown,25,OF,-0.2,2,7,7,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-92,0,0,0,0,0,/7,
15,Frazier Robinson,30,C,0.1,1,3,3,1,2,0,0,0,2,0,0,.667,.667,.667,1.333,299,.649,282,2,0,0,0,0,/2,
16,Leo Sanders,26,3B,0.0,1,3,2,0,0,0,0,0,0,0,1,.000,.333,.000,.333,0,.255,56,0,0,0,0,0,/5,
17,Johnnie Dawson,25,C,0.1,1,1,1,0,1,1,0,0,0,0,0,1.000,1.000,2.000,3.000,796,1.376,700,2,0,0,0,0,/2,
18,Jack Matchett*,32,P,0.4,16,35,34,5,11,0,2,0,2,0,0,.324,.324,.441,.765,129,.360,117,15,0,0,1,0,1,
19,Hilton Smith,33,P,0.7,18,30,29,2,14,4,1,0,7,0,1,.483,.500,.690,1.190,256,.559,232,20,0,0,0,0,1,AS
20,Frank Bradley,22,P,0.3,12,26,23,2,7,2,0,1,4,0,0,.304,.333,.522,.855,156,.402,144,12,0,1,2,0,/16,
21,George Walker,25,P,0.2,8,25,22,5,7,0,0,0,4,0,0,.318,.318,.318,.636,90,.310,86,7,0,0,3,0,/1,
22,Floyd Kranson,26,P,0.2,9,17,17,4,6,0,1,0,2,0,0,.353,.353,.471,.824,146,.388,133,8,0,0,0,0,/19,
23,Allen Bryant*,22,P,0.1,6,5,5,0,2,0,0,0,0,0,0,.400,.400,.400,.800,139,.389,134,2,0,0,0,0,/1,
24,Satchel Paige,33,P,0.0,1,3,3,0,1,0,0,0,1,0,0,.333,.333,.333,.667,100,.324,95,1,0,0,0,0,/1,
25,Lefty Moses,26,P,0.0,1,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-88,0,0,0,0,0,/1,
